 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.440000E+01 0.200157E-01 0.204372E-01 0.317548E-01 -.170485E-04 -.104481E+01 -.994812E+00 0.409065E-03 0.999566E+00
   1 0.436000E+01 0.225917E-01 0.222956E-01 0.352804E-01 0.132925E-04 -.106862E+01 -.102700E+01 0.503695E-03 0.999826E+00
   1 0.432000E+01 0.251510E-01 0.256144E-01 0.398035E-01 -.235248E-04 -.108100E+01 -.102775E+01 0.644230E-03 0.999667E+00
   1 0.428000E+01 0.309331E-01 0.301998E-01 0.481488E-01 0.448250E-04 -.111075E+01 -.105969E+01 0.934175E-03 0.999425E+00
   1 0.424000E+01 0.390902E-01 0.409020E-01 0.631247E-01 -.144928E-03 -.114256E+01 -.107200E+01 0.159887E-02 0.997950E+00
   1 0.420000E+01 0.640084E-01 0.634823E-01 0.101863E+00 0.670718E-04 -.121738E+01 -.111481E+01 0.406340E-02 0.999932E+00
   1 0.416000E+01 0.796640E-01 0.270713E+00 0.326879E+00 -.669394E-01 -.138637E+01 -.123675E+01 0.215661E-01 0.293378E+00
   1 0.412000E+01 0.468209E+00 0.125041E-01 0.468480E+00 0.219064E+00 -.147913E+01 -.138906E+01 0.585453E-02 0.284882E-02
   1 0.408000E+01 0.538814E+00 0.933013E-02 0.538943E+00 0.290234E+00 -.157881E+01 -.147269E+01 0.502721E-02 0.119866E-02
   1 0.404000E+01 0.759921E-02 0.588951E+00 0.589029E+00 -.346805E+00 -.165987E+01 -.154125E+01 0.447556E-02 0.665723E-03
   1 0.400000E+01 0.628460E+00 0.652638E-02 0.628513E+00 0.394919E+00 -.173531E+01 -.165881E+01 0.410157E-02 0.431276E-03
   2 0.440000E+01 0.200604E-01 0.199968E-01 0.314687E-01 0.254583E-05 -.104325E+01 -.989000E+00 0.401143E-03 0.999990E+00
   2 0.436000E+01 0.224331E-01 0.222203E-01 0.350535E-01 0.950224E-05 -.105831E+01 -.101819E+01 0.498472E-03 0.999909E+00
