 iconf, T, nbar, abs_nbar, nbar2, nbar4, nbinder
   1 0.400000E+01 0.164092E+01 0.164092E+01 0.271580E+01 0.762031E+01 0.655606E+00
   1 0.404000E+01 0.145071E+01 0.145071E+01 0.213350E+01 0.478888E+01 0.649306E+00
   1 0.408000E+01 -.557221E+00 0.121811E+01 0.152559E+01 0.255846E+01 0.633580E+00
   1 0.412000E+01 0.121381E+00 0.915023E+00 0.913462E+00 0.105139E+01 0.579990E+00
   1 0.416000E+01 -.129862E-02 0.491320E+00 0.326609E+00 0.207772E+00 0.350752E+00
   1 0.420000E+01 0.974014E-02 0.240405E+00 0.952169E-01 0.288604E-01 -.610907E-01
   1 0.424000E+01 -.161650E-02 0.146037E+00 0.361826E-01 0.501970E-02 -.278076E+00
   1 0.428000E+01 0.104205E-02 0.110395E+00 0.203115E-01 0.158308E-02 -.279076E+00
   1 0.432000E+01 -.137393E-02 0.929777E-01 0.140340E-01 0.682033E-03 -.154311E+00
   1 0.436000E+01 0.498070E-03 0.833104E-01 0.111356E-01 0.410714E-03 -.104047E+00
   1 0.440000E+01 0.361390E-03 0.773120E-01 0.948859E-02 0.286851E-03 -.620180E-01
   2 0.400000E+01 0.164312E+01 0.164312E+01 0.272280E+01 0.765681E+01 0.655734E+00
   2 0.404000E+01 0.144937E+01 0.144937E+01 0.213001E+01 0.477645E+01 0.649069E+00
   2 0.408000E+01 0.121865E+01 0.121868E+01 0.152673E+01 0.256194E+01 0.633625E+00
   2 0.412000E+01 0.673998E-01 0.905481E+00 0.894875E+00 0.101134E+01 0.579028E+00
   2 0.416000E+01 -.102163E-01 0.504581E+00 0.342817E+00 0.226066E+00 0.358805E+00
   2 0.420000E+01 0.166681E-01 0.233385E+00 0.908062E-01 0.267832E-01 -.827034E-01
   2 0.424000E+01 -.733133E-02 0.142877E+00 0.349690E-01 0.484384E-02 -.320389E+00
   2 0.428000E+01 -.262030E-03 0.110251E+00 0.201178E-01 0.150012E-02 -.235496E+00
   2 0.432000E+01 -.217751E-02 0.932496E-01 0.141232E-01 0.692414E-03 -.157113E+00
   2 0.436000E+01 -.723330E-03 0.842431E-01 0.113388E-01 0.416052E-03 -.786786E-01
   2 0.440000E+01 -.736600E-04 0.773212E-01 0.947129E-02 0.278753E-03 -.358099E-01
   3 0.400000E+01 0.164186E+01 0.164186E+01 0.271909E+01 0.764096E+01 0.655507E+00
   3 0.404000E+01 0.145197E+01 0.145197E+01 0.213718E+01 0.480520E+01 0.649321E+00
   3 0.408000E+01 -.104634E+01 0.121444E+01 0.151927E+01 0.254931E+01 0.631843E+00
   3 0.412000E+01 -.187677E+00 0.913973E+00 0.906791E+00 0.102989E+01 0.582501E+00
   3 0.416000E+01 0.326458E-01 0.490126E+00 0.328264E+00 0.213120E+00 0.340741E+00
   3 0.420000E+01 0.753753E-02 0.241181E+00 0.964506E-01 0.295454E-01 -.586676E-01
   3 0.424000E+01 0.281672E-02 0.144117E+00 0.352088E-01 0.472688E-02 -.271014E+00
   3 0.428000E+01 -.949000E-05 0.108461E+00 0.195422E-01 0.142565E-02 -.244361E+00
   3 0.432000E+01 0.102846E-02 0.931093E-01 0.141025E-01 0.697727E-03 -.169432E+00
   3 0.436000E+01 0.660370E-03 0.839123E-01 0.112790E-01 0.415558E-03 -.888447E-01
   3 0.440000E+01 -.368600E-03 0.769495E-01 0.940931E-02 0.278205E-03 -.474371E-01
   4 0.400000E+01 0.164425E+01 0.164425E+01 0.272635E+01 0.767475E+01 0.655824E+00
   4 0.404000E+01 0.145288E+01 0.145288E+01 0.214036E+01 0.482251E+01 0.649104E+00
   4 0.408000E+01 0.110394E+01 0.121877E+01 0.152772E+01 0.256802E+01 0.633235E+00
   4 0.412000E+01 0.925458E-01 0.910269E+00 0.901750E+00 0.102354E+01 0.580422E+00
   4 0.416000E+01 0.369694E-01 0.505365E+00 0.342062E+00 0.223354E+00 0.363699E+00
   4 0.420000E+01 0.916501E-02 0.230730E+00 0.886876E-01 0.263836E-01 -.118118E+00
   4 0.424000E+01 -.583527E-02 0.143605E+00 0.350705E-01 0.471690E-02 -.278353E+00
   4 0.428000E+01 0.321447E-02 0.109618E+00 0.198936E-01 0.144242E-02 -.214901E+00
   4 0.432000E+01 0.306240E-03 0.932181E-01 0.140294E-01 0.659676E-03 -.117195E+00
   4 0.436000E+01 0.156740E-03 0.838387E-01 0.112533E-01 0.415000E-03 -.923560E-01
   4 0.440000E+01 0.491700E-04 0.772581E-01 0.949448E-02 0.285272E-03 -.548625E-01
   5 0.400000E+01 0.164209E+01 0.164209E+01 0.271977E+01 0.764397E+01 0.655545E+00
   5 0.404000E+01 0.144929E+01 0.144929E+01 0.212970E+01 0.477370E+01 0.649171E+00
   5 0.408000E+01 0.714288E+00 0.122201E+01 0.153431E+01 0.258326E+01 0.634219E+00
   5 0.412000E+01 -.413656E-01 0.913795E+00 0.908213E+00 0.103410E+01 0.582106E+00
   5 0.416000E+01 -.352998E-01 0.499026E+00 0.334231E+00 0.214240E+00 0.360728E+00
   5 0.420000E+01 0.208030E-01 0.245073E+00 0.997106E-01 0.320883E-01 -.758270E-01
   5 0.424000E+01 0.187376E-02 0.145067E+00 0.359566E-01 0.505719E-02 -.303862E+00
   5 0.428000E+01 0.219929E-02 0.109635E+00 0.198942E-01 0.146249E-02 -.231747E+00
   5 0.432000E+01 -.209700E-03 0.936675E-01 0.142674E-01 0.710437E-03 -.163365E+00
   5 0.436000E+01 -.795900E-04 0.841707E-01 0.113758E-01 0.421385E-03 -.854123E-01
   5 0.440000E+01 -.162500E-03 0.768022E-01 0.938218E-02 0.279280E-03 -.575757E-01
   6 0.400000E+01 0.164051E+01 0.164051E+01 0.271484E+01 0.761864E+01 0.655437E+00
   6 0.404000E+01 0.145150E+01 0.145150E+01 0.213624E+01 0.480392E+01 0.649109E+00
   6 0.408000E+01 -.122305E+01 0.122307E+01 0.153675E+01 0.259022E+01 0.634399E+00
   6 0.412000E+01 0.230836E+00 0.925410E+00 0.923522E+00 0.105584E+01 0.587349E+00
   6 0.416000E+01 0.116266E-01 0.496054E+00 0.332776E+00 0.215009E+00 0.352812E+00
   6 0.420000E+01 0.174100E-02 0.241501E+00 0.967106E-01 0.301347E-01 -.739833E-01
   6 0.424000E+01 0.331130E-02 0.143788E+00 0.353184E-01 0.491909E-02 -.314498E+00
   6 0.428000E+01 0.196730E-03 0.111229E+00 0.205053E-01 0.154437E-02 -.224329E+00
   6 0.432000E+01 0.113272E-02 0.932753E-01 0.140791E-01 0.671994E-03 -.130035E+00
   6 0.436000E+01 -.319220E-03 0.838806E-01 0.112540E-01 0.414287E-03 -.903439E-01
   6 0.440000E+01 -.886270E-03 0.773343E-01 0.952683E-02 0.288815E-03 -.607232E-01
   7 0.400000E+01 0.164258E+01 0.164258E+01 0.272132E+01 0.765163E+01 0.655592E+00
   7 0.404000E+01 0.145203E+01 0.145203E+01 0.213763E+01 0.480877E+01 0.649210E+00
   7 0.408000E+01 0.121688E+01 0.121689E+01 0.152212E+01 0.254884E+01 0.633292E+00
   7 0.412000E+01 -.128619E+00 0.914907E+00 0.906970E+00 0.102551E+01 0.584439E+00
   7 0.416000E+01 0.173492E-01 0.501478E+00 0.336263E+00 0.215540E+00 0.364599E+00
   7 0.420000E+01 -.145100E-03 0.237586E+00 0.938110E-01 0.289570E-01 -.967954E-01
   7 0.424000E+01 0.222716E-02 0.144935E+00 0.357064E-01 0.487499E-02 -.274565E+00
   7 0.428000E+01 0.289800E-04 0.110931E+00 0.204152E-01 0.155744E-02 -.245606E+00
   7 0.432000E+01 -.260218E-02 0.940216E-01 0.143438E-01 0.707264E-03 -.145853E+00
   7 0.436000E+01 0.187088E-02 0.838987E-01 0.112566E-01 0.413636E-03 -.881385E-01
   7 0.440000E+01 0.112200E-03 0.770519E-01 0.945884E-02 0.286320E-03 -.667333E-01
   8 0.400000E+01 0.164130E+01 0.164130E+01 0.271702E+01 0.762650E+01 0.655635E+00
   8 0.404000E+01 0.145051E+01 0.145051E+01 0.213345E+01 0.479160E+01 0.649091E+00
   8 0.408000E+01 -.122558E+01 0.122565E+01 0.154258E+01 0.260915E+01 0.634504E+00
   8 0.412000E+01 -.328388E+00 0.916350E+00 0.912128E+00 0.104191E+01 0.582556E+00
   8 0.416000E+01 -.391094E-02 0.502074E+00 0.338002E+00 0.218821E+00 0.361547E+00
   8 0.420000E+01 -.325157E-02 0.237111E+00 0.936086E-01 0.290435E-01 -.104831E+00
   8 0.424000E+01 -.406199E-02 0.145689E+00 0.361240E-01 0.504553E-02 -.288824E+00
   8 0.428000E+01 0.307000E-05 0.111275E+00 0.205223E-01 0.154458E-02 -.222459E+00
   8 0.432000E+01 0.857470E-03 0.939106E-01 0.142222E-01 0.685039E-03 -.128907E+00
   8 0.436000E+01 -.192480E-03 0.842852E-01 0.113730E-01 0.425648E-03 -.969363E-01
   8 0.440000E+01 0.516630E-03 0.775571E-01 0.953881E-02 0.284515E-03 -.423060E-01
   9 0.400000E+01 0.163894E+01 0.163894E+01 0.270930E+01 0.758411E+01 0.655596E+00
   9 0.404000E+01 0.145270E+01 0.145270E+01 0.213945E+01 0.481621E+01 0.649265E+00
   9 0.408000E+01 0.374474E+00 0.121707E+01 0.152415E+01 0.255577E+01 0.633271E+00
   9 0.412000E+01 0.248503E+00 0.914225E+00 0.906411E+00 0.102776E+01 0.583013E+00
   9 0.416000E+01 -.286200E-01 0.492637E+00 0.329203E+00 0.211219E+00 0.350344E+00
   9 0.420000E+01 -.754423E-02 0.235260E+00 0.920102E-01 0.274777E-01 -.819016E-01
   9 0.424000E+01 -.459465E-02 0.148828E+00 0.383731E-01 0.593139E-02 -.342709E+00
   9 0.428000E+01 -.177692E-02 0.108631E+00 0.194565E-01 0.138898E-02 -.223056E+00
   9 0.432000E+01 0.462490E-03 0.933835E-01 0.141473E-01 0.690746E-03 -.150397E+00
   9 0.436000E+01 -.906950E-03 0.836267E-01 0.112153E-01 0.409376E-03 -.848699E-01
   9 0.440000E+01 0.414840E-03 0.770451E-01 0.943668E-02 0.280128E-03 -.485686E-01
  10 0.400000E+01 0.164071E+01 0.164071E+01 0.271530E+01 0.761929E+01 0.655525E+00
  10 0.404000E+01 0.145044E+01 0.145044E+01 0.213276E+01 0.478542E+01 0.649317E+00
  10 0.408000E+01 0.122273E+01 0.122273E+01 0.153661E+01 0.259419E+01 0.633771E+00
