 program J1J2_6          
 spatial system size               28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        0.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            LOCAL
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                        1
 PT swap every                      0
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.400000E+01 0.628599E+00 0.395469E+00 0.156917E+00 0.395076E+00 0.996666E+00 0.182145E+01 0.996667E+00 0.363641E-05 0.153746E-04 0.200007E-02 0.111355E-01 0.196376E-03 0.119548E-06 -.332934E-01 0.795898E-03 0.628442E+00 0.395272E+00 0.156763E+00 0.665551E+00 0.121982E-05 0.699802E-02 0.211500E-05 0.125511E-02 0.799296E-06
 0.404000E+01 0.589110E+00 0.347522E+00 0.121420E+00 0.346987E+00 0.994629E+00 0.256331E+01 0.994629E+00 0.678267E-05 0.231708E-04 0.326691E-02 0.129812E-01 0.267719E-03 0.225837E-06 -.501654E-01 0.125401E-02 0.588880E+00 0.347254E+00 0.121237E+00 0.664865E+00 0.228369E-05 0.764438E-02 0.325658E-05 0.194190E-02 0.181468E-05
 0.408000E+01 0.538902E+00 0.291162E+00 0.856282E-01 0.290359E+00 0.989941E+00 0.401963E+01 0.989942E+00 0.158792E-04 0.305157E-04 0.660701E-02 0.158351E-01 0.401749E-03 0.532117E-06 -.983609E-01 0.596063E-02 0.538522E+00 0.290760E+00 0.854011E-01 0.663278E+00 0.540229E-05 0.852753E-02 0.416625E-05 0.345268E-02 0.365879E-05
 0.412000E+01 0.467475E+00 0.220084E+00 0.497261E-01 0.218553E+00 0.973386E+00 0.826213E+01 0.973393E+00 0.711380E-04 0.751444E-04 0.256312E-01 0.119665E+00 0.489708E-01 0.108940E-01 -.409689E+00 0.209364E+00 0.368388E+00 0.171113E+00 0.385265E-01 0.381677E+00 0.560383E-01 0.171005E-01 0.146949E-02 0.993313E-01 0.227655E-01
 0.416000E+01 0.322301E+00 0.110685E+00 0.146716E-01 0.104402E+00 0.802434E+00 0.358844E+02 0.802444E+00 0.927486E-03 0.257117E-03 0.159139E+00 0.179298E+00 0.553875E-01 0.711781E-02 0.216172E+00 0.929984E-02 0.179109E+00 0.552975E-01 0.709467E-02 0.216392E+00 0.924883E-02 0.317997E-01 0.597708E-04 0.962344E+00 0.429070E-02
 0.420000E+01 0.160675E+00 0.309452E-01 0.158227E-02 0.235761E-01 0.347684E+00 0.267898E+02 0.348045E+00 0.192373E-02 0.182457E-03 0.626896E-01 0.990107E-01 0.155350E-01 0.689870E-03 0.476509E-01 0.234198E-02 0.986311E-01 0.154102E-01 0.678921E-03 0.474596E-01 0.245898E-02 0.976227E-02 0.201491E-04 0.998227E+00 0.269063E-03
 0.424000E+01 0.106180E+00 0.140017E-01 0.359256E-03 0.954909E-02 0.167497E+00 0.141160E+02 0.167899E+00 0.218533E-02 0.984356E-04 0.302583E-01 0.668230E-01 0.698163E-02 0.142417E-03 0.267824E-01 0.180163E-02 0.669909E-01 0.702003E-02 0.144296E-03 0.248909E-01 0.230830E-02 0.447607E-02 0.811400E-05 0.999250E+00 0.112950E-03
 0.428000E+01 0.823318E-01 0.851845E-02 0.138270E-03 0.560813E-02 0.945093E-01 0.892213E+01 0.949051E-01 0.159839E-02 0.610885E-04 0.160716E-01 0.521234E-01 0.425092E-02 0.532844E-04 0.175202E-01 0.170460E-02 0.522199E-01 0.426753E-02 0.537652E-04 0.163868E-01 0.157368E-02 0.272183E-02 0.398692E-05 0.999716E+00 0.385741E-04
 0.432000E+01 0.690374E-01 0.602094E-02 0.703203E-04 0.390756E-02 0.602200E-01 0.637496E+01 0.605513E-01 0.148880E-02 0.473568E-04 0.982219E-02 0.438614E-01 0.301303E-02 0.269124E-04 0.121912E-01 0.122256E-02 0.438207E-01 0.300791E-02 0.268401E-04 0.115328E-01 0.156484E-02 0.192204E-02 0.264104E-05 0.999810E+00 0.254337E-04
 0.436000E+01 0.601435E-01 0.458204E-02 0.411573E-04 0.295381E-02 0.396661E-01 0.485702E+01 0.398690E-01 0.132024E-02 0.339870E-04 0.624923E-02 0.382233E-01 0.229130E-02 0.156382E-04 0.732324E-02 0.109947E-02 0.382291E-01 0.229074E-02 0.156154E-04 0.824553E-02 0.123354E-02 0.146123E-02 0.166047E-05 0.999846E+00 0.210513E-04
 0.440000E+01 0.539431E-01 0.368941E-02 0.267799E-04 0.236913E-02 0.325911E-01 0.388888E+01 0.327827E-01 0.130120E-02 0.278229E-04 0.495191E-02 0.343230E-01 0.184651E-02 0.101443E-04 0.850275E-02 0.107876E-02 0.342809E-01 0.184290E-02 0.101095E-04 0.796853E-02 0.112102E-02 0.117662E-02 0.123227E-05 0.999885E+00 0.142850E-04
