 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.400000E+01 0.164177E+01 0.269831E+01 0.731211E+01 0.665236E+00
   1 0.404000E+01 0.145249E+01 0.211338E+01 0.449696E+01 0.664383E+00
   1 0.408000E+01 0.122916E+01 0.151573E+01 0.232677E+01 0.662411E+00
   1 0.412000E+01 0.943898E+00 0.898434E+00 0.833536E+00 0.655784E+00
   1 0.416000E+01 0.162852E+00 0.252858E+00 0.833192E-01 0.565618E+00
   1 0.420000E+01 0.960213E-04 0.774969E-02 0.228419E-03 -.267776E+00
   1 0.424000E+01 0.118672E-02 0.270111E-02 0.231206E-04 -.563170E-01
   1 0.428000E+01 0.108946E-03 0.181893E-02 0.101223E-04 -.198194E-01
   1 0.432000E+01 0.258530E-03 0.147351E-02 0.656987E-05 -.862667E-02
   1 0.436000E+01 -.138436E-03 0.127453E-02 0.491772E-05 -.912288E-02
   1 0.440000E+01 0.253150E-03 0.108725E-02 0.358744E-05 -.115961E-01
   2 0.400000E+01 0.164212E+01 0.269945E+01 0.731794E+01 0.665252E+00
   2 0.404000E+01 0.145305E+01 0.211496E+01 0.450347E+01 0.664400E+00
   2 0.408000E+01 0.122648E+01 0.150915E+01 0.230683E+01 0.662381E+00
   2 0.412000E+01 0.945162E+00 0.900633E+00 0.836894E+00 0.656083E+00
   2 0.416000E+01 -.639246E-01 0.254842E+00 0.844094E-01 0.566760E+00
   2 0.420000E+01 -.343176E-02 0.728454E-02 0.208584E-03 -.310251E+00
   2 0.424000E+01 -.106107E-02 0.269586E-02 0.230634E-04 -.578133E-01
   2 0.428000E+01 -.502961E-03 0.184579E-02 0.104664E-04 -.240278E-01
   2 0.432000E+01 0.355070E-03 0.146947E-02 0.657371E-05 -.147718E-01
   2 0.436000E+01 -.251367E-03 0.126080E-02 0.476508E-05 0.792512E-03
   2 0.440000E+01 0.833500E-05 0.109850E-02 0.359558E-05 0.677814E-02
   3 0.400000E+01 0.164249E+01 0.270065E+01 0.732456E+01 0.665247E+00
   3 0.404000E+01 0.145253E+01 0.211350E+01 0.449755E+01 0.664379E+00
   3 0.408000E+01 0.122765E+01 0.151203E+01 0.231574E+01 0.662365E+00
   3 0.412000E+01 0.944176E+00 0.898644E+00 0.832803E+00 0.656248E+00
   3 0.416000E+01 -.129149E+00 0.261469E+00 0.879424E-01 0.571217E+00
   3 0.420000E+01 0.507672E-02 0.681730E-02 0.176789E-03 -.267969E+00
   3 0.424000E+01 0.248466E-03 0.266053E-02 0.229237E-04 -.795114E-01
