 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9003
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.421185E+00 0.177445E+00 0.315203E-01 0.495836E-01 0.998933E+00 0.981410E+00 0.998996E+00 0.228193E-03 0.124248E-02 0.218854E+00 0.336842E+00 0.113514E+00 0.129088E-01 0.666377E+00 0.709990E-05 0.252485E+00 0.639307E-01 0.413188E-02 0.664872E+00 0.715947E-03 0.849962E-01 0.143285E-02 0.918872E+00 0.199183E-01
 0.805556E+01 0.414851E+00 0.172153E+00 0.296720E-01 0.492484E-01 0.998813E+00 0.102373E+01 0.998913E+00 0.246888E-03 0.153719E-02 0.227437E+00 0.332638E+00 0.110701E+00 0.122779E-01 0.666353E+00 0.956307E-05 0.247487E+00 0.614525E-01 0.382392E-02 0.664687E+00 0.809515E-03 0.822691E-01 0.159815E-02 0.914650E+00 0.217280E-01
 0.811111E+01 0.408363E+00 0.166817E+00 0.278655E-01 0.488375E-01 0.998652E+00 0.109020E+01 0.998800E+00 0.288050E-03 0.182619E-02 0.256075E+00 0.328289E+00 0.107827E+00 0.116497E-01 0.666324E+00 0.109663E-04 0.242412E+00 0.589898E-01 0.353011E-02 0.664431E+00 0.954373E-03 0.795241E-01 0.175263E-02 0.910282E+00 0.235392E-01
 0.816667E+01 0.401930E+00 0.161613E+00 0.261601E-01 0.484220E-01 0.998420E+00 0.120906E+01 0.998621E+00 0.360143E-03 0.210566E-02 0.310173E+00 0.323981E+00 0.105018E+00 0.110513E-01 0.666294E+00 0.123050E-04 0.237355E+00 0.565956E-01 0.325704E-02 0.663976E+00 0.122339E-02 0.768394E-01 0.189693E-02 0.905669E+00 0.253329E-01
 0.822222E+01 0.395289E+00 0.156329E+00 0.244846E-01 0.480115E-01 0.998123E+00 0.136397E+01 0.998388E+00 0.463052E-03 0.239086E-02 0.386020E+00 0.319555E+00 0.102170E+00 0.104612E-01 0.666262E+00 0.148595E-04 0.232067E+00 0.541587E-01 0.299215E-02 0.663296E+00 0.162928E-02 0.740964E-01 0.205354E-02 0.900371E+00 0.275548E-01
 0.827778E+01 0.388524E+00 0.151041E+00 0.228655E-01 0.476418E-01 0.997711E+00 0.156771E+01 0.998076E+00 0.613800E-03 0.277450E-02 0.493741E+00 0.315095E+00 0.993412E-01 0.989101E-02 0.666224E+00 0.201257E-04 0.226559E+00 0.516994E-01 0.273897E-02 0.662314E+00 0.225213E-02 0.713213E-01 0.227120E-02 0.894077E+00 0.305725E-01
 0.833333E+01 0.381558E+00 0.145694E+00 0.212871E-01 0.472855E-01 0.997164E+00 0.183904E+01 0.997653E+00 0.826149E-03 0.318254E-02 0.639920E+00 0.310534E+00 0.964899E-01 0.933274E-02 0.666184E+00 0.276198E-04 0.220764E+00 0.492044E-01 0.249653E-02 0.660827E+00 0.320771E-02 0.684826E-01 0.251902E-02 0.886644E+00 0.343800E-01
 0.838889E+01 0.374413E+00 0.140319E+00 0.197610E-01 0.470211E-01 0.996365E+00 0.222689E+01 0.997035E+00 0.115700E-02 0.370090E-02 0.858739E+00 0.305957E+00 0.936701E-01 0.879658E-02 0.666142E+00 0.351016E-04 0.214556E+00 0.466490E-01 0.226496E-02 0.658376E+00 0.479478E-02 0.655649E-01 0.284429E-02 0.877276E+00 0.394679E-01
 0.844444E+01 0.366916E+00 0.134793E+00 0.182541E-01 0.468874E-01 0.995331E+00 0.267349E+01 0.996264E+00 0.155506E-02 0.432583E-02 0.109399E+01 0.301294E+00 0.908404E-01 0.827449E-02 0.666095E+00 0.461720E-04 0.207723E+00 0.439530E-01 0.203613E-02 0.654960E+00 0.698444E-02 0.624962E-01 0.324322E-02 0.865163E+00 0.461443E-01
 0.850000E+01 0.359055E+00 0.129123E+00 0.167718E-01 0.469149E-01 0.994061E+00 0.313448E+01 0.995369E+00 0.201425E-02 0.505147E-02 0.132939E+01 0.296570E+00 0.880191E-01 0.777010E-02 0.666046E+00 0.543924E-04 0.200157E+00 0.411042E-01 0.181160E-02 0.650119E+00 0.101092E-01 0.592574E-01 0.373186E-02 0.849238E+00 0.552528E-01
