 program J1J2_6          
 linear system size                56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9009
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed            2
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8986401277641161E+00   5.1703100867471354E-02   6.1294832574952807E-01   3.3787960059421247E-03
   8.0555555555555554E+00  -3.8644685929800024E+00   5.1895314383374004E-02   6.1840566299553168E-01   2.8647911571365306E-03
   8.1111111111111107E+00  -3.8301447867715348E+00   5.2054331385051493E-02   6.1874249449224761E-01   3.3890539366612992E-03
   8.1666666666666661E+00  -3.7957916915751415E+00   5.2215082697785326E-02   6.2071584466346930E-01   2.7305658303000049E-03
   8.2222222222222214E+00  -3.7612792606475738E+00   5.2369901742833895E-02   6.2212392174103459E-01   2.3105064993711880E-03
   8.2777777777777786E+00  -3.7266783958794560E+00   5.2499489542509076E-02   6.2368417714282476E-01   1.2156198859818649E-03
   8.3333333333333339E+00  -3.6919580965184258E+00   5.2719367124006801E-02   6.2510059505857929E-01   2.6895345436836506E-03
   8.3888888888888893E+00  -3.6572361084862335E+00   5.2853146968313731E-02   6.2645709808632399E-01   1.8669707519262373E-03
   8.4444444444444446E+00  -3.6224364196972605E+00   5.3070622805427452E-02   6.2724843771298588E-01   3.8100107112586643E-03
   8.5000000000000000E+00  -3.5875781945324166E+00   5.3204135410226630E-02   6.2842364381563809E-01   4.0880131506700786E-03
   8.5555555555555554E+00  -3.5526781752712839E+00   5.3400854887962347E-02   6.2953563606175167E-01   3.4329225295458227E-03
   8.6111111111111107E+00  -3.5177761668345622E+00   5.3648208705797923E-02   6.2884021455273886E-01   3.9863922168870960E-03
   8.6666666666666661E+00  -3.4828430702927626E+00   5.3875652183745272E-02   6.2996575892052198E-01   4.4758104298130239E-03
   8.7222222222222214E+00  -3.4478539970119746E+00   5.4123777960071902E-02   6.2903388319040721E-01   3.6626044400301767E-03
   8.7777777777777786E+00  -3.4129189244120139E+00   5.4401383111463329E-02   6.2955980576210002E-01   3.2157030937787767E-03
   8.8333333333333339E+00  -3.3780693367522878E+00   5.4647752108926570E-02   6.2737715802335181E-01   1.4042618376330248E-03
   8.8888888888888893E+00  -3.3432768718502550E+00   5.4918438769042892E-02   6.2757947200118691E-01   2.3430756728660784E-03
   8.9444444444444446E+00  -3.3085530054416061E+00   5.5128409068659553E-02   6.2672832075049667E-01   2.9742112024426504E-03
   9.0000000000000000E+00  -3.2738980164170624E+00   5.5330311311237078E-02   6.2298332308481252E-01   1.7531577148626807E-03
   9.0555555555555554E+00  -3.2393193005795098E+00   5.5543272764056947E-02   6.2222876592167309E-01   1.1120687738431815E-03
   9.1111111111111107E+00  -3.2048794063806341E+00   5.5706179939208317E-02   6.2139136661143635E-01   1.9508397666151830E-03
   9.1666666666666661E+00  -3.1704317314665156E+00   5.5877693453404452E-02   6.1986892041198005E-01   1.7571815871284589E-03
   9.2222222222222214E+00  -3.1360916055647881E+00   5.5996645195215619E-02   6.1783427634933008E-01   3.1105924809524620E-03
   9.2777777777777786E+00  -3.1018167149189262E+00   5.6139243812608097E-02   6.1644559164048340E-01   2.0346868182121972E-03
   9.3333333333333339E+00  -3.0676263389034553E+00   5.6278560977678124E-02   6.1418633420780100E-01   1.0505096925764559E-03
   9.3888888888888893E+00  -3.0335154254131895E+00   5.6440502494998684E-02   6.1192617355486967E-01   7.2592456195874730E-04
   9.4444444444444446E+00  -2.9996112796366772E+00   5.6486632485550310E-02   6.1108501546180305E-01   5.9340019942394134E-04
   9.5000000000000000E+00  -2.9657200628733884E+00   5.6558615829392478E-02   6.0572799859830528E-01   5.6851223586983795E-04
   9.5555555555555554E+00  -2.9320916533896049E+00   5.6558286024307562E-02   6.0426236540897438E-01   5.1485753511426580E-04
   9.6111111111111107E+00  -2.8987133453332774E+00   5.6497045966134300E-02   6.0067377549411094E-01   1.0049689873872494E-03
   9.6666666666666661E+00  -2.8655056066486697E+00   5.6352668968849398E-02   5.9561680975581510E-01   3.5132710254680219E-03
   9.7222222222222214E+00  -2.8325364860590438E+00   5.6156784913201689E-02   5.9330123871647977E-01   3.9272633570811340E-03
   9.7777777777777786E+00  -2.7998107726591472E+00   5.5862789013104729E-02   5.8731337769534431E-01   6.6088906200504035E-03
   9.8333333333333339E+00  -2.7673069452502999E+00   5.5556858904409819E-02   5.8326775943216380E-01   7.7813372344394897E-03
   9.8888888888888893E+00  -2.7351034863079264E+00   5.5210253078010904E-02   5.7756371670330364E-01   7.3614627255523561E-03
   9.9444444444444446E+00  -2.7031790752714153E+00   5.4767838198005341E-02   5.7041150375673844E-01   6.5976536154795148E-03
   1.0000000000000000E+01  -2.6716004207305097E+00   5.4383049190093478E-02   5.6628248206515552E-01   7.3982678445337910E-03
   1.0055555555555555E+01  -2.6403381581594880E+00   5.3979210481846854E-02   5.6052430811284204E-01   8.6382831917775574E-03
   1.0111111111111111E+01  -2.6093705220349235E+00   5.3458395118578882E-02   5.5520380401209812E-01   7.9457881957394130E-03
   1.0166666666666666E+01  -2.5786833744035196E+00   5.2975944951936152E-02   5.4930216205127502E-01   9.6561955699350725E-03
   1.0222222222222221E+01  -2.5483383992836099E+00   5.2492774240039036E-02   5.4249635316460232E-01   8.4617756607613236E-03
   1.0277777777777779E+01  -2.5184214032412315E+00   5.1924662298687439E-02   5.3557455231073137E-01   9.8956210213511763E-03
   1.0333333333333334E+01  -2.4888327009532452E+00   5.1412092548048370E-02   5.3060984337577077E-01   1.0637915542027011E-02
   1.0388888888888889E+01  -2.4595194453422398E+00   5.0863990864903917E-02   5.2364000975452774E-01   9.4189785914030599E-03
   1.0444444444444445E+01  -2.4306205524861251E+00   5.0339210957929349E-02   5.1800964084118939E-01   1.0676056584924020E-02
   1.0500000000000000E+01  -2.4020168174340331E+00   4.9783144215977571E-02   5.1064684073591904E-01   9.4176194870348277E-03
   1.0555555555555555E+01  -2.3738648308920527E+00   4.9231461173834111E-02   5.0446719408380369E-01   9.1337511310449013E-03
   1.0611111111111111E+01  -2.3460765130686867E+00   4.8668630214375938E-02   4.9621653068167970E-01   1.0047682567945632E-02
   1.0666666666666666E+01  -2.3186653921307188E+00   4.8089023342676361E-02   4.8972119441295736E-01   1.0248913501030375E-02
   1.0722222222222221E+01  -2.2916109121190944E+00   4.7506326134188141E-02   4.8247798190121444E-01   1.1398548265187018E-02
   1.0777777777777779E+01  -2.2649928451692274E+00   4.6946904343569129E-02   4.7500710286007564E-01   1.0324003687612609E-02
   1.0833333333333334E+01  -2.2387267687670986E+00   4.6316322643543913E-02   4.6808037896102528E-01   1.0574606054829599E-02
   1.0888888888888889E+01  -2.2129659631715679E+00   4.5698736337791951E-02   4.6029788972426938E-01   1.2089866311779303E-02
   1.0944444444444445E+01  -2.1875942032095583E+00   4.5071705400689895E-02   4.5424526754499583E-01   1.1654735041280553E-02
   1.1000000000000000E+01  -2.1626098969872789E+00   4.4421179572195019E-02   4.4544088922909830E-01   1.1792637759624141E-02
   1.1055555555555555E+01  -2.1380353890171522E+00   4.3768165186554610E-02   4.3898898845964546E-01   1.2130474784771092E-02
   1.1111111111111111E+01  -2.1139432208800026E+00   4.3079936100447989E-02   4.3059337775287537E-01   1.1562986847275220E-02
   1.1166666666666666E+01  -2.0902348271361966E+00   4.2426363204949850E-02   4.2314628493069401E-01   1.3472812185193266E-02
   1.1222222222222221E+01  -2.0669778579728009E+00   4.1703267799699802E-02   4.1439491621540792E-01   1.2565468134904251E-02
   1.1277777777777779E+01  -2.0441113112934790E+00   4.0987266172890516E-02   4.0782243845725541E-01   1.3460467082916726E-02
   1.1333333333333334E+01  -2.0216699666245073E+00   4.0292033217018249E-02   3.9902216127582707E-01   1.2880554682778203E-02
   1.1388888888888889E+01  -1.9996178665883801E+00   3.9553141902601223E-02   3.9179735563329837E-01   1.2598429092476889E-02
   1.1444444444444445E+01  -1.9780998874670386E+00   3.8856178376478173E-02   3.8414039664047361E-01   1.2778806332739371E-02
   1.1500000000000000E+01  -1.9569370627898572E+00   3.8141517561396499E-02   3.7635938112206802E-01   1.2555133962796106E-02
