 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.298347E+00 0.282296E+00 0.410809E+00 0.932018E-02 -.397579E+01 -.387949E+01 0.842221E-01 0.996948E+00
   1 0.805556E+01 0.293984E+00 0.277272E+00 0.404196E+00 0.954680E-02 -.394272E+01 -.388659E+01 0.815137E-01 0.996583E+00
   1 0.811111E+01 0.289584E+00 0.272239E+00 0.397549E+00 0.974478E-02 -.390485E+01 -.383759E+01 0.788363E-01 0.996195E+00
   1 0.816667E+01 0.285216E+00 0.267218E+00 0.390936E+00 0.994278E-02 -.387773E+01 -.379707E+01 0.762151E-01 0.995763E+00
   1 0.822222E+01 0.280755E+00 0.262159E+00 0.384226E+00 0.100962E-01 -.383480E+01 -.377605E+01 0.736024E-01 0.995318E+00
   1 0.827778E+01 0.276279E+00 0.257250E+00 0.377609E+00 0.101526E-01 -.380680E+01 -.373314E+01 0.710728E-01 0.994925E+00
   1 0.833333E+01 0.271857E+00 0.252353E+00 0.371040E+00 0.102242E-01 -.376859E+01 -.367717E+01 0.686039E-01 0.994478E+00
   1 0.838889E+01 0.267384E+00 0.247512E+00 0.364471E+00 0.102321E-01 -.373776E+01 -.365688E+01 0.661807E-01 0.994060E+00
   1 0.844444E+01 0.262901E+00 0.242796E+00 0.357981E+00 0.101668E-01 -.371824E+01 -.362044E+01 0.638313E-01 0.993698E+00
   1 0.850000E+01 0.258398E+00 0.237956E+00 0.351393E+00 0.101464E-01 -.367203E+01 -.361337E+01 0.614875E-01 0.993239E+00
   1 0.855556E+01 0.253881E+00 0.233220E+00 0.344866E+00 0.100640E-01 -.363635E+01 -.356642E+01 0.592100E-01 0.992829E+00
   1 0.861111E+01 0.249349E+00 0.228584E+00 0.338397E+00 0.992427E-02 -.360107E+01 -.355345E+01 0.569972E-01 0.992478E+00
   1 0.866667E+01 0.244835E+00 0.223951E+00 0.331944E+00 0.979009E-02 -.357009E+01 -.348554E+01 0.548309E-01 0.992093E+00
   1 0.872222E+01 0.240184E+00 0.219480E+00 0.325500E+00 0.951701E-02 -.353538E+01 -.348004E+01 0.527156E-01 0.991918E+00
   1 0.877778E+01 0.235618E+00 0.214874E+00 0.319027E+00 0.934496E-02 -.350647E+01 -.345340E+01 0.506282E-01 0.991554E+00
   1 0.883333E+01 0.230915E+00 0.210220E+00 0.312428E+00 0.912939E-02 -.346818E+01 -.337894E+01 0.485429E-01 0.991235E+00
   1 0.888889E+01 0.226180E+00 0.205586E+00 0.305821E+00 0.889162E-02 -.344209E+01 -.332373E+01 0.464994E-01 0.990942E+00
   1 0.894444E+01 0.221418E+00 0.200777E+00 0.299081E+00 0.871451E-02 -.340516E+01 -.334310E+01 0.444557E-01 0.990485E+00
   1 0.900000E+01 0.216597E+00 0.195941E+00 0.292284E+00 0.852160E-02 -.337187E+01 -.328778E+01 0.424401E-01 0.990021E+00
   1 0.905556E+01 0.211645E+00 0.191115E+00 0.285412E+00 0.826864E-02 -.333650E+01 -.323007E+01 0.404486E-01 0.989661E+00
   1 0.911111E+01 0.206514E+00 0.186238E+00 0.278385E+00 0.796352E-02 -.329918E+01 -.323712E+01 0.384609E-01 0.989396E+00
   1 0.916667E+01 0.201439E+00 0.180799E+00 0.271065E+00 0.788924E-02 -.326131E+01 -.318563E+01 0.364200E-01 0.988405E+00
   1 0.922222E+01 0.196174E+00 0.175149E+00 0.263496E+00 0.780686E-02 -.322925E+01 -.314545E+01 0.343597E-01 0.987258E+00
   1 0.927778E+01 0.190628E+00 0.169088E+00 0.255490E+00 0.774808E-02 -.319204E+01 -.311563E+01 0.322330E-01 0.985760E+00
   1 0.933333E+01 0.185027E+00 0.162341E+00 0.247083E+00 0.788049E-02 -.316905E+01 -.309203E+01 0.300374E-01 0.983083E+00
   1 0.938889E+01 0.179518E+00 0.154872E+00 0.238333E+00 0.824119E-02 -.313986E+01 -.307985E+01 0.278023E-01 0.978506E+00
