 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 -.108297E-01 0.232033E-03 0.133791E-06 0.171668E+00
   1 0.805556E+01 -.109057E-01 0.233911E-03 0.135993E-06 0.171502E+00
   1 0.811111E+01 -.109598E-01 0.236337E-03 0.138660E-06 0.172500E+00
   1 0.816667E+01 -.111800E-01 0.241616E-03 0.144158E-06 0.176873E+00
   1 0.822222E+01 -.113484E-01 0.246074E-03 0.148880E-06 0.180435E+00
   1 0.827778E+01 -.115003E-01 0.250494E-03 0.153378E-06 0.185207E+00
   1 0.833333E+01 -.115945E-01 0.253129E-03 0.156282E-06 0.186973E+00
   1 0.838889E+01 -.116360E-01 0.255334E-03 0.158520E-06 0.189516E+00
   1 0.844444E+01 -.116201E-01 0.256057E-03 0.159846E-06 0.187339E+00
   1 0.850000E+01 -.115122E-01 0.254827E-03 0.158940E-06 0.184127E+00
   1 0.855556E+01 -.112231E-01 0.249895E-03 0.154950E-06 0.172904E+00
   1 0.861111E+01 -.109190E-01 0.244012E-03 0.149762E-06 0.161586E+00
   1 0.866667E+01 -.105405E-01 0.236614E-03 0.143356E-06 0.146483E+00
   1 0.872222E+01 -.101155E-01 0.227761E-03 0.134403E-06 0.136367E+00
   1 0.877778E+01 -.979527E-02 0.221043E-03 0.128787E-06 0.121387E+00
   1 0.883333E+01 -.957897E-02 0.216575E-03 0.124349E-06 0.116301E+00
   1 0.888889E+01 -.941336E-02 0.213022E-03 0.120959E-06 0.111480E+00
   1 0.894444E+01 -.934121E-02 0.211322E-03 0.119609E-06 0.107202E+00
   1 0.900000E+01 -.933538E-02 0.209929E-03 0.117381E-06 0.112166E+00
   1 0.905556E+01 -.944013E-02 0.211517E-03 0.119078E-06 0.112807E+00
   1 0.911111E+01 -.952188E-02 0.212717E-03 0.119566E-06 0.119188E+00
   1 0.916667E+01 -.964816E-02 0.214850E-03 0.121859E-06 0.120030E+00
   1 0.922222E+01 -.985660E-02 0.218776E-03 0.125036E-06 0.129210E+00
   1 0.927778E+01 -.100711E-01 0.223151E-03 0.128890E-06 0.137223E+00
   1 0.933333E+01 -.102617E-01 0.226490E-03 0.131876E-06 0.143068E+00
   1 0.938889E+01 -.105249E-01 0.231896E-03 0.136829E-06 0.151860E+00
   1 0.944444E+01 -.106826E-01 0.235151E-03 0.139818E-06 0.157153E+00
   1 0.950000E+01 -.109614E-01 0.240937E-03 0.145088E-06 0.166884E+00
   1 0.955556E+01 -.111601E-01 0.245077E-03 0.149187E-06 0.172049E+00
   1 0.961111E+01 -.114431E-01 0.251427E-03 0.155533E-06 0.179875E+00
   1 0.966667E+01 -.116940E-01 0.256454E-03 0.159943E-06 0.189363E+00
   1 0.972222E+01 -.119267E-01 0.262349E-03 0.166406E-06 0.194086E+00
   1 0.977778E+01 -.122163E-01 0.268416E-03 0.171505E-06 0.206517E+00
   1 0.983333E+01 -.124617E-01 0.274354E-03 0.177487E-06 0.214003E+00
   1 0.988889E+01 -.127330E-01 0.280712E-03 0.183940E-06 0.221909E+00
   1 0.994444E+01 -.130080E-01 0.287267E-03 0.189615E-06 0.234082E+00
   1 0.100000E+02 -.131806E-01 0.291140E-03 0.193763E-06 0.238015E+00
   1 0.100556E+02 -.133634E-01 0.295139E-03 0.197607E-06 0.243815E+00
   1 0.101111E+02 -.135221E-01 0.298951E-03 0.201225E-06 0.249485E+00
   1 0.101667E+02 -.136263E-01 0.300721E-03 0.202737E-06 0.252717E+00
   1 0.102222E+02 -.137177E-01 0.302465E-03 0.202997E-06 0.260360E+00
   1 0.102778E+02 -.137302E-01 0.302404E-03 0.202923E-06 0.260336E+00
   1 0.103333E+02 -.137265E-01 0.301769E-03 0.202316E-06 0.259442E+00
   1 0.103889E+02 -.136544E-01 0.298741E-03 0.198361E-06 0.259125E+00
   1 0.104444E+02 -.135822E-01 0.296949E-03 0.196118E-06 0.258634E+00
   1 0.105000E+02 -.134875E-01 0.293219E-03 0.191910E-06 0.255967E+00
   1 0.105556E+02 -.133981E-01 0.290336E-03 0.188273E-06 0.255497E+00
   1 0.106111E+02 -.132486E-01 0.285537E-03 0.183150E-06 0.251207E+00
   1 0.106667E+02 -.130836E-01 0.281022E-03 0.178174E-06 0.247954E+00
   1 0.107222E+02 -.129485E-01 0.276501E-03 0.172944E-06 0.245964E+00
   1 0.107778E+02 -.127695E-01 0.271067E-03 0.167314E-06 0.240972E+00
   1 0.108333E+02 -.126075E-01 0.265912E-03 0.161396E-06 0.239154E+00
   1 0.108889E+02 -.124295E-01 0.261069E-03 0.156619E-06 0.234030E+00
   1 0.109444E+02 -.122316E-01 0.255308E-03 0.150661E-06 0.229539E+00
   1 0.110000E+02 -.120553E-01 0.250016E-03 0.145351E-06 0.224896E+00
   1 0.110556E+02 -.118858E-01 0.245286E-03 0.140628E-06 0.220880E+00
   1 0.111111E+02 -.116671E-01 0.239593E-03 0.135107E-06 0.215477E+00
   1 0.111667E+02 -.115120E-01 0.235141E-03 0.130905E-06 0.210811E+00
   1 0.112222E+02 -.113214E-01 0.229874E-03 0.125409E-06 0.208905E+00
   1 0.112778E+02 -.111109E-01 0.224675E-03 0.120977E-06 0.201137E+00
   1 0.113333E+02 -.109617E-01 0.220142E-03 0.116875E-06 0.196115E+00
   1 0.113889E+02 -.107931E-01 0.215604E-03 0.112208E-06 0.195386E+00
   1 0.114444E+02 -.106196E-01 0.211612E-03 0.109062E-06 0.188158E+00
   1 0.115000E+02 -.104973E-01 0.208035E-03 0.105476E-06 0.187620E+00
   2 0.800000E+01 -.258336E+00 0.668530E-01 0.450023E-02 0.664361E+00
   2 0.805556E+01 -.256483E+00 0.658996E-01 0.437337E-02 0.664317E+00
   2 0.811111E+01 -.254687E+00 0.649821E-01 0.425292E-02 0.664279E+00
   2 0.816667E+01 -.252802E+00 0.640261E-01 0.412932E-02 0.664229E+00
   2 0.822222E+01 -.250909E+00 0.630722E-01 0.400755E-02 0.664199E+00
   2 0.827778E+01 -.248984E+00 0.621104E-01 0.388686E-02 0.664148E+00
   2 0.833333E+01 -.247008E+00 0.611300E-01 0.376550E-02 0.664114E+00
   2 0.838889E+01 -.244967E+00 0.601267E-01 0.364349E-02 0.664060E+00
   2 0.844444E+01 -.242922E+00 0.591289E-01 0.352413E-02 0.664007E+00
   2 0.850000E+01 -.240778E+00 0.580921E-01 0.340208E-02 0.663962E+00
   2 0.855556E+01 -.238618E+00 0.570563E-01 0.328226E-02 0.663918E+00
   2 0.861111E+01 -.236412E+00 0.560090E-01 0.316350E-02 0.663851E+00
   2 0.866667E+01 -.234132E+00 0.549365E-01 0.304412E-02 0.663784E+00
   2 0.872222E+01 -.231849E+00 0.538726E-01 0.292775E-02 0.663739E+00
   2 0.877778E+01 -.229532E+00 0.528035E-01 0.281328E-02 0.663670E+00
   2 0.883333E+01 -.227126E+00 0.517051E-01 0.269795E-02 0.663608E+00
   2 0.888889E+01 -.224772E+00 0.506408E-01 0.258844E-02 0.663553E+00
   2 0.894444E+01 -.222355E+00 0.495604E-01 0.247971E-02 0.663480E+00
   2 0.900000E+01 -.219880E+00 0.484658E-01 0.237190E-02 0.663408E+00
   2 0.905556E+01 -.217358E+00 0.473633E-01 0.226576E-02 0.663327E+00
   2 0.911111E+01 -.214856E+00 0.462819E-01 0.216398E-02 0.663248E+00
   2 0.916667E+01 -.212279E+00 0.451811E-01 0.206274E-02 0.663171E+00
   2 0.922222E+01 -.209709E+00 0.440969E-01 0.196547E-02 0.663079E+00
   2 0.927778E+01 -.207089E+00 0.430046E-01 0.186976E-02 0.662997E+00
   2 0.933333E+01 -.204396E+00 0.418961E-01 0.177513E-02 0.662897E+00
   2 0.938889E+01 -.201689E+00 0.407970E-01 0.168373E-02 0.662793E+00
   2 0.944444E+01 -.198989E+00 0.397146E-01 0.159596E-02 0.662712E+00
   2 0.950000E+01 -.196333E+00 0.386644E-01 0.151313E-02 0.662611E+00
   2 0.955556E+01 -.193631E+00 0.376105E-01 0.143221E-02 0.662505E+00
   2 0.961111E+01 -.190863E+00 0.365461E-01 0.135275E-02 0.662392E+00
   2 0.966667E+01 -.188152E+00 0.355182E-01 0.127814E-02 0.662281E+00
   2 0.972222E+01 -.185495E+00 0.345252E-01 0.120808E-02 0.662168E+00
   2 0.977778E+01 -.182826E+00 0.335414E-01 0.114057E-02 0.662059E+00
   2 0.983333E+01 -.180185E+00 0.325825E-01 0.107668E-02 0.661939E+00
   2 0.988889E+01 -.177573E+00 0.316475E-01 0.101615E-02 0.661813E+00
   2 0.994444E+01 -.174924E+00 0.307134E-01 0.957419E-03 0.661682E+00
   2 0.100000E+02 -.172341E+00 0.298162E-01 0.902663E-03 0.661547E+00
   2 0.100556E+02 -.169802E+00 0.289469E-01 0.851137E-03 0.661411E+00
   2 0.101111E+02 -.167308E+00 0.281055E-01 0.802670E-03 0.661287E+00
   2 0.101667E+02 -.164771E+00 0.272636E-01 0.755710E-03 0.661103E+00
   2 0.102222E+02 -.162241E+00 0.264347E-01 0.710681E-03 0.660997E+00
   2 0.102778E+02 -.159780E+00 0.256425E-01 0.669103E-03 0.660805E+00
   2 0.103333E+02 -.157295E+00 0.248543E-01 0.628910E-03 0.660637E+00
   2 0.103889E+02 -.154751E+00 0.240605E-01 0.589707E-03 0.660447E+00
   2 0.104444E+02 -.152233E+00 0.232870E-01 0.552717E-03 0.660254E+00
   2 0.105000E+02 -.149709E+00 0.225248E-01 0.517424E-03 0.660059E+00
   2 0.105556E+02 -.147165E+00 0.217696E-01 0.483639E-03 0.659828E+00
   2 0.106111E+02 -.144649E+00 0.210341E-01 0.451736E-03 0.659657E+00
   2 0.106667E+02 -.142186E+00 0.203271E-01 0.422145E-03 0.659445E+00
   2 0.107222E+02 -.139793E+00 0.196520E-01 0.394823E-03 0.659223E+00
   2 0.107778E+02 -.137475E+00 0.190085E-01 0.369592E-03 0.659040E+00
   2 0.108333E+02 -.135221E+00 0.183931E-01 0.346253E-03 0.658836E+00
   2 0.108889E+02 -.133028E+00 0.178035E-01 0.324570E-03 0.658671E+00
   2 0.109444E+02 -.130932E+00 0.172498E-01 0.304882E-03 0.658458E+00
   2 0.110000E+02 -.128878E+00 0.167153E-01 0.286457E-03 0.658249E+00
   2 0.110556E+02 -.126930E+00 0.162160E-01 0.269739E-03 0.658071E+00
   2 0.111111E+02 -.125015E+00 0.157325E-01 0.254019E-03 0.657903E+00
   2 0.111667E+02 -.123177E+00 0.152758E-01 0.239635E-03 0.657690E+00
   2 0.112222E+02 -.121428E+00 0.148471E-01 0.226504E-03 0.657493E+00
   2 0.112778E+02 -.119696E+00 0.144288E-01 0.214033E-03 0.657311E+00
   2 0.113333E+02 -.118054E+00 0.140375E-01 0.202686E-03 0.657136E+00
   2 0.113889E+02 -.116434E+00 0.136569E-01 0.191953E-03 0.656939E+00
   2 0.114444E+02 -.114889E+00 0.132984E-01 0.182087E-03 0.656791E+00
   2 0.115000E+02 -.113445E+00 0.129670E-01 0.173171E-03 0.656699E+00
