 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9059
 ------------------------
 disorder configurations processed            2
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.965100E-01 0.101985E-03 0.942973E-02 0.932517E-04 0.650427E+00 0.650432E+00 0.889793E-04
 0.805556E+01 0.954392E-01 0.157168E-03 0.922443E-02 0.893354E-04 0.650036E+00 0.650045E+00 0.717403E-04
 0.811111E+01 0.943633E-01 0.227115E-03 0.902070E-02 0.855405E-04 0.649595E+00 0.649612E+00 0.476846E-04
 0.816667E+01 0.933284E-01 0.258329E-03 0.882680E-02 0.820039E-04 0.649162E+00 0.649185E+00 0.520793E-04
 0.822222E+01 0.922499E-01 0.307121E-03 0.862692E-02 0.784297E-04 0.648725E+00 0.648756E+00 0.153992E-04
 0.827778E+01 0.911735E-01 0.369176E-03 0.842973E-02 0.749837E-04 0.648263E+00 0.648309E+00 0.601123E-05
 0.833333E+01 0.900883E-01 0.415773E-03 0.823360E-02 0.716413E-04 0.647740E+00 0.647799E+00 0.275659E-04
 0.838889E+01 0.889880E-01 0.489288E-03 0.803655E-02 0.683429E-04 0.647278E+00 0.647362E+00 0.277309E-04
 0.844444E+01 0.878781E-01 0.572472E-03 0.784132E-02 0.651831E-04 0.646625E+00 0.646738E+00 0.114588E-03
 0.850000E+01 0.867501E-01 0.650101E-03 0.764443E-02 0.620424E-04 0.646103E+00 0.646250E+00 0.167886E-03
 0.855556E+01 0.856192E-01 0.741822E-03 0.745021E-02 0.590395E-04 0.645445E+00 0.645634E+00 0.268599E-03
 0.861111E+01 0.844723E-01 0.853600E-03 0.725594E-02 0.561156E-04 0.644716E+00 0.644968E+00 0.369624E-03
 0.866667E+01 0.833347E-01 0.975197E-03 0.706590E-02 0.533245E-04 0.643983E+00 0.644315E+00 0.489566E-03
 0.872222E+01 0.821576E-01 0.106840E-02 0.687214E-02 0.505552E-04 0.643170E+00 0.643569E+00 0.637157E-03
 0.877778E+01 0.810542E-01 0.113926E-02 0.669314E-02 0.480712E-04 0.642313E+00 0.642774E+00 0.727574E-03
 0.883333E+01 0.800034E-01 0.116005E-02 0.652432E-02 0.457662E-04 0.641613E+00 0.642085E+00 0.892371E-03
 0.888889E+01 0.790166E-01 0.111362E-02 0.636798E-02 0.436866E-04 0.640893E+00 0.641317E+00 0.103480E-02
 0.894444E+01 0.781572E-01 0.959655E-03 0.623363E-02 0.419450E-04 0.640187E+00 0.640481E+00 0.114696E-02
 0.900000E+01 0.773662E-01 0.745344E-03 0.611030E-02 0.403507E-04 0.639749E+00 0.639909E+00 0.113339E-02
 0.905556E+01 0.766410E-01 0.524828E-03 0.599894E-02 0.389520E-04 0.639206E+00 0.639270E+00 0.106508E-02
 0.911111E+01 0.759024E-01 0.267999E-03 0.588581E-02 0.375413E-04 0.638777E+00 0.638783E+00 0.919855E-03
 0.916667E+01 0.750310E-01 0.139745E-03 0.575386E-02 0.359275E-04 0.638267E+00 0.638264E+00 0.831080E-03
 0.922222E+01 0.741159E-01 0.453553E-04 0.561752E-02 0.343127E-04 0.637554E+00 0.637552E+00 0.783677E-03
 0.927778E+01 0.731230E-01 0.572920E-05 0.547076E-02 0.326004E-04 0.636916E+00 0.636919E+00 0.717323E-03
 0.933333E+01 0.720915E-01 0.452801E-04 0.532059E-02 0.308982E-04 0.636175E+00 0.636183E+00 0.727043E-03
 0.938889E+01 0.710586E-01 0.321833E-04 0.517240E-02 0.292642E-04 0.635388E+00 0.635394E+00 0.649946E-03
 0.944444E+01 0.700227E-01 0.706333E-04 0.502576E-02 0.276880E-04 0.634602E+00 0.634614E+00 0.674942E-03
 0.950000E+01 0.690140E-01 0.978999E-04 0.488474E-02 0.262072E-04 0.633885E+00 0.633899E+00 0.486138E-03
 0.955556E+01 0.679959E-01 0.123271E-03 0.474526E-02 0.247968E-04 0.632924E+00 0.632942E+00 0.382364E-03
 0.961111E+01 0.669607E-01 0.159381E-03 0.460467E-02 0.233991E-04 0.632141E+00 0.632166E+00 0.322373E-03
 0.966667E+01 0.659263E-01 0.261029E-03 0.446677E-02 0.220735E-04 0.631224E+00 0.631280E+00 0.218863E-03
 0.972222E+01 0.648975E-01 0.348704E-03 0.433171E-02 0.208127E-04 0.630268E+00 0.630354E+00 0.706588E-06
 0.977778E+01 0.638674E-01 0.459188E-03 0.419896E-02 0.196168E-04 0.629128E+00 0.629267E+00 0.199384E-03
 0.983333E+01 0.628557E-01 0.584157E-03 0.407060E-02 0.184909E-04 0.628019E+00 0.628246E+00 0.321013E-03
 0.988889E+01 0.619162E-01 0.722019E-03 0.395267E-02 0.174786E-04 0.627089E+00 0.627424E+00 0.592754E-03
 0.994444E+01 0.609039E-01 0.849279E-03 0.382846E-02 0.164545E-04 0.625790E+00 0.626267E+00 0.731320E-03
 0.100000E+02 0.599471E-01 0.945589E-03 0.371250E-02 0.155198E-04 0.624653E+00 0.625253E+00 0.911141E-03
 0.100556E+02 0.590271E-01 0.101389E-02 0.360265E-02 0.146579E-04 0.623550E+00 0.624259E+00 0.101171E-02
 0.101111E+02 0.581077E-01 0.102235E-02 0.349425E-02 0.138292E-04 0.622457E+00 0.623189E+00 0.112140E-02
 0.101667E+02 0.571770E-01 0.107589E-02 0.338712E-02 0.130443E-04 0.621001E+00 0.621827E+00 0.127654E-02
 0.102222E+02 0.562524E-01 0.107375E-02 0.328111E-02 0.122716E-04 0.620041E+00 0.620894E+00 0.129096E-02
 0.102778E+02 0.553542E-01 0.105131E-02 0.318002E-02 0.115626E-04 0.618869E+00 0.619717E+00 0.127888E-02
 0.103333E+02 0.544383E-01 0.102981E-02 0.307877E-02 0.108729E-04 0.617642E+00 0.618480E+00 0.130634E-02
 0.103889E+02 0.535552E-01 0.100436E-02 0.298249E-02 0.102343E-04 0.616489E+00 0.617301E+00 0.137718E-02
 0.104444E+02 0.526915E-01 0.994312E-03 0.289004E-02 0.964029E-05 0.615265E+00 0.616071E+00 0.149243E-02
 0.105000E+02 0.518199E-01 0.965243E-03 0.279845E-02 0.907340E-05 0.613799E+00 0.614588E+00 0.147116E-02
 0.105556E+02 0.509995E-01 0.937517E-03 0.271300E-02 0.855306E-05 0.612653E+00 0.613425E+00 0.144527E-02
 0.106111E+02 0.501799E-01 0.895345E-03 0.262963E-02 0.806532E-05 0.611213E+00 0.611927E+00 0.150203E-02
 0.106667E+02 0.493899E-01 0.859689E-03 0.254955E-02 0.759907E-05 0.610318E+00 0.611005E+00 0.143924E-02
