 program J1J2_6          
 linear system size                20
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.800000E+01    1 -.877150E+01 0.000000E+00
 0.800000E+01    2 -.867379E+01 0.000000E+00
 0.800000E+01    3 -.857607E+01 0.000000E+00
 0.800000E+01    4 -.847836E+01 0.000000E+00
 0.800000E+01    5 -.838064E+01 0.000000E+00
 0.800000E+01    6 -.828293E+01 0.000000E+00
 0.800000E+01    7 -.818521E+01 0.000000E+00
 0.800000E+01    8 -.808750E+01 0.000000E+00
 0.800000E+01    9 -.798978E+01 0.000000E+00
 0.800000E+01   10 -.789207E+01 0.000000E+00
 0.800000E+01   11 -.779435E+01 0.000000E+00
 0.800000E+01   12 -.769664E+01 0.000000E+00
 0.800000E+01   13 -.759892E+01 0.000000E+00
 0.800000E+01   14 -.750121E+01 0.000000E+00
 0.800000E+01   15 -.740349E+01 0.000000E+00
 0.800000E+01   16 -.730578E+01 0.000000E+00
 0.800000E+01   17 -.720806E+01 0.000000E+00
 0.800000E+01   18 -.711035E+01 0.000000E+00
 0.800000E+01   19 -.701263E+01 0.000000E+00
 0.800000E+01   20 -.691492E+01 0.000000E+00
 0.800000E+01   21 -.681720E+01 0.000000E+00
 0.800000E+01   22 -.671949E+01 0.000000E+00
 0.800000E+01   23 -.662177E+01 0.000000E+00
 0.800000E+01   24 -.652406E+01 0.000000E+00
 0.800000E+01   25 -.642634E+01 0.000000E+00
 0.800000E+01   26 -.632863E+01 0.000000E+00
 0.800000E+01   27 -.623091E+01 0.000000E+00
 0.800000E+01   28 -.613320E+01 0.000000E+00
 0.800000E+01   29 -.603548E+01 0.000000E+00
 0.800000E+01   30 -.593777E+01 0.000000E+00
 0.800000E+01   31 -.584005E+01 0.000000E+00
 0.800000E+01   32 -.574234E+01 0.000000E+00
 0.800000E+01   33 -.564462E+01 0.000000E+00
 0.800000E+01   34 -.554691E+01 0.000000E+00
 0.800000E+01   35 -.544919E+01 0.000000E+00
 0.800000E+01   36 -.535148E+01 0.000000E+00
 0.800000E+01   37 -.525376E+01 0.000000E+00
 0.800000E+01   38 -.515605E+01 0.000000E+00
 0.800000E+01   39 -.505833E+01 0.000000E+00
 0.800000E+01   40 -.496062E+01 0.000000E+00
 0.800000E+01   41 -.486290E+01 0.000000E+00
 0.800000E+01   42 -.476519E+01 0.000000E+00
 0.800000E+01   43 -.466747E+01 0.000000E+00
 0.800000E+01   44 -.456976E+01 0.000000E+00
 0.800000E+01   45 -.447204E+01 0.460000E-05
 0.800000E+01   46 -.437433E+01 0.237400E-03
 0.800000E+01   47 -.427661E+01 0.355640E-02
 0.800000E+01   48 -.417890E+01 0.259893E-01
 0.800000E+01   49 -.408118E+01 0.128106E+00
 0.800000E+01   50 -.398347E+01 0.326239E+00
 0.800000E+01   51 -.388575E+01 0.341494E+00
 0.800000E+01   52 -.378804E+01 0.143051E+00
 0.800000E+01   53 -.369032E+01 0.280211E-01
 0.800000E+01   54 -.359261E+01 0.314450E-02
 0.800000E+01   55 -.349489E+01 0.154200E-03
 0.800000E+01   56 -.339718E+01 0.200000E-05
 0.800000E+01   57 -.329946E+01 0.000000E+00
 0.800000E+01   58 -.320175E+01 0.000000E+00
 0.800000E+01   59 -.310403E+01 0.000000E+00
 0.800000E+01   60 -.300632E+01 0.000000E+00
 0.800000E+01   61 -.290860E+01 0.000000E+00
 0.800000E+01   62 -.281089E+01 0.000000E+00
 0.800000E+01   63 -.271317E+01 0.000000E+00
 0.800000E+01   64 -.261546E+01 0.000000E+00
 0.800000E+01   65 -.251774E+01 0.000000E+00
 0.800000E+01   66 -.242003E+01 0.000000E+00
 0.800000E+01   67 -.232231E+01 0.000000E+00
 0.800000E+01   68 -.222460E+01 0.000000E+00
 0.800000E+01   69 -.212688E+01 0.000000E+00
 0.800000E+01   70 -.202917E+01 0.000000E+00
 0.800000E+01   71 -.193145E+01 0.000000E+00
 0.800000E+01   72 -.183374E+01 0.000000E+00
 0.800000E+01   73 -.173602E+01 0.000000E+00
 0.800000E+01   74 -.163831E+01 0.000000E+00
 0.800000E+01   75 -.154059E+01 0.000000E+00
 0.800000E+01   76 -.144288E+01 0.000000E+00
 0.800000E+01   77 -.134516E+01 0.000000E+00
 0.800000E+01   78 -.124745E+01 0.000000E+00
 0.800000E+01   79 -.114973E+01 0.000000E+00
 0.800000E+01   80 -.105202E+01 0.000000E+00
 0.800000E+01   81 -.954301E+00 0.000000E+00
 0.800000E+01   82 -.856586E+00 0.000000E+00
 0.800000E+01   83 -.758871E+00 0.000000E+00
 0.800000E+01   84 -.661156E+00 0.000000E+00
 0.800000E+01   85 -.563440E+00 0.000000E+00
 0.800000E+01   86 -.465725E+00 0.000000E+00
 0.800000E+01   87 -.368010E+00 0.000000E+00
 0.800000E+01   88 -.270295E+00 0.000000E+00
 0.800000E+01   89 -.172580E+00 0.000000E+00
 0.800000E+01   90 -.748653E-01 0.000000E+00
 0.800000E+01   91 0.228497E-01 0.000000E+00
 0.800000E+01   92 0.120565E+00 0.000000E+00
