 program J1J2_6          
 spatial system size               20
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed         1000
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 -.194250E-01 0.204655E-01 0.421792E+00 0.463750E+00 0.131108E+00 0.587141E+00 0.474061E-02
 0.818421E+01 -.190517E-01 0.199575E-01 0.401263E+00 0.420661E+00 0.129132E+00 0.584680E+00 0.481050E-02
 0.836842E+01 -.186657E-01 0.194298E-01 0.380479E+00 0.379360E+00 0.126489E+00 0.582026E+00 0.488631E-02
 0.855263E+01 -.182545E-01 0.188842E-01 0.359566E+00 0.340090E+00 0.123172E+00 0.579456E+00 0.494414E-02
 0.873684E+01 -.178171E-01 0.183210E-01 0.338598E+00 0.302998E+00 0.119052E+00 0.576650E+00 0.501029E-02
 0.892105E+01 -.173619E-01 0.177423E-01 0.317710E+00 0.268266E+00 0.114102E+00 0.573637E+00 0.507833E-02
 0.910526E+01 -.169044E-01 0.171497E-01 0.297007E+00 0.235973E+00 0.108318E+00 0.570443E+00 0.515309E-02
 0.928947E+01 -.164522E-01 0.165458E-01 0.276629E+00 0.206236E+00 0.101646E+00 0.567231E+00 0.520875E-02
 0.947368E+01 -.159886E-01 0.159336E-01 0.256708E+00 0.179040E+00 0.943721E-01 0.563781E+00 0.526834E-02
 0.965789E+01 -.154715E-01 0.153171E-01 0.237399E+00 0.154438E+00 0.865690E-01 0.560229E+00 0.531965E-02
 0.984211E+01 -.149185E-01 0.146996E-01 0.218814E+00 0.132338E+00 0.786772E-01 0.556388E+00 0.538085E-02
 0.100263E+02 -.143316E-01 0.140862E-01 0.201098E+00 0.112707E+00 0.710059E-01 0.552463E+00 0.543808E-02
 0.102105E+02 -.137306E-01 0.134806E-01 0.184347E+00 0.954372E-01 0.638923E-01 0.548403E+00 0.550025E-02
 0.103947E+02 -.131290E-01 0.128873E-01 0.168639E+00 0.803935E-01 0.577171E-01 0.544212E+00 0.556629E-02
 0.105789E+02 -.125402E-01 0.123093E-01 0.154010E+00 0.674171E-01 0.525586E-01 0.539879E+00 0.563939E-02
 0.107632E+02 -.119999E-01 0.117495E-01 0.140479E+00 0.562910E-01 0.491832E-01 0.535544E+00 0.570618E-02
 0.109474E+02 -.114921E-01 0.112117E-01 0.128063E+00 0.468559E-01 0.476578E-01 0.531046E+00 0.578528E-02
 0.111316E+02 -.110149E-01 0.106991E-01 0.116765E+00 0.389450E-01 0.478583E-01 0.526694E+00 0.585324E-02
 0.113158E+02 -.105685E-01 0.102157E-01 0.106589E+00 0.323948E-01 0.495551E-01 0.522464E+00 0.591576E-02
 0.115000E+02 -.101236E-01 0.976340E-02 0.974864E-01 0.270165E-01 0.524103E-01 0.518333E+00 0.597740E-02
