 program J1J2_6          
 spatial system size               20
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed         1000
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.430643E+00 0.189020E+00 0.384029E-01 0.109934E+00 0.925149E+00 0.587998E+00 0.985833E+00 0.460500E-03 0.172599E-02 0.132261E-01 0.283918E+00 0.964855E-01 0.146933E-01 0.622437E+00 0.260286E-02 0.277617E+00 0.925346E-01 0.136187E-01 0.619945E+00 0.278354E-02 0.659586E-01 0.666893E-03 0.610967E+00 0.999217E-02
 0.818421E+01 0.409764E+00 0.172002E+00 0.323371E-01 0.104052E+00 0.906968E+00 0.673004E+00 0.981266E+00 0.677398E-03 0.184587E-02 0.163444E-01 0.268414E+00 0.879155E-01 0.126590E-01 0.612946E+00 0.292718E-02 0.262066E+00 0.840867E-01 0.116831E-01 0.610281E+00 0.308019E-02 0.579083E-01 0.636495E-03 0.587367E+00 0.101642E-01
 0.836842E+01 0.388236E+00 0.155414E+00 0.269523E-01 0.977629E-01 0.884120E+00 0.772817E+00 0.974933E+00 0.969721E-03 0.196933E-02 0.197216E-01 0.252639E+00 0.795611E-01 0.108005E-01 0.602050E+00 0.326880E-02 0.246178E+00 0.758526E-01 0.992237E-02 0.598838E+00 0.340778E-02 0.503210E-01 0.600030E-03 0.563978E+00 0.102987E-01
 0.855263E+01 0.366171E+00 0.139397E+00 0.222339E-01 0.911002E-01 0.855775E+00 0.883492E+00 0.966377E+00 0.133255E-02 0.209072E-02 0.228912E-01 0.236646E+00 0.714738E-01 0.912142E-02 0.589579E+00 0.361441E-02 0.230133E+00 0.679227E-01 0.834053E-02 0.585746E+00 0.374245E-02 0.432706E-01 0.558528E-03 0.541160E+00 0.103863E-01
 0.873684E+01 0.343641E+00 0.124052E+00 0.181486E-01 0.840789E-01 0.820672E+00 0.100411E+01 0.954896E+00 0.177225E-02 0.220603E-02 0.256796E-01 0.220530E+00 0.636981E-01 0.761862E-02 0.575541E+00 0.395286E-02 0.214059E+00 0.603539E-01 0.693466E-02 0.570791E+00 0.409153E-02 0.368282E-01 0.513683E-03 0.519858E+00 0.104289E-01
 0.892105E+01 0.320792E+00 0.109501E+00 0.146571E-01 0.767689E-01 0.777608E+00 0.113120E+01 0.939681E+00 0.230208E-02 0.230919E-02 0.281036E-01 0.204434E+00 0.563058E-01 0.629207E-02 0.559878E+00 0.427617E-02 0.198100E+00 0.531955E-01 0.569774E-02 0.554204E+00 0.442936E-02 0.310447E-01 0.466797E-03 0.500956E+00 0.104372E-01
 0.910526E+01 0.297735E+00 0.958106E-01 0.117031E-01 0.692686E-01 0.725102E+00 0.125588E+01 0.919860E+00 0.293317E-02 0.239476E-02 0.298855E-01 0.188475E+00 0.493447E-01 0.513446E-02 0.542364E+00 0.458536E-02 0.182308E+00 0.464659E-01 0.462051E-02 0.535606E+00 0.476417E-02 0.259124E-01 0.419262E-03 0.485044E+00 0.104310E-01
 0.928947E+01 0.274673E+00 0.830688E-01 0.923493E-02 0.617159E-01 0.661687E+00 0.136795E+01 0.894528E+00 0.366288E-02 0.245667E-02 0.308507E-01 0.172807E+00 0.428603E-01 0.413735E-02 0.522911E+00 0.487655E-02 0.166847E+00 0.402085E-01 0.369462E-02 0.515240E+00 0.506895E-02 0.214388E-01 0.371927E-03 0.472875E+00 0.104220E-01
 0.947368E+01 0.251826E+00 0.713347E-01 0.719542E-02 0.542825E-01 0.585981E+00 0.145372E+01 0.863347E+00 0.446189E-02 0.248934E-02 0.308592E-01 0.157543E+00 0.368733E-01 0.328780E-02 0.501540E+00 0.514042E-02 0.151847E+00 0.344613E-01 0.291155E-02 0.492943E+00 0.535102E-02 0.175843E-01 0.325912E-03 0.464451E+00 0.104225E-01
 0.965789E+01 0.229478E+00 0.606697E-01 0.553266E-02 0.471213E-01 0.496892E+00 0.150518E+01 0.826258E+00 0.530880E-02 0.248849E-02 0.301993E-01 0.142844E+00 0.314152E-01 0.257452E-02 0.478129E+00 0.538999E-02 0.137478E+00 0.292545E-01 0.225978E-02 0.468826E+00 0.561500E-02 0.143155E-01 0.282380E-03 0.460002E+00 0.104400E-01
 0.984211E+01 0.207882E+00 0.510995E-01 0.419498E-02 0.403826E-01 0.393443E+00 0.152184E+01 0.783470E+00 0.614866E-02 0.245205E-02 0.291858E-01 0.128826E+00 0.264983E-01 0.198440E-02 0.452989E+00 0.560318E-02 0.123867E+00 0.246013E-01 0.172659E-02 0.443357E+00 0.583287E-02 0.115769E-01 0.242082E-03 0.459169E+00 0.104610E-01
 0.100263E+02 0.187273E+00 0.426267E-01 0.313479E-02 0.341627E-01 0.274781E+00 0.150427E+01 0.735509E+00 0.693194E-02 0.238121E-02 0.280300E-01 0.115624E+00 0.221288E-01 0.150412E-02 0.426306E+00 0.578133E-02 0.111116E+00 0.204979E-01 0.129810E-02 0.416628E+00 0.601357E-02 0.931541E-02 0.205902E-03 0.461841E+00 0.104804E-01
 0.102105E+02 0.167852E+00 0.352270E-01 0.230706E-02 0.285488E-01 0.140886E+00 0.145284E+01 0.682783E+00 0.763046E-02 0.227999E-02 0.264074E-01 0.103319E+00 0.183011E-01 0.112075E-02 0.398350E+00 0.591235E-02 0.992859E-01 0.169259E-01 0.959638E-03 0.388740E+00 0.614214E-02 0.746372E-02 0.173627E-03 0.467631E+00 0.104868E-01
 0.103947E+02 0.149770E+00 0.288545E-01 0.167153E-02 0.235797E-01 -.764604E-02 0.137366E+01 0.625730E+00 0.823681E-02 0.215376E-02 0.242310E-01 0.919953E-01 0.150025E-01 0.820730E-03 0.369121E+00 0.600805E-02 0.884082E-01 0.138520E-01 0.697166E-03 0.360314E+00 0.620697E-02 0.596455E-02 0.145427E-03 0.476630E+00 0.104765E-01
 0.105789E+02 0.133100E+00 0.234259E-01 0.119037E-02 0.192515E-01 -.169148E+00 0.127958E+01 0.565119E+00 0.871269E-02 0.200456E-02 0.222709E-01 0.816721E-01 0.121920E-01 0.590039E-03 0.339431E+00 0.603225E-02 0.784773E-01 0.112340E-01 0.496824E-03 0.331187E+00 0.621134E-02 0.475735E-02 0.120599E-03 0.488804E+00 0.104474E-01
 0.107632E+02 0.117844E+00 0.188429E-01 0.830778E-03 0.155310E-01 -.339861E+00 0.117717E+01 0.501041E+00 0.904626E-02 0.183629E-02 0.211447E-01 0.723152E-01 0.981822E-02 0.415256E-03 0.309180E+00 0.599924E-02 0.694656E-01 0.902466E-02 0.346165E-03 0.301322E+00 0.615405E-02 0.378976E-02 0.990127E-04 0.504233E+00 0.103993E-01
 0.109474E+02 0.104053E+00 0.150269E-01 0.567834E-03 0.123884E-01 -.514679E+00 0.106800E+01 0.434859E+00 0.920843E-02 0.165481E-02 0.204530E-01 0.639462E-01 0.784621E-02 0.286489E-03 0.278995E+00 0.590122E-02 0.613641E-01 0.718069E-02 0.235103E-03 0.271651E+00 0.600678E-02 0.301979E-02 0.803261E-04 0.523053E+00 0.103240E-01
 0.111316E+02 0.917053E-01 0.118890E-01 0.379636E-03 0.977601E-02 -.685805E+00 0.954962E+00 0.367495E+00 0.920368E-02 0.146642E-02 0.195235E-01 0.564940E-01 0.622315E-02 0.193461E-03 0.248819E+00 0.573907E-02 0.541624E-01 0.566589E-02 0.155495E-03 0.242151E+00 0.578218E-02 0.240904E-02 0.643071E-04 0.545170E+00 0.102164E-01
 0.113158E+02 0.808297E-01 0.936031E-02 0.249226E-03 0.765668E-02 -.844550E+00 0.840757E+00 0.300915E+00 0.903388E-02 0.127970E-02 0.180926E-01 0.499864E-01 0.491879E-02 0.128579E-03 0.220100E+00 0.549673E-02 0.478203E-01 0.444152E-02 0.100348E-03 0.212928E+00 0.549306E-02 0.192814E-02 0.507767E-04 0.569853E+00 0.100648E-01
 0.115000E+02 0.713776E-01 0.735573E-02 0.161155E-03 0.596923E-02 -.978469E+00 0.729882E+00 0.236689E+00 0.871138E-02 0.110080E-02 0.161869E-01 0.443222E-01 0.387823E-02 0.840172E-04 0.192068E+00 0.520294E-02 0.423517E-01 0.347750E-02 0.637141E-04 0.185165E+00 0.513723E-02 0.155175E-02 0.394518E-04 0.597074E+00 0.986016E-02
