 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 -.167864E-01 0.172833E-02 0.875089E-05 0.234876E-01
   1 0.818421E+01 -.196608E-01 0.183147E-02 0.979754E-05 0.263638E-01
   1 0.836842E+01 -.227386E-01 0.198123E-02 0.112495E-04 0.446984E-01
   1 0.855263E+01 -.255082E-01 0.213341E-02 0.126916E-04 0.705014E-01
   1 0.873684E+01 -.277083E-01 0.226032E-02 0.140438E-04 0.837250E-01
   1 0.892105E+01 -.291166E-01 0.233077E-02 0.148275E-04 0.901953E-01
   1 0.910526E+01 -.298732E-01 0.237140E-02 0.153035E-04 0.928855E-01
   1 0.928947E+01 -.297405E-01 0.236684E-02 0.150726E-04 0.103128E+00
   1 0.947368E+01 -.294014E-01 0.236137E-02 0.152597E-04 0.877883E-01
   1 0.965789E+01 -.284402E-01 0.229529E-02 0.143969E-04 0.890967E-01
   1 0.984211E+01 -.273283E-01 0.221667E-02 0.136095E-04 0.767479E-01
   1 0.100263E+02 -.259669E-01 0.215712E-02 0.130879E-04 0.624350E-01
   1 0.102105E+02 -.246179E-01 0.208424E-02 0.123149E-04 0.550346E-01
   1 0.103947E+02 -.227975E-01 0.199982E-02 0.115341E-04 0.386505E-01
   1 0.105789E+02 -.219848E-01 0.195614E-02 0.110062E-04 0.412265E-01
   1 0.107632E+02 -.214818E-01 0.190885E-02 0.104752E-04 0.417022E-01
   1 0.109474E+02 -.210678E-01 0.185097E-02 0.985830E-05 0.408568E-01
   1 0.111316E+02 -.205491E-01 0.175877E-02 0.896114E-05 0.343373E-01
   1 0.113158E+02 -.197034E-01 0.167733E-02 0.819374E-05 0.292109E-01
   1 0.115000E+02 -.189693E-01 0.159905E-02 0.738733E-05 0.369597E-01
   2 0.800000E+01 0.376497E+00 0.143354E+00 0.214640E-01 0.651844E+00
   2 0.818421E+01 0.371178E+00 0.139377E+00 0.203147E-01 0.651414E+00
   2 0.836842E+01 0.364883E+00 0.134722E+00 0.189958E-01 0.651132E+00
   2 0.855263E+01 0.357580E+00 0.129414E+00 0.175462E-01 0.650781E+00
   2 0.873684E+01 0.349311E+00 0.123539E+00 0.160087E-01 0.650358E+00
   2 0.892105E+01 0.339184E+00 0.116543E+00 0.142757E-01 0.649647E+00
   2 0.910526E+01 0.328618E+00 0.109472E+00 0.126288E-01 0.648735E+00
   2 0.928947E+01 0.317062E+00 0.101997E+00 0.109984E-01 0.647601E+00
   2 0.947368E+01 0.304361E+00 0.941086E-01 0.940551E-02 0.646000E+00
   2 0.965789E+01 0.290987E+00 0.861169E-01 0.790825E-02 0.644547E+00
   2 0.984211E+01 0.277430E+00 0.784019E-01 0.659247E-02 0.642502E+00
   2 0.100263E+02 0.264065E+00 0.711491E-01 0.546125E-02 0.640390E+00
   2 0.102105E+02 0.250741E+00 0.642452E-01 0.447764E-02 0.638385E+00
   2 0.103947E+02 0.238068E+00 0.580130E-01 0.367253E-02 0.636258E+00
   2 0.105789E+02 0.226042E+00 0.524142E-01 0.302013E-02 0.633557E+00
   2 0.107632E+02 0.214792E+00 0.474106E-01 0.248621E-02 0.631305E+00
   2 0.109474E+02 0.203849E+00 0.427926E-01 0.204048E-02 0.628573E+00
   2 0.111316E+02 0.193582E+00 0.386791E-01 0.167992E-02 0.625704E+00
   2 0.113158E+02 0.184307E+00 0.351366E-01 0.139602E-02 0.623077E+00
   2 0.115000E+02 0.176016E+00 0.321106E-01 0.117381E-02 0.620526E+00
   3 0.800000E+01 -.316839E+00 0.101845E+00 0.109631E-01 0.647685E+00
   3 0.818421E+01 -.311591E+00 0.985685E-01 0.102953E-01 0.646784E+00
   3 0.836842E+01 -.306420E+00 0.953852E-01 0.966470E-02 0.645917E+00
   3 0.855263E+01 -.301755E+00 0.925568E-01 0.911777E-02 0.645227E+00
   3 0.873684E+01 -.297510E+00 0.900100E-01 0.863551E-02 0.644708E+00
   3 0.892105E+01 -.293681E+00 0.877420E-01 0.821875E-02 0.644148E+00
   3 0.910526E+01 -.289704E+00 0.854179E-01 0.780116E-02 0.643599E+00
   3 0.928947E+01 -.286018E+00 0.832898E-01 0.742754E-02 0.643106E+00
   3 0.947368E+01 -.281710E+00 0.808262E-01 0.700277E-02 0.642691E+00
   3 0.965789E+01 -.277160E+00 0.782786E-01 0.657976E-02 0.642066E+00
   3 0.984211E+01 -.271580E+00 0.751953E-01 0.608387E-02 0.641345E+00
   3 0.100263E+02 -.265258E+00 0.717962E-01 0.556115E-02 0.640383E+00
   3 0.102105E+02 -.258202E+00 0.680802E-01 0.501534E-02 0.639307E+00
   3 0.103947E+02 -.250294E+00 0.640420E-01 0.445469E-02 0.637952E+00
   3 0.105789E+02 -.241429E+00 0.596750E-01 0.388770E-02 0.636096E+00
   3 0.107632E+02 -.232099E+00 0.552301E-01 0.334666E-02 0.634289E+00
   3 0.109474E+02 -.222162E+00 0.507143E-01 0.284388E-02 0.631423E+00
   3 0.111316E+02 -.211889E+00 0.462213E-01 0.237739E-02 0.629066E+00
   3 0.113158E+02 -.201968E+00 0.420947E-01 0.198868E-02 0.625901E+00
   3 0.115000E+02 -.192099E+00 0.381696E-01 0.164695E-02 0.623189E+00
   4 0.800000E+01 -.293203E-01 0.238525E-02 0.156410E-04 0.836209E-01
   4 0.818421E+01 -.221767E-01 0.204481E-02 0.119590E-04 0.466176E-01
   4 0.836842E+01 -.149081E-01 0.178885E-02 0.955397E-05 0.479102E-02
   4 0.855263E+01 -.735248E-02 0.164700E-02 0.813182E-05 0.743308E-03
   4 0.873684E+01 0.594155E-04 0.162114E-02 0.786105E-05 0.294219E-02
   4 0.892105E+01 0.833980E-02 0.169954E-02 0.871668E-05 -.592952E-02
   4 0.910526E+01 0.151221E-01 0.182291E-02 0.981744E-05 0.152087E-01
   4 0.928947E+01 0.197428E-01 0.194889E-02 0.109527E-04 0.387693E-01
   4 0.947368E+01 0.237309E-01 0.208825E-02 0.124172E-04 0.508459E-01
   4 0.965789E+01 0.255957E-01 0.212699E-02 0.126984E-04 0.643868E-01
   4 0.984211E+01 0.265411E-01 0.213952E-02 0.127108E-04 0.744082E-01
