 program J1J2_6          
 spatial system size               24
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          900
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.427510E+00 0.184632E+00 0.354483E-01 0.886596E-01 0.960125E+00 0.638342E+00 0.991461E+00 0.234431E-03 0.129026E-02 0.135729E-01 0.290288E+00 0.946955E-01 0.124324E-01 0.643081E+00 0.185196E-02 0.281820E+00 0.899366E-01 0.113087E-01 0.638652E+00 0.205222E-02 0.731339E-01 0.609775E-03 0.708448E+00 0.941757E-02
 0.818421E+01 0.406729E+00 0.167612E+00 0.295181E-01 0.842465E-01 0.949300E+00 0.742921E+00 0.988596E+00 0.352468E-03 0.139184E-02 0.171761E-01 0.274805E+00 0.861161E-01 0.105995E-01 0.636663E+00 0.214220E-02 0.266178E+00 0.814959E-01 0.958311E-02 0.631193E+00 0.237788E-02 0.646103E-01 0.595840E-03 0.686135E+00 0.978275E-02
 0.836842E+01 0.385177E+00 0.150922E+00 0.242577E-01 0.796011E-01 0.935018E+00 0.868445E+00 0.984517E+00 0.526977E-03 0.150370E-02 0.214159E-01 0.258660E+00 0.776626E-01 0.893596E-02 0.628353E+00 0.247002E-02 0.250123E+00 0.732597E-01 0.802727E-02 0.622242E+00 0.272191E-02 0.563732E-01 0.574309E-03 0.662114E+00 0.101195E-01
 0.855263E+01 0.362881E+00 0.134686E+00 0.196599E-01 0.746786E-01 0.916226E+00 0.101923E+01 0.978680E+00 0.774887E-03 0.162365E-02 0.263561E-01 0.241947E+00 0.694044E-01 0.744189E-02 0.617898E+00 0.282926E-02 0.233715E+00 0.652813E-01 0.664101E-02 0.611721E+00 0.307226E-02 0.485319E-01 0.545151E-03 0.637047E+00 0.104080E-01
 0.873684E+01 0.339965E+00 0.119076E+00 0.157133E-01 0.694099E-01 0.891799E+00 0.119348E+01 0.970412E+00 0.111563E-02 0.174656E-02 0.318591E-01 0.224823E+00 0.614217E-01 0.611701E-02 0.605207E+00 0.319580E-02 0.217138E+00 0.576543E-01 0.542403E-02 0.599346E+00 0.344573E-02 0.412241E-01 0.508998E-03 0.611975E+00 0.106370E-01
 0.892105E+01 0.316513E+00 0.104217E+00 0.123797E-01 0.638008E-01 0.860194E+00 0.138934E+01 0.958637E+00 0.159001E-02 0.186801E-02 0.371498E-01 0.207460E+00 0.537951E-01 0.495793E-02 0.589933E+00 0.358470E-02 0.200466E+00 0.504224E-01 0.436957E-02 0.585102E+00 0.380821E-02 0.345336E-01 0.467208E-03 0.587961E+00 0.108072E-01
 0.910526E+01 0.292693E+00 0.902436E-01 0.961137E-02 0.578573E-01 0.819808E+00 0.158911E+01 0.942458E+00 0.219091E-02 0.197987E-02 0.406357E-01 0.190111E+00 0.466138E-01 0.395894E-02 0.572014E+00 0.399291E-02 0.183833E+00 0.436298E-01 0.346703E-02 0.568746E+00 0.417024E-02 0.285459E-01 0.421787E-03 0.566346E+00 0.109363E-01
 0.928947E+01 0.268739E+00 0.772802E-01 0.735122E-02 0.516709E-01 0.769098E+00 0.178632E+01 0.920886E+00 0.289104E-02 0.207073E-02 0.423853E-01 0.173062E+00 0.399607E-01 0.311211E-02 0.551859E+00 0.438832E-02 0.167373E+00 0.373195E-01 0.270573E-02 0.550322E+00 0.449346E-02 0.233038E-01 0.374457E-03 0.548580E+00 0.110548E-01
 0.947368E+01 0.244922E+00 0.654163E-01 0.553536E-02 0.454029E-01 0.706477E+00 0.195678E+01 0.893351E+00 0.365704E-02 0.213133E-02 0.430168E-01 0.156520E+00 0.338765E-01 0.240545E-02 0.529811E+00 0.475587E-02 0.151271E+00 0.315398E-01 0.207461E-02 0.529291E+00 0.480914E-02 0.188027E-01 0.326817E-03 0.534853E+00 0.111527E-01
 0.965789E+01 0.221500E+00 0.547063E-01 0.410065E-02 0.392133E-01 0.629818E+00 0.208351E+01 0.858962E+00 0.450053E-02 0.215728E-02 0.428231E-01 0.140596E+00 0.283736E-01 0.182510E-02 0.505937E+00 0.507222E-02 0.135746E+00 0.263327E-01 0.156207E-02 0.505925E+00 0.509939E-02 0.150085E-01 0.280930E-03 0.525561E+00 0.112118E-01
 0.984211E+01 0.198848E+00 0.452151E-01 0.298932E-02 0.332996E-01 0.537807E+00 0.214728E+01 0.817600E+00 0.539395E-02 0.214632E-02 0.418514E-01 0.125496E+00 0.234864E-01 0.135907E-02 0.480095E+00 0.535657E-02 0.121014E+00 0.217287E-01 0.115493E-02 0.480155E+00 0.537433E-02 0.118719E-01 0.238544E-03 0.520743E+00 0.112410E-01
 0.100263E+02 0.177358E+00 0.369642E-01 0.214407E-02 0.278323E-01 0.430809E+00 0.213761E+01 0.770203E+00 0.627936E-02 0.209707E-02 0.402462E-01 0.111398E+00 0.192227E-01 0.992498E-03 0.452769E+00 0.559711E-02 0.107313E+00 0.177415E-01 0.838718E-03 0.452727E+00 0.560856E-02 0.932883E-02 0.200074E-03 0.519895E+00 0.112467E-01
 0.102105E+02 0.157298E+00 0.299102E-01 0.151273E-02 0.229274E-01 0.309080E+00 0.206423E+01 0.718042E+00 0.708358E-02 0.201189E-02 0.380904E-01 0.984287E-01 0.155683E-01 0.710682E-03 0.424275E+00 0.579584E-02 0.947211E-01 0.143419E-01 0.598308E-03 0.424133E+00 0.578922E-02 0.729030E-02 0.165873E-03 0.522246E+00 0.112340E-01
 0.103947E+02 0.138772E+00 0.239494E-01 0.104772E-02 0.186147E-01 0.173342E+00 0.194553E+01 0.661542E+00 0.777123E-02 0.189407E-02 0.355519E-01 0.865916E-01 0.124712E-01 0.497841E-03 0.394722E+00 0.594539E-02 0.832582E-01 0.114782E-01 0.418624E-03 0.393903E+00 0.592876E-02 0.566992E-02 0.135784E-03 0.527814E+00 0.112088E-01
 0.105789E+02 0.121848E+00 0.189821E-01 0.711997E-03 0.149013E-01 0.239887E-01 0.179378E+01 0.601304E+00 0.833205E-02 0.175197E-02 0.329162E-01 0.759105E-01 0.989006E-02 0.341210E-03 0.364560E+00 0.603275E-02 0.729043E-01 0.909205E-02 0.286934E-03 0.362751E+00 0.600783E-02 0.439456E-02 0.110067E-03 0.536741E+00 0.111643E-01
 0.107632E+02 0.106553E+00 0.149012E-01 0.474857E-03 0.117711E-01 -.138563E+00 0.162315E+01 0.537577E+00 0.872814E-02 0.159300E-02 0.306006E-01 0.663705E-01 0.777489E-02 0.229217E-03 0.333598E+00 0.606191E-02 0.636229E-01 0.712627E-02 0.192450E-03 0.330836E+00 0.600547E-02 0.339718E-02 0.882879E-04 0.548912E+00 0.110893E-01
 0.109474E+02 0.928989E-01 0.116003E-01 0.310957E-03 0.918883E-02 -.310810E+00 0.143663E+01 0.471200E+00 0.896796E-02 0.142688E-02 0.282833E-01 0.579377E-01 0.606945E-02 0.151249E-03 0.302376E+00 0.601659E-02 0.553894E-01 0.553082E-02 0.126142E-03 0.298360E+00 0.592216E-02 0.262428E-02 0.703013E-04 0.564670E+00 0.109789E-01
 0.111316E+02 0.808885E-01 0.897807E-02 0.200516E-03 0.710926E-02 -.487614E+00 0.124513E+01 0.403460E+00 0.907098E-02 0.126161E-02 0.254205E-01 0.505494E-01 0.471077E-02 0.980958E-04 0.271019E+00 0.590471E-02 0.482103E-01 0.426730E-02 0.812643E-04 0.265637E+00 0.576513E-02 0.203051E-02 0.556311E-04 0.583631E+00 0.108270E-01
 0.113158E+02 0.704887E-01 0.693075E-02 0.127683E-03 0.547019E-02 -.658112E+00 0.106000E+01 0.336374E+00 0.902901E-02 0.110273E-02 0.221570E-01 0.441525E-01 0.364333E-02 0.625656E-04 0.239930E+00 0.573401E-02 0.420516E-01 0.328742E-02 0.517634E-04 0.233591E+00 0.554751E-02 0.157815E-02 0.437027E-04 0.605361E+00 0.106220E-01
 0.115000E+02 0.615748E-01 0.535074E-02 0.804905E-04 0.419858E-02 -.811358E+00 0.890207E+00 0.271209E+00 0.888214E-02 0.953783E-03 0.188837E-01 0.386583E-01 0.281411E-02 0.393113E-04 0.209783E+00 0.548818E-02 0.368169E-01 0.253664E-02 0.327205E-04 0.202388E+00 0.527638E-02 0.123412E-02 0.340372E-04 0.629776E+00 0.103581E-01
