 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          500
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8913298425641365E+00   1.0445169448373381E-02   6.1047473009888609E-01   8.6693525252808329E-04
   8.1842105263157894E+00  -3.7781232047293414E+00   1.0556456485903752E-02   6.1825360915211991E-01   8.5004630536500078E-04
   8.3684210526315788E+00  -3.6637083347232231E+00   1.0650991545752853E-02   6.2365831955881967E-01   8.3476319880852181E-04
   8.5526315789473681E+00  -3.5484657523359857E+00   1.0724125342502448E-02   6.2704746199087069E-01   8.5725203171920438E-04
   8.7368421052631575E+00  -3.4328361254153736E+00   1.0773859801784318E-02   6.2788105312317866E-01   8.9187306134347539E-04
   8.9210526315789469E+00  -3.3172199180429907E+00   1.0797130760220560E-02   6.2676196223203429E-01   9.4463541948010558E-04
   9.1052631578947363E+00  -3.2020416494081649E+00   1.0790286856359414E-02   6.2333989460097861E-01   1.0481325076463976E-03
   9.2894736842105257E+00  -3.0877603122531587E+00   1.0747997219191589E-02   6.1702166360998090E-01   1.1626735714879463E-03
   9.4736842105263150E+00  -2.9748345799434666E+00   1.0669316627564401E-02   6.0846690726731090E-01   1.2818418724027912E-03
   9.6578947368421062E+00  -2.8637273387876787E+00   1.0549480501645801E-02   5.9722495149810739E-01   1.4404341872969726E-03
   9.8421052631578938E+00  -2.7549508012736239E+00   1.0384775652258586E-02   5.8314189121261795E-01   1.5911066127671724E-03
   1.0026315789473685E+01  -2.6489997000821175E+00   1.0172596917930665E-02   5.6646136214949461E-01   1.7684216107092491E-03
   1.0210526315789474E+01  -2.5463851610191250E+00   9.9148201721090540E-03   5.4744139951481807E-01   1.9552156760069606E-03
   1.0394736842105264E+01  -2.4473940732847348E+00   9.6103200606377434E-03   5.2696913141765556E-01   2.1140300763582208E-03
   1.0578947368421053E+01  -2.3523954640336551E+00   9.2672674114299813E-03   5.0448829437991050E-01   2.2697900264674049E-03
   1.0763157894736842E+01  -2.2616249255252252E+00   8.8879805452820662E-03   4.8074757438220694E-01   2.3908366420871620E-03
   1.0947368421052632E+01  -2.1753402246911686E+00   8.4824050876752509E-03   4.5547209814889239E-01   2.4462193742447519E-03
   1.1131578947368421E+01  -2.0937874412541819E+00   8.0598564466563428E-03   4.2960996525172473E-01   2.4810605261259993E-03
   1.1315789473684211E+01  -2.0170856089445612E+00   7.6273627715556505E-03   4.0343457315065845E-01   2.4895124737811273E-03
   1.1500000000000000E+01  -1.9451916331717765E+00   7.1921754791597434E-03   3.7704645429708566E-01   2.4471788591317119E-03
