 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.800000E+01    1 -.936716E+01 0.000000E+00
 0.800000E+01    2 -.926349E+01 0.000000E+00
 0.800000E+01    3 -.915982E+01 0.000000E+00
 0.800000E+01    4 -.905615E+01 0.000000E+00
 0.800000E+01    5 -.895248E+01 0.000000E+00
 0.800000E+01    6 -.884881E+01 0.000000E+00
 0.800000E+01    7 -.874513E+01 0.000000E+00
 0.800000E+01    8 -.864146E+01 0.000000E+00
 0.800000E+01    9 -.853779E+01 0.000000E+00
 0.800000E+01   10 -.843412E+01 0.000000E+00
 0.800000E+01   11 -.833045E+01 0.000000E+00
 0.800000E+01   12 -.822678E+01 0.000000E+00
 0.800000E+01   13 -.812310E+01 0.000000E+00
 0.800000E+01   14 -.801943E+01 0.000000E+00
 0.800000E+01   15 -.791576E+01 0.000000E+00
 0.800000E+01   16 -.781209E+01 0.000000E+00
 0.800000E+01   17 -.770842E+01 0.000000E+00
 0.800000E+01   18 -.760475E+01 0.000000E+00
 0.800000E+01   19 -.750107E+01 0.000000E+00
 0.800000E+01   20 -.739740E+01 0.000000E+00
 0.800000E+01   21 -.729373E+01 0.000000E+00
 0.800000E+01   22 -.719006E+01 0.000000E+00
 0.800000E+01   23 -.708639E+01 0.000000E+00
 0.800000E+01   24 -.698272E+01 0.000000E+00
 0.800000E+01   25 -.687904E+01 0.000000E+00
 0.800000E+01   26 -.677537E+01 0.000000E+00
 0.800000E+01   27 -.667170E+01 0.000000E+00
 0.800000E+01   28 -.656803E+01 0.000000E+00
 0.800000E+01   29 -.646436E+01 0.000000E+00
 0.800000E+01   30 -.636069E+01 0.000000E+00
 0.800000E+01   31 -.625701E+01 0.000000E+00
 0.800000E+01   32 -.615334E+01 0.000000E+00
 0.800000E+01   33 -.604967E+01 0.000000E+00
 0.800000E+01   34 -.594600E+01 0.000000E+00
 0.800000E+01   35 -.584233E+01 0.000000E+00
 0.800000E+01   36 -.573866E+01 0.000000E+00
 0.800000E+01   37 -.563499E+01 0.000000E+00
 0.800000E+01   38 -.553131E+01 0.000000E+00
 0.800000E+01   39 -.542764E+01 0.000000E+00
 0.800000E+01   40 -.532397E+01 0.000000E+00
 0.800000E+01   41 -.522030E+01 0.000000E+00
 0.800000E+01   42 -.511663E+01 0.000000E+00
 0.800000E+01   43 -.501296E+01 0.000000E+00
 0.800000E+01   44 -.490928E+01 0.000000E+00
