 program J1J2_6          
 spatial system size               40
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.261361E-02 0.240321E-01 0.580788E-01 0.844510E-02 0.165457E+00 0.545939E+00 0.211255E-01
 0.818421E+01 0.265419E-02 0.234879E-01 0.554967E-01 0.771784E-02 0.164703E+00 0.542841E+00 0.213200E-01
 0.836842E+01 0.264979E-02 0.229239E-01 0.528813E-01 0.701610E-02 0.163683E+00 0.540310E+00 0.214176E-01
 0.855263E+01 0.259853E-02 0.223476E-01 0.502740E-01 0.634619E-02 0.163041E+00 0.537934E+00 0.215485E-01
 0.873684E+01 0.259385E-02 0.217491E-01 0.476359E-01 0.570017E-02 0.162668E+00 0.535364E+00 0.217667E-01
 0.892105E+01 0.255493E-02 0.211255E-01 0.449631E-01 0.508037E-02 0.162350E+00 0.533515E+00 0.218639E-01
 0.910526E+01 0.239261E-02 0.204845E-01 0.422943E-01 0.449116E-02 0.163100E+00 0.531528E+00 0.220424E-01
 0.928947E+01 0.220339E-02 0.198212E-01 0.396191E-01 0.394088E-02 0.163123E+00 0.528800E+00 0.223303E-01
 0.947368E+01 0.192415E-02 0.191429E-01 0.369730E-01 0.343176E-02 0.163192E+00 0.527529E+00 0.222996E-01
 0.965789E+01 0.164161E-02 0.184481E-01 0.343580E-01 0.296325E-02 0.163257E+00 0.524769E+00 0.225649E-01
 0.984211E+01 0.142262E-02 0.177382E-01 0.317852E-01 0.253729E-02 0.162859E+00 0.522678E+00 0.226531E-01
 0.100263E+02 0.124511E-02 0.170241E-01 0.292979E-01 0.215702E-02 0.162353E+00 0.520952E+00 0.226303E-01
 0.102105E+02 0.111073E-02 0.163170E-01 0.269347E-01 0.182280E-02 0.162486E+00 0.518251E+00 0.227551E-01
 0.103947E+02 0.101736E-02 0.156193E-01 0.247006E-01 0.153086E-02 0.163631E+00 0.515581E+00 0.228379E-01
 0.105789E+02 0.907316E-03 0.149391E-01 0.226160E-01 0.127928E-02 0.166297E+00 0.512113E+00 0.230398E-01
 0.107632E+02 0.841045E-03 0.142796E-01 0.206829E-01 0.106660E-02 0.168892E+00 0.509585E+00 0.229872E-01
 0.109474E+02 0.798556E-03 0.136484E-01 0.189136E-01 0.890234E-03 0.170465E+00 0.506085E+00 0.230989E-01
 0.111316E+02 0.752421E-03 0.130428E-01 0.172904E-01 0.742515E-03 0.172108E+00 0.503011E+00 0.230968E-01
 0.113158E+02 0.696081E-03 0.124687E-01 0.158190E-01 0.620794E-03 0.173066E+00 0.499281E+00 0.231976E-01
 0.115000E+02 0.631134E-03 0.119254E-01 0.144862E-01 0.520253E-03 0.173610E+00 0.495427E+00 0.233355E-01
