 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.316077E+00 0.259831E+00 0.409379E+00 0.323923E-01 -.399214E+01 -.387055E+01 0.821267E-01 0.962564E+00
   1 0.818421E+01 0.302943E+00 0.240795E+00 0.387248E+00 0.337922E-01 -.388347E+01 -.377536E+01 0.729471E-01 0.949083E+00
   1 0.836842E+01 0.285491E+00 0.223173E+00 0.363095E+00 0.316988E-01 -.376306E+01 -.367048E+01 0.637138E-01 0.941725E+00
   1 0.855263E+01 0.248888E+00 0.200104E+00 0.321872E+00 0.219039E-01 -.365841E+01 -.354535E+01 0.498035E-01 0.953873E+00
   1 0.873684E+01 0.203421E+00 0.185090E+00 0.279401E+00 0.712173E-02 -.354922E+01 -.343518E+01 0.376513E-01 0.991135E+00
   1 0.892105E+01 0.172311E+00 0.166925E+00 0.244396E+00 0.182719E-02 -.342244E+01 -.332614E+01 0.287630E-01 0.998992E+00
   1 0.910526E+01 0.143028E+00 0.151290E+00 0.211941E+00 -.243161E-02 -.333246E+01 -.320281E+01 0.216387E-01 0.996853E+00
   1 0.928947E+01 0.129831E+00 0.139396E+00 0.194057E+00 -.257505E-02 -.321958E+01 -.309936E+01 0.180979E-01 0.994964E+00
   1 0.947368E+01 0.119130E+00 0.127563E+00 0.178257E+00 -.208030E-02 -.310920E+01 -.297839E+01 0.151966E-01 0.995337E+00
   1 0.965789E+01 0.999967E-01 0.117361E+00 0.157725E+00 -.377420E-02 -.299721E+01 -.285267E+01 0.117357E-01 0.974795E+00
   1 0.984211E+01 0.883223E-01 0.107556E+00 0.142926E+00 -.376755E-02 -.290289E+01 -.276605E+01 0.949963E-02 0.962165E+00
   1 0.100263E+02 0.776740E-01 0.967328E-01 0.128257E+00 -.332399E-02 -.279781E+01 -.269342E+01 0.751363E-02 0.953354E+00
   1 0.102105E+02 0.610067E-01 0.876098E-01 0.111044E+00 -.395366E-02 -.270025E+01 -.256687E+01 0.534479E-02 0.879664E+00
   1 0.103947E+02 0.492496E-01 0.786704E-01 0.967819E-01 -.376350E-02 -.262412E+01 -.245269E+01 0.387449E-02 0.809138E+00
   1 0.105789E+02 0.420446E-01 0.715610E-01 0.867511E-01 -.335322E-02 -.252280E+01 -.240731E+01 0.300875E-02 0.763055E+00
   1 0.107632E+02 0.365920E-01 0.648325E-01 0.778370E-01 -.286428E-02 -.243326E+01 -.232396E+01 0.237235E-02 0.732908E+00
   1 0.109474E+02 0.330082E-01 0.592757E-01 0.708835E-01 -.242406E-02 -.236809E+01 -.220808E+01 0.195658E-02 0.722682E+00
   1 0.111316E+02 0.292679E-01 0.540415E-01 0.642019E-01 -.206388E-02 -.228454E+01 -.217252E+01 0.158168E-02 0.701425E+00
   1 0.113158E+02 0.263224E-01 0.494833E-01 0.585084E-01 -.175573E-02 -.221114E+01 -.208524E+01 0.130252E-02 0.687645E+00
   1 0.115000E+02 0.228767E-01 0.452748E-01 0.528707E-01 -.152647E-02 -.213506E+01 -.200201E+01 0.103574E-02 0.648080E+00
   2 0.800000E+01 0.302935E+00 0.275763E+00 0.409924E+00 0.157248E-01 -.397463E+01 -.386730E+01 0.835382E-01 0.991220E+00
   2 0.818421E+01 0.290153E+00 0.253681E+00 0.385782E+00 0.198346E-01 -.387240E+01 -.378275E+01 0.736064E-01 0.982170E+00
   2 0.836842E+01 0.276393E+00 0.238037E+00 0.365172E+00 0.197316E-01 -.376506E+01 -.362930E+01 0.657918E-01 0.978008E+00
   2 0.855263E+01 0.261181E+00 0.218371E+00 0.340939E+00 0.205293E-01 -.364882E+01 -.355718E+01 0.570344E-01 0.968626E+00
   2 0.873684E+01 0.244412E+00 0.198983E+00 0.315967E+00 0.201432E-01 -.355954E+01 -.341912E+01 0.486339E-01 0.958877E+00
   2 0.892105E+01 0.222424E+00 0.180088E+00 0.287459E+00 0.170407E-01 -.343557E+01 -.332974E+01 0.400560E-01 0.956713E+00
   2 0.910526E+01 0.196785E+00 0.158454E+00 0.254654E+00 0.136168E-01 -.333378E+01 -.322706E+01 0.311813E-01 0.954494E+00
   2 0.928947E+01 0.173887E+00 0.144084E+00 0.228601E+00 0.947658E-02 -.321563E+01 -.310076E+01 0.250543E-01 0.965468E+00
