 program J1J2_6          
 linear system size                10
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.6798993578485506E+00   8.5742927692119761E-02   6.1900730114555247E-01   6.7565665820849535E-03
   8.1842105263157894E+00  -3.5654148275212827E+00   8.6268236046965929E-02   6.2248554052873228E-01   7.0223930599911362E-03
   8.3684210526315788E+00  -3.4505103069884888E+00   8.6578429467956880E-02   6.2411522791109686E-01   7.3762713693133839E-03
   8.5526315789473681E+00  -3.3356000820373124E+00   8.6675261538783854E-02   6.2323369413155238E-01   7.9332184597793003E-03
   8.7368421052631575E+00  -3.2211544630582098E+00   8.6506094291763966E-02   6.2054856554109639E-01   8.9382445165159460E-03
   8.9210526315789469E+00  -3.1072689455043383E+00   8.6087869811865780E-02   6.1480937547575476E-01   9.9268371336641188E-03
   9.1052631578947363E+00  -2.9948976284477764E+00   8.5388129787774047E-02   6.0576163791011650E-01   1.0976957598746045E-02
   9.2894736842105257E+00  -2.8842156826052996E+00   8.4425669428080233E-02   5.9470867253485549E-01   1.1988513537395700E-02
   9.4736842105263150E+00  -2.7761262213089828E+00   8.3182823340008122E-02   5.7892217513764233E-01   1.2898636230102933E-02
   9.6578947368421062E+00  -2.6708265048975077E+00   8.1659890631640711E-02   5.6241961336659263E-01   1.3899560328797574E-02
   9.8421052631578938E+00  -2.5692360082704924E+00   7.9901622800643474E-02   5.4215616782928400E-01   1.4672085067144135E-02
   1.0026315789473685E+01  -2.4713033275411220E+00   7.7883750683945457E-02   5.2047014471459052E-01   1.5467708283288579E-02
   1.0210526315789474E+01  -2.3775637593223657E+00   7.5668894651470822E-02   4.9755638219021164E-01   1.6125715670150767E-02
   1.0394736842105264E+01  -2.2881476307417232E+00   7.3226557358952588E-02   4.7280327227578328E-01   1.6607347133461771E-02
   1.0578947368421053E+01  -2.2033488165586288E+00   7.0638616569296875E-02   4.4849600902978393E-01   1.7009456746635562E-02
   1.0763157894736842E+01  -2.1229853323436649E+00   6.7901801026980818E-02   4.2341513515638624E-01   1.7140713724462641E-02
   1.0947368421052632E+01  -2.0472390536891032E+00   6.5067110966842659E-02   3.9881537747544532E-01   1.7190212927601745E-02
   1.1131578947368421E+01  -1.9758952264109713E+00   6.2164636073733237E-02   3.7443142977198596E-01   1.6997316037983559E-02
   1.1315789473684211E+01  -1.9092358962437368E+00   5.9266632672234018E-02   3.5124284351267543E-01   1.6816850532143719E-02
   1.1500000000000000E+01  -1.8463838259612269E+00   5.6327691083754385E-02   3.2931549849882275E-01   1.6592157905500084E-02
