 program J1J2_6          
 spatial system size               10
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.477692E+00 0.247657E+00 0.791294E-01 0.204809E+00 0.709861E+00 0.385189E+00 0.922140E+00 0.100134E-01 0.128008E-01 0.248757E-01 0.265101E+00 0.111721E+00 0.302215E-01 0.481157E+00 0.195881E-01 0.302367E+00 0.135936E+00 0.418525E-01 0.517508E+00 0.178022E-01 0.478093E-01 0.273760E-02 0.357821E+00 0.343908E-01
 0.818421E+01 0.457003E+00 0.229772E+00 0.704893E-01 0.192093E+00 0.664849E+00 0.417451E+00 0.904018E+00 0.119592E-01 0.132301E-01 0.253801E-01 0.252641E+00 0.103584E+00 0.268644E-01 0.465052E+00 0.202588E-01 0.287935E+00 0.126188E+00 0.377950E-01 0.501653E+00 0.185606E-01 0.427389E-01 0.252900E-02 0.354189E+00 0.345295E-01
 0.836842E+01 0.435904E+00 0.212250E+00 0.624740E-01 0.179189E+00 0.613235E+00 0.450111E+00 0.882736E+00 0.139348E-01 0.135911E-01 0.257890E-01 0.240243E+00 0.956192E-01 0.237037E-01 0.448619E+00 0.208391E-01 0.273401E+00 0.116631E+00 0.339768E-01 0.485190E+00 0.191774E-01 0.381031E-01 0.232448E-02 0.352493E+00 0.347314E-01
 0.855263E+01 0.414381E+00 0.195100E+00 0.550524E-01 0.166204E+00 0.553692E+00 0.482247E+00 0.857990E+00 0.159355E-01 0.138794E-01 0.259781E-01 0.227841E+00 0.878138E-01 0.207383E-01 0.431318E+00 0.213954E-01 0.258748E+00 0.107286E+00 0.303991E-01 0.467382E+00 0.197748E-01 0.338446E-01 0.212415E-02 0.352611E+00 0.349676E-01
 0.873684E+01 0.392571E+00 0.178439E+00 0.482375E-01 0.153215E+00 0.485025E+00 0.513742E+00 0.829273E+00 0.179312E-01 0.140849E-01 0.259616E-01 0.215480E+00 0.802071E-01 0.179868E-01 0.414149E+00 0.217540E-01 0.244174E+00 0.982319E-01 0.270662E-01 0.448541E+00 0.203285E-01 0.300022E-01 0.193088E-02 0.354972E+00 0.352193E-01
 0.892105E+01 0.370470E+00 0.162275E+00 0.419974E-01 0.140329E+00 0.405155E+00 0.543778E+00 0.796132E+00 0.199063E-01 0.142043E-01 0.262807E-01 0.203108E+00 0.727897E-01 0.154449E-01 0.396235E+00 0.220421E-01 0.229628E+00 0.894853E-01 0.239792E-01 0.428913E+00 0.207144E-01 0.265043E-01 0.174380E-02 0.358983E+00 0.354538E-01
 0.910526E+01 0.348325E+00 0.146763E+00 0.363431E-01 0.127709E+00 0.312711E+00 0.569134E+00 0.758386E+00 0.218851E-01 0.142304E-01 0.270403E-01 0.190820E+00 0.656339E-01 0.131254E-01 0.377304E+00 0.222678E-01 0.215292E+00 0.811290E-01 0.211490E-01 0.408384E+00 0.209958E-01 0.233542E-01 0.156586E-02 0.364969E+00 0.356418E-01
 0.928947E+01 0.326338E+00 0.132027E+00 0.312764E-01 0.115508E+00 0.205726E+00 0.587863E+00 0.716494E+00 0.237534E-01 0.141669E-01 0.277542E-01 0.178747E+00 0.588179E-01 0.110414E-01 0.358960E+00 0.222609E-01 0.201233E+00 0.732094E-01 0.185803E-01 0.387118E+00 0.211444E-01 0.205285E-01 0.139663E-02 0.373022E+00 0.357907E-01
 0.947368E+01 0.304736E+00 0.118171E+00 0.267706E-01 0.103863E+00 0.829423E-01 0.597848E+00 0.670291E+00 0.254882E-01 0.140155E-01 0.279092E-01 0.166905E+00 0.523708E-01 0.919480E-02 0.338775E+00 0.222856E-01 0.187653E+00 0.658004E-01 0.162577E-01 0.365147E+00 0.211745E-01 0.180150E-01 0.123933E-02 0.382993E+00 0.358884E-01
 0.965789E+01 0.283777E+00 0.105288E+00 0.227962E-01 0.928831E-01 -.563936E-01 0.599714E+00 0.620425E+00 0.270801E-01 0.137719E-01 0.278586E-01 0.155444E+00 0.463241E-01 0.756260E-02 0.318830E+00 0.220576E-01 0.174678E+00 0.589639E-01 0.141863E-01 0.342535E+00 0.211198E-01 0.157986E-01 0.109400E-02 0.394829E+00 0.359324E-01
