 program J1J2_6          
 spatial system size               14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.690187E-01 0.980456E-01 0.973443E+00 0.298702E+01 -.507408E-01 0.552876E+00 0.191300E-01
 0.818421E+01 0.677890E-01 0.957594E-01 0.929043E+00 0.277415E+01 -.713636E-01 0.549301E+00 0.194300E-01
 0.836842E+01 0.664102E-01 0.934102E-01 0.884467E+00 0.256865E+01 -.945102E-01 0.546631E+00 0.195095E-01
 0.855263E+01 0.649094E-01 0.909856E-01 0.839611E+00 0.236930E+01 -.120324E+00 0.543898E+00 0.195192E-01
 0.873684E+01 0.634905E-01 0.885059E-01 0.794953E+00 0.217828E+01 -.148972E+00 0.540955E+00 0.195476E-01
 0.892105E+01 0.621250E-01 0.859651E-01 0.750465E+00 0.199542E+01 -.181008E+00 0.538041E+00 0.195637E-01
 0.910526E+01 0.609937E-01 0.833765E-01 0.706485E+00 0.182240E+01 -.217071E+00 0.534846E+00 0.196534E-01
 0.928947E+01 0.600028E-01 0.807442E-01 0.663145E+00 0.165793E+01 -.256689E+00 0.531175E+00 0.197951E-01
 0.947368E+01 0.591186E-01 0.780750E-01 0.620626E+00 0.150314E+01 -.300826E+00 0.526778E+00 0.200425E-01
 0.965789E+01 0.582392E-01 0.753815E-01 0.579145E+00 0.135852E+01 -.350116E+00 0.522507E+00 0.202474E-01
 0.984211E+01 0.573081E-01 0.726674E-01 0.538799E+00 0.122284E+01 -.404091E+00 0.517509E+00 0.205195E-01
 0.100263E+02 0.564872E-01 0.699670E-01 0.500109E+00 0.109742E+01 -.462589E+00 0.512569E+00 0.207366E-01
 0.102105E+02 0.557535E-01 0.672913E-01 0.463195E+00 0.981813E+00 -.525386E+00 0.507169E+00 0.210586E-01
 0.103947E+02 0.550017E-01 0.646399E-01 0.428010E+00 0.874499E+00 -.591221E+00 0.501874E+00 0.213261E-01
 0.105789E+02 0.542751E-01 0.620552E-01 0.395046E+00 0.776823E+00 -.659225E+00 0.496641E+00 0.215833E-01
 0.107632E+02 0.535426E-01 0.595407E-01 0.364237E+00 0.687615E+00 -.727650E+00 0.491923E+00 0.217348E-01
 0.109474E+02 0.528695E-01 0.571172E-01 0.335722E+00 0.606856E+00 -.794756E+00 0.487224E+00 0.219261E-01
 0.111316E+02 0.520612E-01 0.547915E-01 0.309437E+00 0.533307E+00 -.856575E+00 0.482419E+00 0.221272E-01
 0.113158E+02 0.510232E-01 0.525837E-01 0.285446E+00 0.467017E+00 -.910570E+00 0.477848E+00 0.223052E-01
 0.115000E+02 0.498624E-01 0.504837E-01 0.263511E+00 0.406916E+00 -.953378E+00 0.473643E+00 0.224247E-01
