 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 -.118401E+00 0.374708E-01 0.380209E-02 0.973585E-01
   1 0.818421E+01 -.112809E+00 0.354969E-01 0.346197E-02 0.841558E-01
   1 0.836842E+01 -.106184E+00 0.328736E-01 0.297365E-02 0.827805E-01
   1 0.855263E+01 -.991752E-01 0.306520E-01 0.262025E-02 0.703801E-01
   1 0.873684E+01 -.938633E-01 0.286196E-01 0.230010E-02 0.639540E-01
   1 0.892105E+01 -.884934E-01 0.265893E-01 0.200768E-02 0.534127E-01
   1 0.910526E+01 -.833401E-01 0.251736E-01 0.183546E-02 0.345415E-01
   1 0.928947E+01 -.783284E-01 0.233634E-01 0.158599E-02 0.314835E-01
   1 0.947368E+01 -.747296E-01 0.223362E-01 0.144653E-02 0.335314E-01
   1 0.965789E+01 -.705968E-01 0.212635E-01 0.130838E-02 0.354081E-01
   1 0.984211E+01 -.676855E-01 0.204175E-01 0.121567E-02 0.279514E-01
   1 0.100263E+02 -.646422E-01 0.193965E-01 0.110984E-02 0.166875E-01
   1 0.102105E+02 -.618595E-01 0.187263E-01 0.102834E-02 0.225109E-01
   1 0.103947E+02 -.604440E-01 0.182937E-01 0.980361E-03 0.235226E-01
   1 0.105789E+02 -.581606E-01 0.176450E-01 0.921787E-03 0.131123E-01
   1 0.107632E+02 -.563194E-01 0.171258E-01 0.865857E-03 0.159370E-01
   1 0.109474E+02 -.549269E-01 0.166528E-01 0.821329E-03 0.127672E-01
   1 0.111316E+02 -.528471E-01 0.163272E-01 0.789239E-03 0.131238E-01
   1 0.113158E+02 -.511644E-01 0.158255E-01 0.742118E-03 0.122724E-01
   1 0.115000E+02 -.492364E-01 0.155406E-01 0.709590E-03 0.206270E-01
   2 0.800000E+01 0.201928E+01 0.409486E+01 0.170502E+02 0.661054E+00
   2 0.818421E+01 0.197095E+01 0.390262E+01 0.155089E+02 0.660571E+00
   2 0.836842E+01 0.192117E+01 0.370937E+01 0.140316E+02 0.660073E+00
