 program J1J2_6          
 spatial system size               14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         201
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 -.952737E-02 0.109413E+00 0.120452E+01 0.388663E+01 0.107055E+00 0.587615E+00 0.145126E-01
 0.818421E+01 -.954460E-02 0.106839E+00 0.114894E+01 0.357390E+01 0.975375E-01 0.584913E+00 0.146369E-01
 0.836842E+01 -.960535E-02 0.104192E+00 0.109317E+01 0.327409E+01 0.867341E-01 0.581123E+00 0.151100E-01
 0.855263E+01 -.977998E-02 0.101469E+00 0.103720E+01 0.298723E+01 0.744082E-01 0.577812E+00 0.153797E-01
 0.873684E+01 -.992469E-02 0.986889E-01 0.981599E+00 0.271460E+01 0.608919E-01 0.573717E+00 0.159163E-01
 0.892105E+01 -.997138E-02 0.958489E-01 0.926367E+00 0.245629E+01 0.459034E-01 0.570390E+00 0.161982E-01
 0.910526E+01 -.100951E-01 0.929598E-01 0.871828E+00 0.221310E+01 0.294504E-01 0.566730E+00 0.164986E-01
 0.928947E+01 -.102295E-01 0.900353E-01 0.818298E+00 0.198612E+01 0.113084E-01 0.563813E+00 0.165468E-01
 0.947368E+01 -.102437E-01 0.870723E-01 0.765810E+00 0.177481E+01 -.876032E-02 0.560124E+00 0.167550E-01
 0.965789E+01 -.102286E-01 0.840668E-01 0.714344E+00 0.157783E+01 -.306804E-01 0.556301E+00 0.169379E-01
 0.984211E+01 -.102582E-01 0.810446E-01 0.664398E+00 0.139629E+01 -.543845E-01 0.551857E+00 0.172783E-01
 0.100263E+02 -.100800E-01 0.780231E-01 0.616269E+00 0.123058E+01 -.800654E-01 0.547402E+00 0.175422E-01
 0.102105E+02 -.982353E-02 0.750139E-01 0.570123E+00 0.107959E+01 -.107134E+00 0.543053E+00 0.178433E-01
 0.103947E+02 -.949016E-02 0.720307E-01 0.526148E+00 0.942580E+00 -.134962E+00 0.538434E+00 0.181503E-01
 0.105789E+02 -.911793E-02 0.690815E-01 0.484413E+00 0.819312E+00 -.163850E+00 0.533820E+00 0.184517E-01
 0.107632E+02 -.868420E-02 0.661785E-01 0.445008E+00 0.708510E+00 -.192586E+00 0.529066E+00 0.188033E-01
 0.109474E+02 -.845750E-02 0.633529E-01 0.408267E+00 0.610564E+00 -.221018E+00 0.524806E+00 0.190184E-01
 0.111316E+02 -.828837E-02 0.606009E-01 0.373997E+00 0.523538E+00 -.247643E+00 0.520530E+00 0.192352E-01
 0.113158E+02 -.831916E-02 0.579605E-01 0.342531E+00 0.447208E+00 -.270538E+00 0.515849E+00 0.195574E-01
 0.115000E+02 -.846764E-02 0.554456E-01 0.313837E+00 0.380997E+00 -.289416E+00 0.512292E+00 0.196584E-01
