 program J1J2_6          
 linear system size                14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         401
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8401420656472989E+00   6.4958148760274351E-02   6.1287944581371900E-01   5.4447549801528473E-03
   8.1842105263157894E+00  -3.7267029615896865E+00   6.5628547951292901E-02   6.1899405014944830E-01   5.3669369345715548E-03
   8.3684210526315788E+00  -3.6123684092660686E+00   6.6171583851333010E-02   6.2217252513687515E-01   5.3600395826312319E-03
   8.5526315789473681E+00  -3.4977566539578078E+00   6.6565768489594696E-02   6.2269130709449794E-01   5.3483023083107251E-03
   8.7368421052631575E+00  -3.3830777272205967E+00   6.6775205887321581E-02   6.2084800829554165E-01   5.4596664555261144E-03
   8.9210526315789469E+00  -3.2691743374542632E+00   6.6798614081915092E-02   6.1650949062084304E-01   5.7060461835064594E-03
   9.1052631578947363E+00  -3.1561140130084500E+00   6.6607344975123536E-02   6.0941663951230529E-01   6.1315388346855661E-03
   9.2894736842105257E+00  -3.0446667945333856E+00   6.6189492639104869E-02   6.0086564027642841E-01   6.6936591095315846E-03
   9.4736842105263150E+00  -2.9349957834983291E+00   6.5542118295547278E-02   5.9054452488180242E-01   7.3925156842305330E-03
   9.6578947368421062E+00  -2.8272815950854726E+00   6.4644462623432958E-02   5.7824555090350738E-01   8.2926863974799644E-03
   9.8421052631578938E+00  -2.7220313386659063E+00   6.3516039120550996E-02   5.6499060481966146E-01   9.3593030367559484E-03
   1.0026315789473685E+01  -2.6193456230222818E+00   6.2141106130123559E-02   5.4970399152109950E-01   1.0493607283515144E-02
   1.0210526315789474E+01  -2.5197083670743736E+00   6.0537358461227930E-02   5.3233536116705915E-01   1.1449166638824938E-02
   1.0394736842105264E+01  -2.4233951569435530E+00   5.8719293270801311E-02   5.1257178384561930E-01   1.2324528432642997E-02
   1.0578947368421053E+01  -2.3309941604949200E+00   5.6687802667178391E-02   4.9073413452092141E-01   1.3031739700236109E-02
   1.0763157894736842E+01  -2.2426165150817394E+00   5.4475302870135613E-02   4.6818791032833756E-01   1.3740900997549358E-02
   1.0947368421052632E+01  -2.1585904672618339E+00   5.2088195554782168E-02   4.4505811022334313E-01   1.4360571917249062E-02
   1.1131578947368421E+01  -2.0787184349647525E+00   4.9555869764310326E-02   4.2097853662639045E-01   1.4770823246345507E-02
   1.1315789473684211E+01  -2.0033391792306499E+00   4.6931947165312508E-02   3.9710855796429223E-01   1.5080242884143839E-02
   1.1500000000000000E+01  -1.9323576097558228E+00   4.4236590275642050E-02   3.7310128148584581E-01   1.5246049005881696E-02
