 program J1J2_6          
 spatial system size               10
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         801
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.465866E+00 0.240989E+00 0.808296E-01 0.200732E+00 0.608205E+00 0.424127E+00 0.908655E+00 0.103537E-01 0.143406E-01 0.295081E-01 0.255039E+00 0.109803E+00 0.356922E-01 0.471225E+00 0.191831E-01 0.297256E+00 0.131187E+00 0.391428E-01 0.504342E+00 0.195683E-01 0.440792E-01 0.235369E-02 0.383250E+00 0.346176E-01
 0.818421E+01 0.445122E+00 0.223693E+00 0.725058E-01 0.188997E+00 0.551004E+00 0.448472E+00 0.887715E+00 0.126056E-01 0.147950E-01 0.284919E-01 0.242275E+00 0.102088E+00 0.323736E-01 0.452920E+00 0.197717E-01 0.282719E+00 0.121605E+00 0.352956E-01 0.488237E+00 0.201600E-01 0.389834E-01 0.211451E-02 0.379056E+00 0.346187E-01
 0.836842E+01 0.424208E+00 0.206906E+00 0.647769E-01 0.177174E+00 0.486876E+00 0.470758E+00 0.863838E+00 0.148856E-01 0.151703E-01 0.273310E-01 0.229749E+00 0.946515E-01 0.292239E-01 0.433832E+00 0.202871E-01 0.268144E+00 0.112254E+00 0.316792E-01 0.471728E+00 0.205834E-01 0.343586E-01 0.188483E-02 0.376822E+00 0.346830E-01
 0.855263E+01 0.403299E+00 0.190742E+00 0.576411E-01 0.165327E+00 0.415698E+00 0.489812E+00 0.837243E+00 0.171057E-01 0.154607E-01 0.264760E-01 0.217559E+00 0.875328E-01 0.262517E-01 0.413939E+00 0.207592E-01 0.253679E+00 0.103210E+00 0.282995E-01 0.454464E+00 0.209793E-01 0.302204E-01 0.167177E-02 0.376432E+00 0.348108E-01
 0.873684E+01 0.382409E+00 0.175184E+00 0.510447E-01 0.153518E+00 0.336738E+00 0.507308E+00 0.807509E+00 0.192219E-01 0.156575E-01 0.261002E-01 0.205748E+00 0.807058E-01 0.234305E-01 0.393929E+00 0.211236E-01 0.239276E+00 0.944784E-01 0.251607E-01 0.436103E+00 0.213000E-01 0.265235E-01 0.147558E-02 0.377935E+00 0.349625E-01
 0.892105E+01 0.361726E+00 0.160331E+00 0.450011E-01 0.141854E+00 0.249394E+00 0.521626E+00 0.774751E+00 0.212079E-01 0.157582E-01 0.257217E-01 0.194320E+00 0.741616E-01 0.207700E-01 0.374266E+00 0.213085E-01 0.225176E+00 0.861693E-01 0.222839E-01 0.416899E+00 0.215660E-01 0.232729E-01 0.130054E-02 0.381400E+00 0.351504E-01
 0.910526E+01 0.341289E+00 0.146167E+00 0.394524E-01 0.130395E+00 0.153400E+00 0.532555E+00 0.738535E+00 0.231452E-01 0.157606E-01 0.255023E-01 0.183203E+00 0.678494E-01 0.182607E-01 0.354246E+00 0.214527E-01 0.211446E+00 0.783178E-01 0.196484E-01 0.396301E+00 0.218186E-01 0.204181E-01 0.114436E-02 0.386512E+00 0.353458E-01
 0.928947E+01 0.321164E+00 0.132692E+00 0.343708E-01 0.119192E+00 0.479143E-01 0.540019E+00 0.699058E+00 0.249409E-01 0.156619E-01 0.255588E-01 0.172364E+00 0.617425E-01 0.158949E-01 0.333727E+00 0.215421E-01 0.198186E+00 0.709498E-01 0.172530E-01 0.376216E+00 0.218268E-01 0.179235E-01 0.100584E-02 0.393956E+00 0.355371E-01
 0.947368E+01 0.301533E+00 0.119984E+00 0.297604E-01 0.108378E+00 -.672350E-01 0.543300E+00 0.657026E+00 0.265390E-01 0.154646E-01 0.260052E-01 0.161911E+00 0.559188E-01 0.137113E-01 0.313616E+00 0.215191E-01 0.185436E+00 0.640655E-01 0.150777E-01 0.355158E+00 0.218352E-01 0.157507E-01 0.884247E-03 0.403030E+00 0.357417E-01
 0.965789E+01 0.282467E+00 0.108050E+00 0.255982E-01 0.980291E-01 -.192591E+00 0.541908E+00 0.612153E+00 0.279540E-01 0.151754E-01 0.269084E-01 0.151736E+00 0.503316E-01 0.116979E-01 0.293385E+00 0.213357E-01 0.173356E+00 0.577187E-01 0.131272E-01 0.334157E+00 0.217390E-01 0.138625E-01 0.777000E-03 0.414006E+00 0.359203E-01
 0.984211E+01 0.264034E+00 0.968794E-01 0.218518E-01 0.881654E-01 -.328218E+00 0.535425E+00 0.564864E+00 0.291659E-01 0.147973E-01 0.274241E-01 0.141932E+00 0.450199E-01 0.986201E-02 0.273337E+00 0.211046E-01 0.161887E+00 0.518595E-01 0.113721E-01 0.312579E+00 0.216141E-01 0.122281E-01 0.685580E-03 0.426748E+00 0.360581E-01
 0.100263E+02 0.246443E+00 0.865257E-01 0.185032E-01 0.789013E-01 -.471484E+00 0.524032E+00 0.516984E+00 0.301222E-01 0.143308E-01 0.268887E-01 0.132636E+00 0.400597E-01 0.821569E-02 0.254521E+00 0.207205E-01 0.151078E+00 0.464660E-01 0.979263E-02 0.291787E+00 0.213504E-01 0.108161E-01 0.604518E-03 0.440872E+00 0.361589E-01
 0.102105E+02 0.229812E+00 0.770113E-01 0.155317E-01 0.702902E-01 -.618857E+00 0.509891E+00 0.468131E+00 0.308863E-01 0.137809E-01 0.257410E-01 0.123825E+00 0.354385E-01 0.675060E-02 0.235999E+00 0.202426E-01 0.141030E+00 0.415728E-01 0.838208E-02 0.271917E+00 0.209363E-01 0.959998E-02 0.534733E-03 0.456498E+00 0.362632E-01
 0.103947E+02 0.213889E+00 0.681644E-01 0.128858E-01 0.621930E-01 -.773296E+00 0.494964E+00 0.418670E+00 0.313931E-01 0.131419E-01 0.255084E-01 0.115364E+00 0.310872E-01 0.544264E-02 0.217145E+00 0.197521E-01 0.131570E+00 0.370772E-01 0.712034E-02 0.251268E+00 0.205945E-01 0.853490E-02 0.474264E-03 0.472960E+00 0.362731E-01
 0.105789E+02 0.198887E+00 0.600413E-01 0.105609E-01 0.546942E-01 -.929545E+00 0.480294E+00 0.370629E+00 0.314868E-01 0.124114E-01 0.263374E-01 0.107386E+00 0.270628E-01 0.430683E-02 0.199682E+00 0.191504E-01 0.122784E+00 0.329784E-01 0.599202E-02 0.232449E+00 0.200779E-01 0.761032E-02 0.419242E-03 0.490205E+00 0.362694E-01
 0.107632E+02 0.184731E+00 0.526130E-01 0.854723E-02 0.477804E-01 -.108772E+01 0.464180E+00 0.323239E+00 0.311744E-01 0.116153E-01 0.275599E-01 0.998463E-01 0.233744E-01 0.334106E-02 0.183177E+00 0.184177E-01 0.114608E+00 0.292386E-01 0.499221E-02 0.213962E+00 0.195203E-01 0.680801E-02 0.372045E-03 0.508562E+00 0.361955E-01
 0.109474E+02 0.171373E+00 0.458325E-01 0.681125E-02 0.414401E-01 -.124250E+01 0.446908E+00 0.275188E+00 0.306925E-01 0.107571E-01 0.285188E-01 0.927258E-01 0.200316E-01 0.253986E-02 0.167015E+00 0.176170E-01 0.106964E+00 0.258009E-01 0.409620E-02 0.195611E+00 0.188938E-01 0.610223E-02 0.329897E-03 0.526771E+00 0.360209E-01
 0.111316E+02 0.158917E+00 0.397205E-01 0.534274E-02 0.357020E-01 -.138637E+01 0.428173E+00 0.229960E+00 0.296693E-01 0.984866E-02 0.291942E-01 0.861684E-01 0.170858E-01 0.189634E-02 0.151534E+00 0.167194E-01 0.997963E-01 0.226347E-01 0.330278E-02 0.179023E+00 0.181664E-01 0.548149E-02 0.290753E-03 0.545442E+00 0.357493E-01
