 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.163709E+00 0.459090E+00 0.489012E+00 -.183963E+00 -.462785E+01 -.420700E+01 0.751571E-01 0.400348E+00
   1 0.818421E+01 0.149976E+00 0.443229E+00 0.469728E+00 -.173959E+00 -.451492E+01 -.411930E+01 0.664739E-01 0.368716E+00
   1 0.836842E+01 0.136704E+00 0.427147E+00 0.450484E+00 -.163767E+00 -.441206E+01 -.372429E+01 0.583927E-01 0.337108E+00
   1 0.855263E+01 0.124000E+00 0.410863E+00 0.431291E+00 -.153432E+00 -.431506E+01 -.392883E+01 0.509472E-01 0.306051E+00
   1 0.873684E+01 0.112090E+00 0.394476E+00 0.412323E+00 -.143047E+00 -.419657E+01 -.373490E+01 0.442167E-01 0.276507E+00
   1 0.892105E+01 0.101196E+00 0.378574E+00 0.394133E+00 -.133078E+00 -.409485E+01 -.369486E+01 0.383102E-01 0.248966E+00
   1 0.910526E+01 0.915732E-01 0.362777E+00 0.376454E+00 -.123221E+00 -.403378E+01 -.328857E+01 0.332206E-01 0.225250E+00
   1 0.928947E+01 0.821527E-01 0.347496E+00 0.359369E+00 -.114004E+00 -.390173E+01 -.333005E+01 0.285477E-01 0.200524E+00
   1 0.947368E+01 0.739760E-01 0.332754E+00 0.343117E+00 -.105253E+00 -.378693E+01 -.333908E+01 0.246158E-01 0.179511E+00
   1 0.965789E+01 0.665739E-01 0.318791E+00 0.327843E+00 -.971959E-01 -.371345E+01 -.312577E+01 0.212232E-01 0.160169E+00
   1 0.984211E+01 0.602176E-01 0.304535E+00 0.312496E+00 -.891153E-01 -.362815E+01 -.305549E+01 0.183383E-01 0.144850E+00
   1 0.100263E+02 0.546704E-01 0.290564E+00 0.297643E+00 -.814386E-01 -.352410E+01 -.318885E+01 0.158852E-01 0.132088E+00
   1 0.102105E+02 0.503752E-01 0.276785E+00 0.283229E+00 -.740721E-01 -.351972E+01 -.273851E+01 0.139431E-01 0.124138E+00
   1 0.103947E+02 0.461850E-01 0.263097E+00 0.268936E+00 -.670869E-01 -.334457E+01 -.301033E+01 0.121511E-01 0.116003E+00
   1 0.105789E+02 0.426244E-01 0.248723E+00 0.254106E+00 -.600460E-01 -.328427E+01 -.240387E+01 0.106017E-01 0.110868E+00
   1 0.107632E+02 0.396537E-01 0.234400E+00 0.239469E+00 -.533708E-01 -.317806E+01 -.249115E+01 0.929482E-02 0.108195E+00
   1 0.109474E+02 0.370359E-01 0.220089E+00 0.224904E+00 -.470676E-01 -.318327E+01 -.254986E+01 0.815120E-02 0.107116E+00
   1 0.111316E+02 0.350280E-01 0.203997E+00 0.208797E+00 -.403878E-01 -.300495E+01 -.206376E+01 0.714560E-02 0.111276E+00
   1 0.113158E+02 0.330093E-01 0.187663E+00 0.192487E+00 -.341279E-01 -.295552E+01 -.224995E+01 0.619464E-02 0.116442E+00
   1 0.115000E+02 0.316491E-01 0.170424E+00 0.175508E+00 -.280426E-01 -.285429E+01 -.180427E+01 0.539375E-02 0.128905E+00
   2 0.800000E+01 0.553118E+00 0.487943E-01 0.556101E+00 0.303559E+00 -.446473E+01 -.392073E+01 0.269890E-01 0.306499E-01
   2 0.818421E+01 0.536632E+00 0.460934E-01 0.539395E+00 0.285850E+00 -.435002E+01 -.384013E+01 0.247352E-01 0.290803E-01
   2 0.836842E+01 0.519547E+00 0.433069E-01 0.522094E+00 0.268054E+00 -.424532E+01 -.362676E+01 0.225000E-01 0.274100E-01
   2 0.855263E+01 0.501793E+00 0.407297E-01 0.504154E+00 0.250137E+00 -.419570E+01 -.349545E+01 0.204379E-01 0.260094E-01
   2 0.873684E+01 0.483498E+00 0.385125E-01 0.485703E+00 0.232287E+00 -.404503E+01 -.346695E+01 0.186207E-01 0.250599E-01
   2 0.892105E+01 0.464320E+00 0.361734E-01 0.466374E+00 0.214284E+00 -.393642E+01 -.334254E+01 0.167960E-01 0.239855E-01
   2 0.910526E+01 0.444712E+00 0.343392E-01 0.446663E+00 0.196589E+00 -.382596E+01 -.325931E+01 0.152711E-01 0.235679E-01
   2 0.928947E+01 0.423952E+00 0.325533E-01 0.425820E+00 0.178675E+00 -.378840E+01 -.338137E+01 0.138010E-01 0.233083E-01
   2 0.947368E+01 0.402815E+00 0.309127E-01 0.404605E+00 0.161304E+00 -.364583E+01 -.310655E+01 0.124521E-01 0.232820E-01
   2 0.965789E+01 0.379545E+00 0.295061E-01 0.381319E+00 0.143184E+00 -.355870E+01 -.282085E+01 0.111989E-01 0.238849E-01
   2 0.984211E+01 0.353930E+00 0.282957E-01 0.355756E+00 0.124466E+00 -.349628E+01 -.298788E+01 0.100147E-01 0.252426E-01
   2 0.100263E+02 0.324908E+00 0.272167E-01 0.326862E+00 0.104824E+00 -.337129E+01 -.231187E+01 0.884293E-02 0.276782E-01
   2 0.102105E+02 0.291112E+00 0.261821E-01 0.293305E+00 0.840605E-01 -.328152E+01 -.232944E+01 0.762192E-02 0.318385E-01
   2 0.103947E+02 0.253657E+00 0.254764E-01 0.256308E+00 0.636930E-01 -.308534E+01 -.242769E+01 0.646228E-02 0.395479E-01
   2 0.105789E+02 0.215334E+00 0.246155E-01 0.218501E+00 0.457627E-01 -.307006E+01 -.233462E+01 0.530055E-02 0.509305E-01
   2 0.107632E+02 0.179188E+00 0.239891E-01 0.183008E+00 0.315327E-01 -.294450E+01 -.236839E+01 0.429854E-02 0.691895E-01
   2 0.109474E+02 0.147934E+00 0.234553E-01 0.152394E+00 0.213344E-01 -.278704E+01 -.218559E+01 0.346985E-02 0.956845E-01
   2 0.111316E+02 0.123287E+00 0.227275E-01 0.128313E+00 0.146830E-01 -.268923E+01 -.219602E+01 0.280200E-02 0.127147E+00
   2 0.113158E+02 0.104179E+00 0.224410E-01 0.109808E+00 0.103496E-01 -.267724E+01 -.203633E+01 0.233788E-02 0.169508E+00
   2 0.115000E+02 0.902910E-01 0.219004E-01 0.962753E-01 0.767283E-02 -.255781E+01 -.198511E+01 0.197741E-02 0.209904E+00
   3 0.800000E+01 0.398507E-01 0.418521E+00 0.421350E+00 -.173572E+00 -.350950E+01 -.299611E+01 0.166784E-01 0.356170E-01
   3 0.818421E+01 0.370692E-01 0.394847E+00 0.397481E+00 -.154530E+00 -.335953E+01 -.274303E+01 0.146367E-01 0.346423E-01
   3 0.836842E+01 0.349521E-01 0.368800E+00 0.371350E+00 -.134792E+00 -.323873E+01 -.284816E+01 0.128904E-01 0.352905E-01
   3 0.855263E+01 0.329533E-01 0.341028E+00 0.343533E+00 -.115215E+00 -.317603E+01 -.282386E+01 0.112380E-01 0.366609E-01
   3 0.873684E+01 0.314146E-01 0.311794E+00 0.314353E+00 -.962286E-01 -.306335E+01 -.263511E+01 0.979489E-02 0.397938E-01
   3 0.892105E+01 0.300270E-01 0.282868E+00 0.285510E+00 -.791130E-01 -.295957E+01 -.236899E+01 0.849370E-02 0.440741E-01
   3 0.910526E+01 0.287924E-01 0.254451E+00 0.257251E+00 -.639162E-01 -.283445E+01 -.211042E+01 0.732625E-02 0.499296E-01
   3 0.928947E+01 0.276542E-01 0.228974E+00 0.231987E+00 -.516642E-01 -.276020E+01 -.202897E+01 0.633210E-02 0.566805E-01
   3 0.947368E+01 0.267396E-01 0.204660E+00 0.207923E+00 -.411707E-01 -.267694E+01 -.211056E+01 0.547252E-02 0.660087E-01
   3 0.965789E+01 0.259915E-01 0.183657E+00 0.187203E+00 -.330543E-01 -.262330E+01 -.218664E+01 0.477351E-02 0.769985E-01
