 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.289107E+00 0.295843E+00 0.413758E+00 -.393969E-02 -.397688E+01 -.391906E+01 0.855303E-01 0.999470E+00
   1 0.805556E+01 0.284421E+00 0.291546E+00 0.407421E+00 -.410373E-02 -.394217E+01 -.387696E+01 0.829219E-01 0.999388E+00
   1 0.811111E+01 0.279417E+00 0.287265E+00 0.400880E+00 -.444769E-02 -.391001E+01 -.385699E+01 0.802667E-01 0.999233E+00
   1 0.816667E+01 0.274231E+00 0.282474E+00 0.393859E+00 -.458906E-02 -.387610E+01 -.379597E+01 0.774630E-01 0.999123E+00
   1 0.822222E+01 0.268890E+00 0.277266E+00 0.386448E+00 -.457472E-02 -.385061E+01 -.378975E+01 0.745541E-01 0.999060E+00
   1 0.827778E+01 0.263422E+00 0.271663E+00 0.378677E+00 -.440973E-02 -.381709E+01 -.371860E+01 0.715621E-01 0.999052E+00
   1 0.833333E+01 0.257628E+00 0.265522E+00 0.370317E+00 -.412993E-02 -.377417E+01 -.369454E+01 0.684060E-01 0.999090E+00
   1 0.838889E+01 0.251551E+00 0.258942E+00 0.361450E+00 -.377279E-02 -.374955E+01 -.365902E+01 0.651372E-01 0.999162E+00
   1 0.844444E+01 0.245338E+00 0.252000E+00 0.352257E+00 -.331361E-02 -.370845E+01 -.366561E+01 0.618252E-01 0.999282E+00
   1 0.850000E+01 0.238998E+00 0.244922E+00 0.342877E+00 -.286661E-02 -.368320E+01 -.360421E+01 0.585359E-01 0.999401E+00
   1 0.855556E+01 0.232756E+00 0.238103E+00 0.333746E+00 -.251735E-02 -.364486E+01 -.356545E+01 0.554199E-01 0.999484E+00
   1 0.861111E+01 0.226697E+00 0.231542E+00 0.324923E+00 -.222034E-02 -.361113E+01 -.352819E+01 0.524899E-01 0.999553E+00
   1 0.866667E+01 0.220380E+00 0.225597E+00 0.316376E+00 -.232693E-02 -.357394E+01 -.352639E+01 0.497171E-01 0.999453E+00
   1 0.872222E+01 0.213792E+00 0.220289E+00 0.308090E+00 -.282038E-02 -.355198E+01 -.346975E+01 0.470960E-01 0.999104E+00
   1 0.877778E+01 0.207464E+00 0.215381E+00 0.300280E+00 -.334744E-02 -.350359E+01 -.344684E+01 0.446838E-01 0.998599E+00
   1 0.883333E+01 0.200761E+00 0.210739E+00 0.292444E+00 -.410582E-02 -.347256E+01 -.342420E+01 0.423081E-01 0.997651E+00
   1 0.888889E+01 0.193503E+00 0.206347E+00 0.284533E+00 -.513606E-02 -.343306E+01 -.337690E+01 0.399288E-01 0.995881E+00
   1 0.894444E+01 0.186319E+00 0.201924E+00 0.276662E+00 -.605886E-02 -.340473E+01 -.333443E+01 0.376223E-01 0.993558E+00
   1 0.900000E+01 0.178642E+00 0.197574E+00 0.268648E+00 -.712247E-02 -.337437E+01 -.329571E+01 0.352950E-01 0.989922E+00
   1 0.905556E+01 0.170027E+00 0.193151E+00 0.260124E+00 -.839813E-02 -.333420E+01 -.326070E+01 0.328409E-01 0.983915E+00
   1 0.911111E+01 0.161283E+00 0.188328E+00 0.251310E+00 -.945515E-02 -.331666E+01 -.322171E+01 0.303742E-01 0.976348E+00
   1 0.916667E+01 0.152328E+00 0.183401E+00 0.242379E+00 -.104320E-01 -.326060E+01 -.319824E+01 0.279371E-01 0.966315E+00
   1 0.922222E+01 0.143357E+00 0.177872E+00 0.233062E+00 -.110875E-01 -.323748E+01 -.314286E+01 0.254992E-01 0.954867E+00
   1 0.927778E+01 0.134659E+00 0.171731E+00 0.223367E+00 -.113585E-01 -.319803E+01 -.313226E+01 0.231251E-01 0.943118E+00
   1 0.933333E+01 0.126192E+00 0.164401E+00 0.212951E+00 -.111035E-01 -.315822E+01 -.306550E+01 0.207461E-01 0.933174E+00
   1 0.938889E+01 0.118743E+00 0.155712E+00 0.202129E+00 -.101465E-01 -.312945E+01 -.302839E+01 0.184897E-01 0.929985E+00
   1 0.944444E+01 0.112668E+00 0.145576E+00 0.190829E+00 -.849836E-02 -.310044E+01 -.299376E+01 0.164018E-01 0.937105E+00
   1 0.950000E+01 0.107224E+00 0.134236E+00 0.179013E+00 -.652214E-02 -.305675E+01 -.296210E+01 0.143934E-01 0.951174E+00
   1 0.955556E+01 0.101660E+00 0.123784E+00 0.167548E+00 -.498761E-02 -.302878E+01 -.296269E+01 0.125839E-01 0.962211E+00
   1 0.961111E+01 0.958070E-01 0.113587E+00 0.156095E+00 -.372302E-02 -.299015E+01 -.289616E+01 0.108824E-01 0.971572E+00
   1 0.966667E+01 0.909550E-01 0.103943E+00 0.145455E+00 -.253130E-02 -.296464E+01 -.285367E+01 0.945412E-02 0.982394E+00
   1 0.972222E+01 0.859019E-01 0.954241E-01 0.135511E+00 -.172662E-02 -.293646E+01 -.282716E+01 0.819711E-02 0.989030E+00
   1 0.977778E+01 0.810185E-01 0.877971E-01 0.126340E+00 -.114433E-02 -.289400E+01 -.281401E+01 0.711320E-02 0.993571E+00
   1 0.983333E+01 0.760543E-01 0.812049E-01 0.117843E+00 -.809983E-03 -.286704E+01 -.277013E+01 0.617599E-02 0.995718E+00
