 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9017
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.427101E+00 0.182471E+00 0.333353E-01 0.268788E-01 0.998804E+00 0.747025E+00 0.999257E+00 0.955781E-04 0.323895E-02 0.864033E-01 0.323425E+00 0.104674E+00 0.109861E-01 0.666266E+00 0.268844E-04 0.278485E+00 0.777965E-01 0.612665E-02 0.665993E+00 0.142023E-03 0.899809E-01 0.203541E-02 0.973122E+00 0.144554E-01
 0.805556E+01 0.421353E+00 0.177597E+00 0.315820E-01 0.265901E-01 0.998691E+00 0.809495E+00 0.999170E+00 0.116473E-03 0.328877E-02 0.104006E+00 0.319410E+00 0.102093E+00 0.104517E-01 0.666246E+00 0.262887E-04 0.274320E+00 0.755043E-01 0.577559E-02 0.665850E+00 0.198931E-03 0.875322E-01 0.204260E-02 0.972206E+00 0.149413E-01
 0.811111E+01 0.415401E+00 0.172622E+00 0.298419E-01 0.263656E-01 0.998539E+00 0.907024E+00 0.999041E+00 0.149672E-03 0.333162E-02 0.132980E+00 0.315312E+00 0.994924E-01 0.992697E-02 0.666222E+00 0.272565E-04 0.269925E+00 0.731296E-01 0.542395E-02 0.665612E+00 0.298045E-03 0.850224E-01 0.204968E-02 0.971057E+00 0.155301E-01
 0.816667E+01 0.409381E+00 0.167663E+00 0.281573E-01 0.262806E-01 0.998354E+00 0.104151E+01 0.998867E+00 0.195972E-03 0.332968E-02 0.173916E+00 0.311286E+00 0.969707E-01 0.943123E-02 0.666205E+00 0.218148E-04 0.265324E+00 0.706926E-01 0.507612E-02 0.665242E+00 0.456693E-03 0.825015E-01 0.204728E-02 0.969482E+00 0.163409E-01
 0.822222E+01 0.403246E+00 0.162689E+00 0.265195E-01 0.262319E-01 0.998048E+00 0.126637E+01 0.998585E+00 0.320753E-03 0.338428E-02 0.284928E+00 0.307219E+00 0.944580E-01 0.895034E-02 0.666169E+00 0.279540E-04 0.260563E+00 0.682313E-01 0.473915E-02 0.664662E+00 0.769843E-03 0.799579E-01 0.207645E-02 0.967594E+00 0.173487E-01
 0.827778E+01 0.396803E+00 0.157558E+00 0.248877E-01 0.263684E-01 0.997459E+00 0.170118E+01 0.998049E+00 0.603490E-03 0.355838E-02 0.530540E+00 0.303119E+00 0.919592E-01 0.848508E-02 0.666119E+00 0.385366E-04 0.255281E+00 0.655990E-01 0.439929E-02 0.663444E+00 0.151350E-02 0.772831E-01 0.218340E-02 0.964685E+00 0.190257E-01
 0.833333E+01 0.389998E+00 0.152241E+00 0.232584E-01 0.267227E-01 0.996501E+00 0.236842E+01 0.997191E+00 0.109802E-02 0.389742E-02 0.933269E+00 0.298982E+00 0.894748E-01 0.803557E-02 0.666045E+00 0.624417E-04 0.249364E+00 0.627660E-01 0.405626E-02 0.661356E+00 0.284249E-02 0.744488E-01 0.239269E-02 0.960319E+00 0.216864E-01
 0.838889E+01 0.382763E+00 0.146700E+00 0.216257E-01 0.271856E-01 0.995136E+00 0.321676E+01 0.996009E+00 0.180112E-02 0.444530E-02 0.145499E+01 0.294684E+00 0.869317E-01 0.758851E-02 0.665919E+00 0.121461E-03 0.242875E+00 0.597686E-01 0.371417E-02 0.658372E+00 0.476508E-02 0.714561E-01 0.270055E-02 0.954650E+00 0.251232E-01
 0.844444E+01 0.375087E+00 0.140946E+00 0.199988E-01 0.278849E-01 0.993308E+00 0.420246E+01 0.994481E+00 0.273600E-02 0.520956E-02 0.207142E+01 0.290333E+00 0.843988E-01 0.715720E-02 0.665724E+00 0.227183E-03 0.235618E+00 0.565476E-01 0.336995E-02 0.654112E+00 0.755445E-02 0.682817E-01 0.312489E-02 0.946671E+00 0.300294E-01
 0.850000E+01 0.366913E+00 0.134950E+00 0.183737E-01 0.286791E-01 0.991099E+00 0.511058E+01 0.992804E+00 0.377391E-02 0.625708E-02 0.264068E+01 0.285774E+00 0.817900E-01 0.672742E-02 0.665425E+00 0.399941E-03 0.227715E+00 0.531605E-01 0.302944E-02 0.648731E+00 0.111435E-01 0.649387E-01 0.367187E-02 0.936275E+00 0.365445E-01
 0.855556E+01 0.358454E+00 0.128880E+00 0.167971E-01 0.295201E-01 0.988735E+00 0.576092E+01 0.991234E+00 0.467326E-02 0.741730E-02 0.299088E+01 0.281119E+00 0.791691E-01 0.630919E-02 0.665095E+00 0.592242E-03 0.219394E+00 0.497107E-01 0.270243E-02 0.642390E+00 0.153428E-01 0.615297E-01 0.426275E-02 0.923321E+00 0.447634E-01
 0.861111E+01 0.350032E+00 0.122957E+00 0.153192E-01 0.302021E-01 0.986724E+00 0.597325E+01 0.990175E+00 0.518483E-02 0.842930E-02 0.302511E+01 0.276374E+00 0.765441E-01 0.590432E-02 0.664694E+00 0.833811E-03 0.211286E+00 0.464132E-01 0.240083E-02 0.636396E+00 0.191942E-01 0.582451E-01 0.474526E-02 0.909885E+00 0.530230E-01
 0.866667E+01 0.341705E+00 0.117223E+00 0.139457E-01 0.306450E-01 0.985114E+00 0.587641E+01 0.989583E+00 0.533288E-02 0.922669E-02 0.283443E+01 0.271496E+00 0.738941E-01 0.550982E-02 0.664219E+00 0.112430E-02 0.203568E+00 0.433287E-01 0.212752E-02 0.631218E+00 0.224295E-01 0.551233E-01 0.509028E-02 0.896925E+00 0.606831E-01
 0.872222E+01 0.333618E+00 0.111769E+00 0.126929E-01 0.309206E-01 0.983952E+00 0.558254E+01 0.989399E+00 0.515544E-02 0.977813E-02 0.249691E+01 0.266644E+00 0.712995E-01 0.513523E-02 0.663812E+00 0.136763E-02 0.196281E+00 0.404699E-01 0.188306E-02 0.626769E+00 0.250358E-01 0.522014E-01 0.529507E-02 0.884674E+00 0.674626E-01
 0.877778E+01 0.325713E+00 0.106551E+00 0.115435E-01 0.309677E-01 0.983233E+00 0.519993E+01 0.989496E+00 0.473357E-02 0.100635E-01 0.208804E+01 0.261727E+00 0.687152E-01 0.477483E-02 0.663417E+00 0.159526E-02 0.189427E+00 0.378361E-01 0.166596E-02 0.623037E+00 0.270345E-01 0.494525E-01 0.536539E-02 0.873547E+00 0.731891E-01
