 program J1J2_6          
 linear system size                56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9061
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed            2
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.9467174794205091E+00   7.5468270723016165E-02   5.9999428600266924E-01   3.4977266755694151E-03
   8.0555555555555554E+00  -3.9132510242146736E+00   7.5720079343243485E-02   6.0221616213280371E-01   5.4691605337106484E-03
   8.1111111111111107E+00  -3.8796768554827139E+00   7.5989585750979818E-02   6.0476645548382801E-01   4.1107059635478371E-03
   8.1666666666666661E+00  -3.8459648632945416E+00   7.6216009982243857E-02   6.0690812033135455E-01   4.4720892958548331E-03
   8.2222222222222214E+00  -3.8121457756561345E+00   7.6465821316196808E-02   6.0908133626140326E-01   3.5435875087491179E-03
   8.2777777777777786E+00  -3.7782056452946220E+00   7.6688369263652509E-02   6.1088170976463874E-01   4.4740149034339658E-03
   8.3333333333333339E+00  -3.7441803034729135E+00   7.6943488607467844E-02   6.1222533928009648E-01   4.0724079231892899E-03
   8.3888888888888893E+00  -3.7099902451875462E+00   7.7196331134591609E-02   6.1474730424580415E-01   3.9422499015397110E-03
   8.4444444444444446E+00  -3.6757658215721545E+00   7.7410334066845568E-02   6.1900026388063933E-01   3.6609359004266652E-03
   8.5000000000000000E+00  -3.6414744124562830E+00   7.7643280657239341E-02   6.1914078936266148E-01   4.0219265840605650E-03
   8.5555555555555554E+00  -3.6070827974176698E+00   7.7856564666716185E-02   6.1848668776384175E-01   3.9760416362837475E-03
   8.6111111111111107E+00  -3.5726369795313304E+00   7.8055587582741989E-02   6.2178076667471116E-01   3.6964227375341362E-03
   8.6666666666666661E+00  -3.5381633123890213E+00   7.8219644070898126E-02   6.2059150046776179E-01   3.7557357316311793E-03
   8.7222222222222214E+00  -3.5036607212639983E+00   7.8375055724428988E-02   6.2073376138077863E-01   2.1066966637589687E-03
   8.7777777777777786E+00  -3.4691493507283457E+00   7.8468162457728002E-02   6.2285866335441820E-01   2.2879418114205496E-03
