 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 -.443050E-02 0.133697E-03 0.527496E-07 0.163162E-01
   1 0.805556E+01 -.484901E-02 0.137922E-03 0.559569E-07 0.194651E-01
   1 0.811111E+01 -.528114E-02 0.142817E-03 0.594525E-07 0.283988E-01
   1 0.816667E+01 -.566871E-02 0.147222E-03 0.628833E-07 0.329017E-01
   1 0.822222E+01 -.609751E-02 0.152636E-03 0.670882E-07 0.401370E-01
   1 0.827778E+01 -.654608E-02 0.158407E-03 0.719027E-07 0.448407E-01
   1 0.833333E+01 -.703306E-02 0.165319E-03 0.771642E-07 0.588691E-01
   1 0.838889E+01 -.753884E-02 0.172693E-03 0.830622E-07 0.716064E-01
   1 0.844444E+01 -.801042E-02 0.180275E-03 0.893640E-07 0.834163E-01
   1 0.850000E+01 -.849805E-02 0.188961E-03 0.967288E-07 0.969983E-01
   1 0.855556E+01 -.899543E-02 0.197274E-03 0.103826E-06 0.110709E+00
   1 0.861111E+01 -.953987E-02 0.208250E-03 0.113196E-06 0.129959E+00
   1 0.866667E+01 -.100993E-01 0.219158E-03 0.123444E-06 0.143284E+00
   1 0.872222E+01 -.106240E-01 0.230444E-03 0.133935E-06 0.159293E+00
   1 0.877778E+01 -.111749E-01 0.242609E-03 0.145152E-06 0.177970E+00
   1 0.883333E+01 -.117202E-01 0.254948E-03 0.157246E-06 0.193590E+00
   1 0.888889E+01 -.122783E-01 0.268613E-03 0.170770E-06 0.211073E+00
   1 0.894444E+01 -.127836E-01 0.281467E-03 0.183712E-06 0.227034E+00
   1 0.900000E+01 -.133941E-01 0.297846E-03 0.202208E-06 0.240210E+00
   1 0.905556E+01 -.138863E-01 0.310815E-03 0.215576E-06 0.256168E+00
   1 0.911111E+01 -.143750E-01 0.325198E-03 0.231659E-06 0.269820E+00
   1 0.916667E+01 -.148612E-01 0.339095E-03 0.247111E-06 0.283645E+00
   1 0.922222E+01 -.153097E-01 0.352432E-03 0.262723E-06 0.294940E+00
   1 0.927778E+01 -.157206E-01 0.365105E-03 0.277821E-06 0.305284E+00
   1 0.933333E+01 -.160865E-01 0.376254E-03 0.290339E-06 0.316368E+00
   1 0.938889E+01 -.164005E-01 0.386538E-03 0.303981E-06 0.321828E+00
   1 0.944444E+01 -.167527E-01 0.398103E-03 0.317779E-06 0.331636E+00
   1 0.950000E+01 -.170109E-01 0.406568E-03 0.328689E-06 0.337176E+00
   1 0.955556E+01 -.172395E-01 0.414229E-03 0.337507E-06 0.344337E+00
   1 0.961111E+01 -.174377E-01 0.421120E-03 0.347985E-06 0.345924E+00
   1 0.966667E+01 -.176525E-01 0.428996E-03 0.357724E-06 0.352082E+00
