 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9239
 ------------------------
 disorder configurations processed            2
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.153219E+00 0.247827E-01 0.248178E-01 0.742437E-03 0.598200E+00 0.659164E+00 0.233139E-02
 0.805556E+01 0.152347E+00 0.247550E-01 0.245493E-01 0.727538E-03 0.597602E+00 0.659027E+00 0.238966E-02
 0.811111E+01 0.151412E+00 0.247602E-01 0.242656E-01 0.712188E-03 0.596826E+00 0.658908E+00 0.245362E-02
 0.816667E+01 0.150501E+00 0.247544E-01 0.239905E-01 0.697430E-03 0.596074E+00 0.658774E+00 0.250499E-02
 0.822222E+01 0.149520E+00 0.247582E-01 0.236969E-01 0.681915E-03 0.595215E+00 0.658637E+00 0.256220E-02
 0.827778E+01 0.148515E+00 0.247714E-01 0.233988E-01 0.666432E-03 0.594261E+00 0.658484E+00 0.262204E-02
 0.833333E+01 0.147523E+00 0.247944E-01 0.231082E-01 0.651596E-03 0.593254E+00 0.658295E+00 0.270827E-02
 0.838889E+01 0.146471E+00 0.248066E-01 0.228001E-01 0.635888E-03 0.592257E+00 0.658169E+00 0.275944E-02
 0.844444E+01 0.145417E+00 0.248090E-01 0.224930E-01 0.620356E-03 0.591281E+00 0.657984E+00 0.285177E-02
 0.850000E+01 0.144299E+00 0.248544E-01 0.221742E-01 0.604770E-03 0.590010E+00 0.657768E+00 0.296293E-02
 0.855556E+01 0.143162E+00 0.248817E-01 0.218504E-01 0.589005E-03 0.588776E+00 0.657564E+00 0.305593E-02
 0.861111E+01 0.142013E+00 0.249121E-01 0.215262E-01 0.573412E-03 0.587512E+00 0.657370E+00 0.315279E-02
 0.866667E+01 0.140834E+00 0.249301E-01 0.211946E-01 0.557607E-03 0.586231E+00 0.657154E+00 0.325062E-02
 0.872222E+01 0.139650E+00 0.249929E-01 0.208691E-01 0.542599E-03 0.584712E+00 0.656916E+00 0.338031E-02
 0.877778E+01 0.138417E+00 0.250259E-01 0.205297E-01 0.526918E-03 0.583269E+00 0.656672E+00 0.351331E-02
 0.883333E+01 0.137192E+00 0.250329E-01 0.201932E-01 0.511468E-03 0.581895E+00 0.656443E+00 0.360325E-02
 0.888889E+01 0.135973E+00 0.250391E-01 0.198607E-01 0.496361E-03 0.580543E+00 0.656209E+00 0.372329E-02
 0.894444E+01 0.134729E+00 0.250127E-01 0.195217E-01 0.481001E-03 0.579284E+00 0.655950E+00 0.383836E-02
 0.900000E+01 0.133534E+00 0.249413E-01 0.191935E-01 0.465988E-03 0.578357E+00 0.655788E+00 0.391163E-02
 0.905556E+01 0.132331E+00 0.249067E-01 0.188702E-01 0.451720E-03 0.577142E+00 0.655574E+00 0.399435E-02
 0.911111E+01 0.131088E+00 0.248407E-01 0.185357E-01 0.436929E-03 0.576091E+00 0.655375E+00 0.409490E-02
 0.916667E+01 0.129856E+00 0.247357E-01 0.182040E-01 0.422343E-03 0.575172E+00 0.655149E+00 0.416318E-02
 0.922222E+01 0.128598E+00 0.246679E-01 0.178722E-01 0.408186E-03 0.574028E+00 0.654901E+00 0.427192E-02
 0.927778E+01 0.127333E+00 0.245567E-01 0.175368E-01 0.393846E-03 0.573120E+00 0.654696E+00 0.435473E-02
 0.933333E+01 0.126026E+00 0.244627E-01 0.171970E-01 0.379733E-03 0.571994E+00 0.654372E+00 0.449553E-02
