 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 -.169867E-01 0.173569E-02 0.887666E-05 0.178308E-01
   1 0.818421E+01 -.199056E-01 0.185590E-02 0.994562E-05 0.374978E-01
   1 0.836842E+01 -.227035E-01 0.198944E-02 0.113153E-04 0.470181E-01
   1 0.855263E+01 -.255141E-01 0.213293E-02 0.127473E-04 0.660084E-01
   1 0.873684E+01 -.275704E-01 0.223390E-02 0.137603E-04 0.808607E-01
   1 0.892105E+01 -.289438E-01 0.233281E-02 0.148491E-04 0.904611E-01
   1 0.910526E+01 -.295448E-01 0.236807E-02 0.152505E-04 0.934820E-01
   1 0.928947E+01 -.296625E-01 0.236165E-02 0.151072E-04 0.971201E-01
   1 0.947368E+01 -.294193E-01 0.235238E-02 0.150480E-04 0.935555E-01
   1 0.965789E+01 -.284324E-01 0.229991E-02 0.145356E-04 0.840069E-01
   1 0.984211E+01 -.270130E-01 0.220970E-02 0.136515E-04 0.680481E-01
   1 0.100263E+02 -.256393E-01 0.214101E-02 0.129129E-04 0.610007E-01
   1 0.102105E+02 -.242641E-01 0.207555E-02 0.122052E-04 0.555980E-01
   1 0.103947E+02 -.228087E-01 0.199317E-02 0.114448E-04 0.397243E-01
   1 0.105789E+02 -.219483E-01 0.195501E-02 0.108990E-04 0.494623E-01
   1 0.107632E+02 -.212027E-01 0.189513E-02 0.103558E-04 0.388725E-01
   1 0.109474E+02 -.206827E-01 0.183000E-02 0.968739E-05 0.357593E-01
   1 0.111316E+02 -.205739E-01 0.176641E-02 0.894838E-05 0.440422E-01
   1 0.113158E+02 -.200622E-01 0.168687E-02 0.821260E-05 0.379483E-01
   1 0.115000E+02 -.185955E-01 0.157921E-02 0.721206E-05 0.360410E-01
   2 0.800000E+01 0.376997E+00 0.143738E+00 0.215824E-01 0.651797E+00
   2 0.818421E+01 0.371193E+00 0.139380E+00 0.203106E-01 0.651502E+00
   2 0.836842E+01 0.364897E+00 0.134720E+00 0.189904E-01 0.651225E+00
   2 0.855263E+01 0.357815E+00 0.129593E+00 0.175968E-01 0.650743E+00
