 program J1J2_6          
 spatial system size               24
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed         1000
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 -.240453E-01 0.167437E-01 0.282414E+00 0.209178E+00 0.125776E+00 0.585241E+00 0.499175E-02
 0.818421E+01 -.235961E-01 0.163421E-01 0.269120E+00 0.190142E+00 0.124882E+00 0.582842E+00 0.507166E-02
 0.836842E+01 -.230900E-01 0.159259E-01 0.255674E+00 0.171843E+00 0.123731E+00 0.580552E+00 0.513413E-02
 0.855263E+01 -.225485E-01 0.154949E-01 0.242113E+00 0.154359E+00 0.122243E+00 0.578352E+00 0.517574E-02
 0.873684E+01 -.219538E-01 0.150492E-01 0.228479E+00 0.137776E+00 0.120250E+00 0.575864E+00 0.522515E-02
 0.892105E+01 -.213647E-01 0.145897E-01 0.214834E+00 0.122158E+00 0.117741E+00 0.573331E+00 0.526163E-02
 0.910526E+01 -.207682E-01 0.141168E-01 0.201228E+00 0.107552E+00 0.114643E+00 0.570503E+00 0.530770E-02
 0.928947E+01 -.201837E-01 0.136323E-01 0.187754E+00 0.940455E-01 0.110719E+00 0.567417E+00 0.535905E-02
 0.947368E+01 -.195995E-01 0.131384E-01 0.174498E+00 0.816527E-01 0.106142E+00 0.564078E+00 0.541531E-02
 0.965789E+01 -.190156E-01 0.126381E-01 0.161566E+00 0.704059E-01 0.100942E+00 0.560563E+00 0.547748E-02
 0.984211E+01 -.184083E-01 0.121354E-01 0.149072E+00 0.603030E-01 0.954595E-01 0.556928E+00 0.554082E-02
 0.100263E+02 -.177778E-01 0.116346E-01 0.137124E+00 0.513325E-01 0.899914E-01 0.553038E+00 0.561832E-02
 0.102105E+02 -.171221E-01 0.111389E-01 0.125788E+00 0.434422E-01 0.848108E-01 0.549208E+00 0.568490E-02
 0.103947E+02 -.164582E-01 0.106521E-01 0.115131E+00 0.365838E-01 0.800129E-01 0.545176E+00 0.576192E-02
 0.105789E+02 -.157706E-01 0.101770E-01 0.105186E+00 0.306748E-01 0.758428E-01 0.541147E+00 0.583373E-02
 0.107632E+02 -.150954E-01 0.971696E-02 0.959818E-01 0.256416E-01 0.722181E-01 0.537017E+00 0.591145E-02
 0.109474E+02 -.144409E-01 0.927474E-02 0.875331E-01 0.213907E-01 0.694095E-01 0.533173E+00 0.596547E-02
 0.111316E+02 -.138112E-01 0.885349E-02 0.798458E-01 0.178319E-01 0.676650E-01 0.529252E+00 0.602648E-02
 0.113158E+02 -.131847E-01 0.845482E-02 0.728957E-01 0.148730E-01 0.670137E-01 0.525383E+00 0.608490E-02
 0.115000E+02 -.125897E-01 0.808189E-02 0.666806E-01 0.124384E-01 0.675070E-01 0.521410E+00 0.615196E-02
