 program J1J2_6          
 spatial system size               24
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed         1000
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.427417E+00 0.184574E+00 0.354367E-01 0.896541E-01 0.959816E+00 0.641935E+00 0.991387E+00 0.225778E-03 0.123188E-02 0.129299E-01 0.290411E+00 0.949430E-01 0.125383E-01 0.642681E+00 0.178791E-02 0.281053E+00 0.896313E-01 0.112859E-01 0.638266E+00 0.196767E-02 0.728040E-01 0.577688E-03 0.703905E+00 0.893005E-02
 0.818421E+01 0.406610E+00 0.167543E+00 0.295051E-01 0.852109E-01 0.948895E+00 0.746885E+00 0.988484E+00 0.342769E-03 0.133001E-02 0.164695E-01 0.274862E+00 0.863386E-01 0.106935E-01 0.636027E+00 0.207670E-02 0.265391E+00 0.812042E-01 0.956364E-02 0.630697E+00 0.226858E-02 0.642664E-01 0.564317E-03 0.681006E+00 0.927196E-02
 0.836842E+01 0.385057E+00 0.150862E+00 0.242487E-01 0.805013E-01 0.934566E+00 0.871186E+00 0.984380E+00 0.517851E-03 0.143737E-02 0.206453E-01 0.258719E+00 0.778846E-01 0.901961E-02 0.627617E+00 0.239021E-02 0.249304E+00 0.729777E-01 0.801007E-02 0.621572E+00 0.259701E-02 0.560380E-01 0.543715E-03 0.656472E+00 0.958514E-02
 0.855263E+01 0.362793E+00 0.134656E+00 0.196587E-01 0.754961E-01 0.915820E+00 0.101914E+01 0.978513E+00 0.771602E-03 0.155151E-02 0.255889E-01 0.242015E+00 0.696265E-01 0.751584E-02 0.617005E+00 0.273705E-02 0.232923E+00 0.650296E-01 0.662708E-02 0.610872E+00 0.293857E-02 0.482247E-01 0.515620E-03 0.630979E+00 0.985360E-02
 0.873684E+01 0.339891E+00 0.119067E+00 0.157165E-01 0.701398E-01 0.891393E+00 0.119258E+01 0.970106E+00 0.112384E-02 0.166934E-02 0.309533E-01 0.224935E+00 0.616552E-01 0.618271E-02 0.604122E+00 0.309957E-02 0.216323E+00 0.574113E-01 0.541053E-02 0.598414E+00 0.328348E-02 0.409440E-01 0.481024E-03 0.605604E+00 0.100663E-01
 0.892105E+01 0.316481E+00 0.104236E+00 0.123864E-01 0.644289E-01 0.859995E+00 0.138261E+01 0.958269E+00 0.159337E-02 0.178430E-02 0.354884E-01 0.207687E+00 0.540542E-01 0.501608E-02 0.588893E+00 0.347093E-02 0.199623E+00 0.501821E-01 0.435502E-02 0.583955E+00 0.362887E-02 0.342950E-01 0.440997E-03 0.581469E+00 0.102272E-01
 0.910526E+01 0.292778E+00 0.903134E-01 0.962121E-02 0.584090E-01 0.820426E+00 0.157477E+01 0.942363E+00 0.214648E-02 0.188611E-02 0.382464E-01 0.190507E+00 0.469070E-01 0.401009E-02 0.571347E+00 0.384674E-02 0.182995E+00 0.434064E-01 0.345261E-02 0.567401E+00 0.396394E-02 0.283510E-01 0.397459E-03 0.559536E+00 0.103566E-01
 0.928947E+01 0.268914E+00 0.773736E-01 0.735873E-02 0.521536E-01 0.770814E+00 0.176625E+01 0.921218E+00 0.277952E-02 0.196767E-02 0.396634E-01 0.173607E+00 0.402693E-01 0.315512E-02 0.551562E+00 0.421931E-02 0.166519E+00 0.371042E-01 0.269070E-02 0.548386E+00 0.429007E-02 0.231371E-01 0.352034E-03 0.541146E+00 0.104667E-01
 0.947368E+01 0.245139E+00 0.655099E-01 0.553900E-02 0.458014E-01 0.709325E+00 0.193952E+01 0.893937E+00 0.348664E-02 0.202181E-02 0.403455E-01 0.157158E+00 0.341791E-01 0.243982E-02 0.529961E+00 0.455718E-02 0.150418E+00 0.313308E-01 0.205904E-02 0.527142E+00 0.458624E-02 0.186651E-01 0.306606E-03 0.527217E+00 0.105565E-01
 0.965789E+01 0.221738E+00 0.547923E-01 0.410049E-02 0.395338E-01 0.634167E+00 0.207565E+01 0.859653E+00 0.428281E-02 0.204316E-02 0.403629E-01 0.141311E+00 0.286659E-01 0.185211E-02 0.506281E+00 0.486480E-02 0.134889E+00 0.261264E-01 0.154585E-02 0.503328E+00 0.487094E-02 0.148958E-01 0.263130E-03 0.517897E+00 0.106191E-01
 0.984211E+01 0.199112E+00 0.452890E-01 0.298564E-02 0.335524E-01 0.544367E+00 0.214692E+01 0.818759E+00 0.511551E-02 0.202856E-02 0.394623E-01 0.126280E+00 0.237618E-01 0.137958E-02 0.481171E+00 0.511831E-02 0.120186E+00 0.215272E-01 0.113849E-02 0.477485E+00 0.512257E-02 0.117868E-01 0.222879E-03 0.513011E+00 0.106463E-01
 0.100263E+02 0.177571E+00 0.370084E-01 0.213793E-02 0.280187E-01 0.439037E+00 0.215012E+01 0.771209E+00 0.594769E-02 0.197930E-02 0.383316E-01 0.112182E+00 0.194683E-01 0.100758E-02 0.454275E+00 0.534414E-02 0.106468E+00 0.175402E-01 0.823037E-03 0.449756E+00 0.533763E-02 0.925728E-02 0.186673E-03 0.512020E+00 0.106559E-01
