 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.309424E+00 0.294704E+00 0.427953E+00 0.889222E-02 -.417842E+01 -.399120E+01 0.911885E-01 0.997628E+00
   1 0.818421E+01 0.297117E+00 0.277258E+00 0.407371E+00 0.114065E-01 -.406775E+01 -.390054E+01 0.823782E-01 0.995230E+00
   1 0.836842E+01 0.284180E+00 0.256344E+00 0.384287E+00 0.150461E-01 -.396677E+01 -.378281E+01 0.728479E-01 0.989448E+00
   1 0.855263E+01 0.270953E+00 0.235451E+00 0.361028E+00 0.179782E-01 -.387648E+01 -.361026E+01 0.637963E-01 0.980533E+00
   1 0.873684E+01 0.256161E+00 0.213958E+00 0.336388E+00 0.198403E-01 -.377040E+01 -.347945E+01 0.548078E-01 0.968279E+00
   1 0.892105E+01 0.241114E+00 0.195185E+00 0.313120E+00 0.200388E-01 -.363798E+01 -.340135E+01 0.470620E-01 0.956640E+00
   1 0.910526E+01 0.223695E+00 0.177966E+00 0.289243E+00 0.183678E-01 -.355560E+01 -.327892E+01 0.398100E-01 0.949470E+00
   1 0.928947E+01 0.205812E+00 0.163180E+00 0.266488E+00 0.157309E-01 -.345231E+01 -.312698E+01 0.335844E-01 0.948002E+00
   1 0.947368E+01 0.185864E+00 0.150308E+00 0.243518E+00 0.119529E-01 -.337958E+01 -.305945E+01 0.279369E-01 0.956238E+00
   1 0.965789E+01 0.165138E+00 0.138677E+00 0.220950E+00 0.803930E-02 -.329048E+01 -.294611E+01 0.229008E-01 0.970112E+00
   1 0.984211E+01 0.143232E+00 0.128791E+00 0.198875E+00 0.392827E-02 -.312356E+01 -.282559E+01 0.184471E-01 0.988790E+00
   1 0.100263E+02 0.123419E+00 0.118576E+00 0.177838E+00 0.117183E-02 -.299776E+01 -.274456E+01 0.146346E-01 0.998400E+00
   1 0.102105E+02 0.106046E+00 0.108172E+00 0.158366E+00 -.455429E-03 -.288107E+01 -.262745E+01 0.114713E-01 0.999606E+00
   1 0.103947E+02 0.895588E-01 0.970125E-01 0.138982E+00 -.139066E-02 -.282877E+01 -.251071E+01 0.868832E-02 0.993636E+00
   1 0.105789E+02 0.750531E-01 0.844594E-01 0.119788E+00 -.150043E-02 -.273099E+01 -.240741E+01 0.633894E-02 0.986187E+00
   1 0.107632E+02 0.626566E-01 0.709143E-01 0.101273E+00 -.110299E-02 -.262177E+01 -.223206E+01 0.444324E-02 0.984828E+00
   1 0.109474E+02 0.523427E-01 0.586659E-01 0.849831E-01 -.701925E-03 -.252167E+01 -.221616E+01 0.307073E-02 0.987106E+00
   1 0.111316E+02 0.443104E-01 0.474367E-01 0.707533E-01 -.286824E-03 -.240409E+01 -.213032E+01 0.210194E-02 0.995366E+00
   1 0.113158E+02 0.375978E-01 0.390705E-01 0.594956E-01 -.112911E-03 -.230452E+01 -.208004E+01 0.146897E-02 0.998525E+00
   1 0.115000E+02 0.327579E-01 0.325415E-01 0.508856E-01 0.141302E-04 -.225228E+01 -.193084E+01 0.106599E-02 0.999956E+00
   2 0.800000E+01 0.186209E+00 0.326079E+00 0.378202E+00 -.716539E-01 -.372233E+01 -.350801E+01 0.607188E-01 0.741754E+00
   2 0.818421E+01 0.158783E+00 0.307110E+00 0.349303E+00 -.691047E-01 -.361482E+01 -.334602E+01 0.487639E-01 0.665751E+00
   2 0.836842E+01 0.131149E+00 0.288070E+00 0.320819E+00 -.657844E-01 -.349408E+01 -.322744E+01 0.377800E-01 0.568832E+00
   2 0.855263E+01 0.106794E+00 0.269844E+00 0.294574E+00 -.614110E-01 -.340633E+01 -.317091E+01 0.288178E-01 0.468319E+00
   2 0.873684E+01 0.878670E-01 0.252453E+00 0.271300E+00 -.560119E-01 -.328948E+01 -.305018E+01 0.221823E-01 0.385505E+00
   2 0.892105E+01 0.737059E-01 0.236756E+00 0.251517E+00 -.506206E-01 -.318257E+01 -.295267E+01 0.174503E-01 0.322193E+00
   2 0.910526E+01 0.635367E-01 0.221038E+00 0.233121E+00 -.448208E-01 -.304128E+01 -.282381E+01 0.140440E-01 0.281980E+00
   2 0.928947E+01 0.544765E-01 0.204572E+00 0.214473E+00 -.388819E-01 -.294723E+01 -.268741E+01 0.111444E-01 0.247331E+00
   2 0.947368E+01 0.474670E-01 0.187612E+00 0.196049E+00 -.329450E-01 -.284383E+01 -.264178E+01 0.890536E-02 0.226167E+00
   2 0.965789E+01 0.415497E-01 0.169137E+00 0.176521E+00 -.268808E-01 -.272420E+01 -.256677E+01 0.702757E-02 0.214696E+00
   2 0.984211E+01 0.361807E-01 0.149802E+00 0.156362E+00 -.211317E-01 -.265261E+01 -.242023E+01 0.541995E-02 0.208320E+00
   2 0.100263E+02 0.320791E-01 0.130996E+00 0.137102E+00 -.161308E-01 -.257264E+01 -.220665E+01 0.420223E-02 0.213503E+00
   2 0.102105E+02 0.286965E-01 0.113921E+00 0.119698E+00 -.121546E-01 -.246917E+01 -.215322E+01 0.326915E-02 0.224426E+00
   2 0.103947E+02 0.258230E-01 0.975885E-01 0.103235E+00 -.885668E-02 -.238009E+01 -.224876E+01 0.252002E-02 0.244620E+00
   2 0.105789E+02 0.234403E-01 0.835387E-01 0.891554E-01 -.642927E-02 -.229381E+01 -.212289E+01 0.195817E-02 0.270635E+00
   2 0.107632E+02 0.214249E-01 0.708797E-01 0.765700E-01 -.456491E-02 -.221436E+01 -.197053E+01 0.151859E-02 0.306838E+00
   2 0.109474E+02 0.197865E-01 0.598492E-01 0.656809E-01 -.319042E-02 -.213653E+01 -.183403E+01 0.118420E-02 0.355290E+00
   2 0.111316E+02 0.183716E-01 0.501956E-01 0.561588E-01 -.218208E-02 -.205293E+01 -.180347E+01 0.922172E-03 0.416706E+00
   2 0.113158E+02 0.172930E-01 0.423790E-01 0.485377E-01 -.149693E-02 -.201383E+01 -.174222E+01 0.732860E-03 0.489466E+00
   2 0.115000E+02 0.162312E-01 0.361890E-01 0.424189E-01 -.104619E-02 -.193935E+01 -.170032E+01 0.587391E-03 0.557705E+00
   3 0.800000E+01 0.358834E+00 0.269738E+00 0.449201E+00 0.560035E-01 -.432427E+01 -.414009E+01 0.967911E-01 0.922769E+00
