 iconf T
   5 0.800000E+01
 isweep, binderx, bindery
       1 0.666667E+00 0.666667E+00
       2 0.664267E+00 0.666617E+00
       3 0.664971E+00 0.666632E+00
       4 0.665358E+00 0.666510E+00
       5 0.643116E+00 0.666530E+00
       6 0.646691E+00 0.666545E+00
       7 0.644298E+00 0.666246E+00
       8 0.643730E+00 0.666288E+00
       9 0.644267E+00 0.666329E+00
      10 0.646313E+00 0.666247E+00
      11 0.648193E+00 0.666191E+00
      12 0.641487E+00 0.666231E+00
      13 0.638025E+00 0.666259E+00
      14 0.640123E+00 0.666284E+00
      15 0.641954E+00 0.666299E+00
      16 0.643368E+00 0.666272E+00
      17 0.639421E+00 0.666291E+00
      18 0.641049E+00 0.666190E+00
      19 0.642111E+00 0.666181E+00
      20 0.643414E+00 0.666196E+00
      21 0.643408E+00 0.666211E+00
      22 0.641666E+00 0.666231E+00
      23 0.641524E+00 0.666172E+00
      24 0.638717E+00 0.666185E+00
      25 0.639924E+00 0.666204E+00
      26 0.640921E+00 0.666212E+00
      27 0.641191E+00 0.666219E+00
      28 0.642167E+00 0.666234E+00
      29 0.642474E+00 0.666189E+00
      30 0.643246E+00 0.666196E+00
      31 0.644043E+00 0.666200E+00
      32 0.644162E+00 0.666199E+00
      33 0.644687E+00 0.666104E+00
      34 0.645152E+00 0.666004E+00
      35 0.645720E+00 0.665920E+00
      36 0.646221E+00 0.665891E+00
      37 0.646805E+00 0.665896E+00
      38 0.647262E+00 0.665871E+00
      39 0.647736E+00 0.665877E+00
      40 0.646726E+00 0.665896E+00
      41 0.647226E+00 0.665903E+00
      42 0.647163E+00 0.665908E+00
      43 0.647237E+00 0.665921E+00
      44 0.647656E+00 0.665938E+00
      45 0.648012E+00 0.665939E+00
      46 0.648400E+00 0.665883E+00
      47 0.648755E+00 0.665880E+00
      48 0.647975E+00 0.665897E+00
      49 0.647862E+00 0.665867E+00
      50 0.648257E+00 0.665820E+00
      51 0.648561E+00 0.665784E+00
      52 0.648843E+00 0.665790E+00
      53 0.649184E+00 0.665800E+00
      54 0.649466E+00 0.665812E+00
      55 0.649672E+00 0.665822E+00
      56 0.649988E+00 0.665834E+00
      57 0.650282E+00 0.665828E+00
      58 0.650435E+00 0.665838E+00
      59 0.649786E+00 0.665828E+00
      60 0.648986E+00 0.665825E+00
      61 0.648162E+00 0.665838E+00
      62 0.647595E+00 0.665848E+00
      63 0.647911E+00 0.665804E+00
      64 0.648092E+00 0.665801E+00
      65 0.647964E+00 0.665808E+00
      66 0.647786E+00 0.665816E+00
      67 0.647861E+00 0.665805E+00
      68 0.648099E+00 0.665818E+00
      69 0.648382E+00 0.665827E+00
      70 0.648655E+00 0.665793E+00
      71 0.648893E+00 0.665805E+00
      72 0.649018E+00 0.665816E+00
      73 0.649266E+00 0.665795E+00
      74 0.648673E+00 0.665806E+00
      75 0.648247E+00 0.665813E+00
      76 0.646966E+00 0.665823E+00
      77 0.646038E+00 0.665827E+00
      78 0.645997E+00 0.665837E+00
      79 0.646006E+00 0.665845E+00
      80 0.646280E+00 0.665843E+00
      81 0.646386E+00 0.665841E+00
      82 0.646635E+00 0.665842E+00
      83 0.646707E+00 0.665851E+00
      84 0.646262E+00 0.665859E+00
      85 0.646459E+00 0.665852E+00
      86 0.645789E+00 0.665812E+00
      87 0.645619E+00 0.665821E+00
      88 0.645800E+00 0.665826E+00
      89 0.645986E+00 0.665835E+00
      90 0.646095E+00 0.665838E+00
      91 0.645825E+00 0.665842E+00
      92 0.644810E+00 0.665850E+00
      93 0.644446E+00 0.665858E+00
      94 0.644691E+00 0.665864E+00
      95 0.644910E+00 0.665869E+00
      96 0.644971E+00 0.665864E+00
      97 0.644886E+00 0.665869E+00
      98 0.644333E+00 0.665849E+00
      99 0.644292E+00 0.665857E+00
     100 0.644179E+00 0.665865E+00
     101 0.643966E+00 0.665845E+00
     102 0.644129E+00 0.665853E+00
     103 0.644322E+00 0.665861E+00
     104 0.644139E+00 0.665863E+00
     105 0.643914E+00 0.665862E+00
     106 0.642615E+00 0.665859E+00
     107 0.641305E+00 0.665866E+00
     108 0.640832E+00 0.665871E+00
     109 0.640266E+00 0.665874E+00
     110 0.639472E+00 0.665864E+00
     111 0.639343E+00 0.665861E+00
     112 0.638690E+00 0.665867E+00
     113 0.637379E+00 0.665873E+00
     114 0.637588E+00 0.665868E+00
     115 0.637740E+00 0.665869E+00
     116 0.637959E+00 0.665874E+00
     117 0.638021E+00 0.665879E+00
     118 0.638009E+00 0.665879E+00
     119 0.638082E+00 0.665883E+00
     120 0.638093E+00 0.665888E+00
     121 0.638220E+00 0.665894E+00
     122 0.638407E+00 0.665889E+00
     123 0.638272E+00 0.665894E+00
     124 0.638263E+00 0.665900E+00
     125 0.638057E+00 0.665904E+00
     126 0.637688E+00 0.665892E+00
     127 0.636769E+00 0.665896E+00
     128 0.636665E+00 0.665865E+00
     129 0.636213E+00 0.665866E+00
     130 0.636169E+00 0.665872E+00
     131 0.635642E+00 0.665873E+00
     132 0.634381E+00 0.665878E+00
     133 0.634304E+00 0.665874E+00
     134 0.634080E+00 0.665879E+00
     135 0.634106E+00 0.665882E+00
     136 0.633969E+00 0.665887E+00
     137 0.634136E+00 0.665885E+00
     138 0.634263E+00 0.665888E+00
     139 0.634306E+00 0.665882E+00
     140 0.634292E+00 0.665884E+00
