 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          900
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8962511968701015E+00   7.6096988770814732E-03   6.0991337527799050E-01   6.3674526078899801E-04
   8.1842105263157894E+00  -3.7831701302586085E+00   7.6892220076788436E-03   6.1742087822362046E-01   6.2617706447018104E-04
   8.3684210526315788E+00  -3.6688455742900623E+00   7.7560797497540678E-03   6.2308071169412493E-01   6.2968718235122145E-04
   8.5526315789473681E+00  -3.5536945835537699E+00   7.8091016217549511E-03   6.2652317820140646E-01   6.3583324115524674E-04
   8.7368421052631575E+00  -3.4381286467872831E+00   7.8441704579000262E-03   6.2779772012168378E-01   6.5615412973120293E-04
   8.9210526315789469E+00  -3.3225872496763795E+00   7.8606791279652085E-03   6.2648523536930312E-01   7.0229417117858206E-04
   9.1052631578947363E+00  -3.2074522008869231E+00   7.8542129893193289E-03   6.2298863742918675E-01   7.6730642537819625E-04
   9.2894736842105257E+00  -3.0932435987551483E+00   7.8220601006138198E-03   6.1689244521722852E-01   8.5499915588696659E-04
   9.4736842105263150E+00  -2.9803620516565061E+00   7.7623196352744729E-03   6.0829781157507756E-01   9.5271719966446330E-04
   9.6578947368421062E+00  -2.8693181700034835E+00   7.6724749048664893E-03   5.9693002011577156E-01   1.0553967597329689E-03
   9.8421052631578938E+00  -2.7605641861899040E+00   7.5501811476414550E-03   5.8314749330443816E-01   1.1696105881388002E-03
   1.0026315789473685E+01  -2.6546522707979281E+00   7.3938528476627649E-03   5.6646241252502494E-01   1.3037773798589688E-03
   1.0210526315789474E+01  -2.5519910618942361E+00   7.2034254945980963E-03   5.4779980737789902E-01   1.4298020551642759E-03
   1.0394736842105264E+01  -2.4529856227810849E+00   6.9802664778332961E-03   5.2692586353129189E-01   1.5421517153073989E-03
   1.0578947368421053E+01  -2.3578975616722033E+00   6.7289020115832666E-03   5.0487630522265581E-01   1.6525956924678344E-03
   1.0763157894736842E+01  -2.2670660888385674E+00   6.4534395411692969E-03   4.8114160420144764E-01   1.7327028394206216E-03
   1.0947368421052632E+01  -2.1806803494346156E+00   6.1583255336788269E-03   4.5661995057581567E-01   1.7902380131852060E-03
   1.1131578947368421E+01  -2.0989523769761242E+00   5.8487262575223622E-03   4.3080055896307745E-01   1.8199927415578402E-03
   1.1315789473684211E+01  -2.0219721744608945E+00   5.5309987738068429E-03   4.0474644777898106E-01   1.8286757895042416E-03
   1.1500000000000000E+01  -1.9498189045208194E+00   5.2098575800781609E-03   3.7875656684517306E-01   1.8051627057143625E-03
