 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.800000E+01    1 -.947326E+01 0.000000E+00
 0.800000E+01    2 -.936853E+01 0.000000E+00
 0.800000E+01    3 -.926380E+01 0.000000E+00
 0.800000E+01    4 -.915907E+01 0.000000E+00
 0.800000E+01    5 -.905433E+01 0.000000E+00
 0.800000E+01    6 -.894960E+01 0.000000E+00
 0.800000E+01    7 -.884487E+01 0.000000E+00
 0.800000E+01    8 -.874013E+01 0.000000E+00
 0.800000E+01    9 -.863540E+01 0.000000E+00
 0.800000E+01   10 -.853067E+01 0.000000E+00
 0.800000E+01   11 -.842594E+01 0.000000E+00
 0.800000E+01   12 -.832120E+01 0.000000E+00
 0.800000E+01   13 -.821647E+01 0.000000E+00
 0.800000E+01   14 -.811174E+01 0.000000E+00
 0.800000E+01   15 -.800701E+01 0.000000E+00
 0.800000E+01   16 -.790227E+01 0.000000E+00
 0.800000E+01   17 -.779754E+01 0.000000E+00
 0.800000E+01   18 -.769281E+01 0.000000E+00
 0.800000E+01   19 -.758808E+01 0.000000E+00
 0.800000E+01   20 -.748334E+01 0.000000E+00
 0.800000E+01   21 -.737861E+01 0.000000E+00
 0.800000E+01   22 -.727388E+01 0.000000E+00
 0.800000E+01   23 -.716915E+01 0.000000E+00
 0.800000E+01   24 -.706441E+01 0.000000E+00
 0.800000E+01   25 -.695968E+01 0.000000E+00
 0.800000E+01   26 -.685495E+01 0.000000E+00
 0.800000E+01   27 -.675021E+01 0.000000E+00
 0.800000E+01   28 -.664548E+01 0.000000E+00
 0.800000E+01   29 -.654075E+01 0.000000E+00
 0.800000E+01   30 -.643602E+01 0.000000E+00
 0.800000E+01   31 -.633128E+01 0.000000E+00
 0.800000E+01   32 -.622655E+01 0.000000E+00
 0.800000E+01   33 -.612182E+01 0.000000E+00
 0.800000E+01   34 -.601709E+01 0.000000E+00
 0.800000E+01   35 -.591235E+01 0.000000E+00
 0.800000E+01   36 -.580762E+01 0.000000E+00
 0.800000E+01   37 -.570289E+01 0.000000E+00
 0.800000E+01   38 -.559816E+01 0.000000E+00
 0.800000E+01   39 -.549342E+01 0.000000E+00
 0.800000E+01   40 -.538869E+01 0.000000E+00
 0.800000E+01   41 -.528396E+01 0.000000E+00
 0.800000E+01   42 -.517923E+01 0.000000E+00
 0.800000E+01   43 -.507449E+01 0.000000E+00
 0.800000E+01   44 -.496976E+01 0.000000E+00
