 program J1J2_6          
 spatial system size               40
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.253487E-02 0.240229E-01 0.580345E-01 0.843936E-02 0.164751E+00 0.545918E+00 0.211442E-01
 0.818421E+01 0.256529E-02 0.234804E-01 0.554607E-01 0.771458E-02 0.163973E+00 0.542827E+00 0.213473E-01
 0.836842E+01 0.253198E-02 0.229158E-01 0.528442E-01 0.701036E-02 0.163196E+00 0.541063E+00 0.212527E-01
 0.855263E+01 0.255004E-02 0.223368E-01 0.502254E-01 0.633396E-02 0.163036E+00 0.538364E+00 0.214311E-01
 0.873684E+01 0.259917E-02 0.217361E-01 0.475799E-01 0.568700E-02 0.162634E+00 0.535352E+00 0.217152E-01
 0.892105E+01 0.255170E-02 0.211170E-01 0.449269E-01 0.507199E-02 0.162384E+00 0.533501E+00 0.218637E-01
 0.910526E+01 0.239360E-02 0.204770E-01 0.422636E-01 0.448798E-02 0.162477E+00 0.531520E+00 0.220430E-01
 0.928947E+01 0.214546E-02 0.198216E-01 0.396202E-01 0.394114E-02 0.163113E+00 0.529768E+00 0.221532E-01
 0.947368E+01 0.190633E-02 0.191468E-01 0.369885E-01 0.343551E-02 0.162981E+00 0.527837E+00 0.222399E-01
 0.965789E+01 0.163873E-02 0.184508E-01 0.343674E-01 0.296663E-02 0.162761E+00 0.525454E+00 0.224505E-01
 0.984211E+01 0.147130E-02 0.177409E-01 0.317942E-01 0.253991E-02 0.162466E+00 0.523519E+00 0.224994E-01
 0.100263E+02 0.130690E-02 0.170293E-01 0.293152E-01 0.215980E-02 0.162265E+00 0.521124E+00 0.225819E-01
 0.102105E+02 0.117636E-02 0.163197E-01 0.269437E-01 0.182378E-02 0.162591E+00 0.518261E+00 0.227393E-01
 0.103947E+02 0.103772E-02 0.156220E-01 0.247093E-01 0.153077E-02 0.164267E+00 0.515654E+00 0.228110E-01
 0.105789E+02 0.943029E-03 0.149395E-01 0.226173E-01 0.127827E-02 0.167047E+00 0.512609E+00 0.229278E-01
 0.107632E+02 0.865571E-03 0.142804E-01 0.206853E-01 0.106625E-02 0.169357E+00 0.509469E+00 0.230020E-01
 0.109474E+02 0.807465E-03 0.136482E-01 0.189131E-01 0.889367E-03 0.171226E+00 0.506203E+00 0.230806E-01
 0.111316E+02 0.757655E-03 0.130428E-01 0.172905E-01 0.742410E-03 0.172235E+00 0.502577E+00 0.231892E-01
 0.113158E+02 0.703722E-03 0.124687E-01 0.158191E-01 0.620750E-03 0.173136E+00 0.499257E+00 0.231931E-01
 0.115000E+02 0.628710E-03 0.119236E-01 0.144822E-01 0.519877E-03 0.173754E+00 0.495802E+00 0.232422E-01
