 program J1J2_6          
 spatial system size               40
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.417808E+00 0.174924E+00 0.308462E-01 0.415773E-01 0.991895E+00 0.943497E+00 0.997290E+00 0.177685E-03 0.155568E-02 0.596826E-01 0.292093E+00 0.874900E-01 0.832428E-02 0.664057E+00 0.425659E-03 0.291917E+00 0.874336E-01 0.839608E-02 0.663440E+00 0.512113E-03 0.834986E-01 0.783113E-03 0.917556E+00 0.992943E-02
 0.818421E+01 0.396606E+00 0.157734E+00 0.251498E-01 0.398508E-01 0.989151E+00 0.118646E+01 0.996118E+00 0.297167E-03 0.168985E-02 0.845774E-01 0.276847E+00 0.789168E-01 0.684549E-02 0.662831E+00 0.593099E-03 0.276450E+00 0.788168E-01 0.692618E-02 0.661642E+00 0.810648E-03 0.747383E-01 0.813288E-03 0.906492E+00 0.112333E-01
 0.836842E+01 0.374112E+00 0.140482E+00 0.200221E-01 0.381635E-01 0.985467E+00 0.148929E+01 0.994409E+00 0.397369E-03 0.181075E-02 0.961046E-01 0.260710E+00 0.703905E-01 0.552213E-02 0.660644E+00 0.991965E-03 0.259661E+00 0.700920E-01 0.559390E-02 0.658205E+00 0.143366E-02 0.658395E-01 0.836327E-03 0.891337E+00 0.129913E-01
 0.855263E+01 0.350485E+00 0.123487E+00 0.155582E-01 0.365492E-01 0.979718E+00 0.186813E+01 0.991803E+00 0.554176E-03 0.199271E-02 0.108454E+00 0.243154E+00 0.618459E-01 0.435734E-02 0.655831E+00 0.201988E-02 0.242155E+00 0.616407E-01 0.443977E-02 0.652286E+00 0.308364E-02 0.569366E-01 0.884996E-03 0.868960E+00 0.154659E-01
 0.873684E+01 0.326069E+00 0.107105E+00 0.117944E-01 0.347646E-01 0.971857E+00 0.224281E+01 0.988365E+00 0.739597E-03 0.218720E-02 0.120067E+00 0.224268E+00 0.533741E-01 0.334483E-02 0.647871E+00 0.352080E-02 0.224686E+00 0.537311E-01 0.347153E-02 0.646544E+00 0.393037E-02 0.483685E-01 0.908379E-03 0.842904E+00 0.182055E-01
 0.892105E+01 0.300546E+00 0.912785E-01 0.866136E-02 0.328515E-01 0.960443E+00 0.280662E+01 0.982706E+00 0.106095E-02 0.236508E-02 0.145219E+00 0.205003E+00 0.453986E-01 0.250863E-02 0.637306E+00 0.515814E-02 0.205842E+00 0.458800E-01 0.263599E-02 0.638585E+00 0.424127E-02 0.401108E-01 0.882197E-03 0.812910E+00 0.205775E-01
 0.910526E+01 0.274403E+00 0.764800E-01 0.618373E-02 0.305746E-01 0.942805E+00 0.361192E+01 0.973317E+00 0.172843E-02 0.258701E-02 0.205884E+00 0.185534E+00 0.379772E-01 0.183348E-02 0.624274E+00 0.671409E-02 0.186289E+00 0.385028E-01 0.195636E-02 0.625710E+00 0.512676E-02 0.324801E-01 0.828234E-03 0.778954E+00 0.225124E-01
 0.928947E+01 0.247107E+00 0.625557E-01 0.424760E-02 0.280900E-01 0.914552E+00 0.458211E+01 0.958121E+00 0.291839E-02 0.287895E-02 0.283411E+00 0.165435E+00 0.310917E-01 0.130145E-02 0.604488E+00 0.896156E-02 0.165328E+00 0.314640E-01 0.140383E-02 0.602737E+00 0.734421E-02 0.253266E-01 0.781378E-03 0.735216E+00 0.247857E-01
 0.947368E+01 0.219025E+00 0.498131E-01 0.279793E-02 0.250197E-01 0.872413E+00 0.575956E+01 0.933605E+00 0.476598E-02 0.314386E-02 0.392400E+00 0.144984E+00 0.247438E-01 0.885641E-03 0.580257E+00 0.104429E-01 0.144303E+00 0.250692E-01 0.974112E-03 0.572981E+00 0.970417E-02 0.190741E-01 0.690500E-03 0.693666E+00 0.263730E-01
 0.965789E+01 0.190923E+00 0.386653E-01 0.178361E-02 0.212025E-01 0.806956E+00 0.704548E+01 0.893257E+00 0.775080E-02 0.339201E-02 0.477217E+00 0.125199E+00 0.191459E-01 0.574486E-03 0.553297E+00 0.114313E-01 0.124056E+00 0.195194E-01 0.654950E-03 0.535052E+00 0.123291E-01 0.140456E-01 0.597051E-03 0.663877E+00 0.268950E-01
 0.984211E+01 0.163452E+00 0.291772E-01 0.109409E-02 0.170718E-01 0.714819E+00 0.789464E+01 0.833095E+00 0.121874E-01 0.353048E-02 0.516548E+00 0.105810E+00 0.142859E-01 0.351951E-03 0.515990E+00 0.125441E-01 0.105622E+00 0.148913E-01 0.425834E-03 0.497986E+00 0.138218E-01 0.101292E-01 0.497746E-03 0.651132E+00 0.268387E-01
 0.100263E+02 0.138169E+00 0.215247E-01 0.647290E-03 0.132404E-01 0.602906E+00 0.773976E+01 0.758155E+00 0.176991E-01 0.349509E-02 0.440024E+00 0.883802E-01 0.104031E-01 0.205257E-03 0.472431E+00 0.141319E-01 0.889109E-01 0.111216E-01 0.267192E-03 0.457860E+00 0.146954E-01 0.717075E-02 0.401314E-03 0.647513E+00 0.268780E-01
 0.102105E+02 0.115901E+00 0.156379E-01 0.371609E-03 0.993885E-02 0.480395E+00 0.710553E+01 0.675069E+00 0.230867E-01 0.327311E-02 0.334406E+00 0.735461E-01 0.746827E-02 0.115197E-03 0.428791E+00 0.160526E-01 0.743370E-01 0.816959E-02 0.161244E-03 0.414472E+00 0.154511E-01 0.504897E-02 0.309688E-03 0.656936E+00 0.267667E-01
 0.103947E+02 0.971376E-01 0.112751E-01 0.207563E-03 0.731053E-02 0.367278E+00 0.628401E+01 0.595646E+00 0.267212E-01 0.286134E-02 0.276776E+00 0.615005E-01 0.538531E-02 0.649667E-04 0.388303E+00 0.179731E-01 0.619915E-01 0.588976E-02 0.917673E-04 0.375597E+00 0.157113E-01 0.355633E-02 0.224479E-03 0.671711E+00 0.264626E-01
 0.105789E+02 0.810127E-01 0.801046E-02 0.111289E-03 0.525707E-02 0.265646E+00 0.529670E+01 0.520347E+00 0.275735E-01 0.239141E-02 0.255337E+00 0.513616E-01 0.385879E-02 0.358597E-04 0.348739E+00 0.202852E-01 0.513706E-01 0.415168E-02 0.490172E-04 0.337524E+00 0.154215E-01 0.248804E-02 0.156539E-03 0.687966E+00 0.257824E-01
 0.107632E+02 0.677411E-01 0.570221E-02 0.595372E-04 0.377479E-02 0.168941E+00 0.430711E+01 0.445528E+00 0.274433E-01 0.197233E-02 0.213624E+00 0.430544E-01 0.278075E-02 0.199730E-04 0.312568E+00 0.194532E-01 0.426993E-01 0.292146E-02 0.258035E-04 0.301881E+00 0.147249E-01 0.174821E-02 0.108427E-03 0.704636E+00 0.250004E-01
 0.109474E+02 0.570322E-01 0.410144E-02 0.322185E-04 0.272823E-02 0.847252E-01 0.339966E+01 0.378888E+00 0.275446E-01 0.163478E-02 0.170717E+00 0.363197E-01 0.201924E-02 0.111819E-04 0.281345E+00 0.181075E-01 0.358114E-01 0.208220E-02 0.137489E-04 0.268792E+00 0.140715E-01 0.124682E-02 0.760809E-04 0.720157E+00 0.239922E-01
 0.111316E+02 0.483630E-01 0.298571E-02 0.177554E-04 0.199233E-02 0.824990E-02 0.262533E+01 0.321380E+00 0.259554E-01 0.137878E-02 0.132668E+00 0.308659E-01 0.148334E-02 0.633061E-05 0.253533E+00 0.162095E-01 0.302665E-01 0.150237E-02 0.747101E-05 0.237136E+00 0.136437E-01 0.903843E-03 0.553578E-04 0.733633E+00 0.227418E-01
 0.113158E+02 0.412841E-01 0.219631E-02 0.992590E-05 0.146895E-02 -.577081E-01 0.200512E+01 0.272773E+00 0.246733E-01 0.117220E-02 0.101169E+00 0.264293E-01 0.110354E-02 0.365745E-05 0.228132E+00 0.151064E-01 0.257369E-01 0.109277E-02 0.408379E-05 0.209271E+00 0.129002E-01 0.662004E-03 0.400317E-04 0.747681E+00 0.216388E-01
 0.115000E+02 0.355083E-01 0.163639E-02 0.565470E-05 0.109793E-02 -.111721E+00 0.152762E+01 0.229129E+00 0.239308E-01 0.100528E-02 0.742615E-01 0.227755E-01 0.829759E-03 0.214797E-05 0.202426E+00 0.145105E-01 0.220713E-01 0.806630E-03 0.227911E-05 0.183074E+00 0.123274E-01 0.491626E-03 0.291215E-04 0.763269E+00 0.205428E-01
