 program J1J2_6          
 spatial system size               10
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.112523E+00 0.119008E+00 0.144982E+01 0.488223E+01 0.225771E+00 0.546689E+00 0.180822E-01
 0.818421E+01 0.108469E+00 0.115643E+00 0.137008E+01 0.444968E+01 0.209844E+00 0.541216E+00 0.184558E-01
 0.836842E+01 0.104513E+00 0.112188E+00 0.129061E+01 0.403675E+01 0.192167E+00 0.536083E+00 0.186891E-01
 0.855263E+01 0.100566E+00 0.108672E+00 0.121221E+01 0.364929E+01 0.172195E+00 0.529911E+00 0.190703E-01
 0.873684E+01 0.966907E-01 0.105105E+00 0.113520E+01 0.328489E+01 0.150315E+00 0.524490E+00 0.192493E-01
 0.892105E+01 0.930466E-01 0.101492E+00 0.105981E+01 0.294511E+01 0.125979E+00 0.518359E+00 0.195355E-01
 0.910526E+01 0.896270E-01 0.978568E-01 0.986641E+00 0.262947E+01 0.996140E-01 0.512450E+00 0.197285E-01
 0.928947E+01 0.862693E-01 0.942229E-01 0.916099E+00 0.233839E+01 0.712253E-01 0.506345E+00 0.199069E-01
 0.947368E+01 0.832388E-01 0.906219E-01 0.848799E+00 0.207413E+01 0.403690E-01 0.500319E+00 0.201106E-01
 0.965789E+01 0.804217E-01 0.870706E-01 0.784961E+00 0.183235E+01 0.873281E-02 0.494357E+00 0.202828E-01
 0.984211E+01 0.780217E-01 0.835750E-01 0.724624E+00 0.161293E+01 -.239257E-01 0.488860E+00 0.203872E-01
 0.100263E+02 0.758044E-01 0.801715E-01 0.668181E+00 0.141522E+01 -.566063E-01 0.482894E+00 0.205847E-01
 0.102105E+02 0.739586E-01 0.768535E-01 0.615401E+00 0.123734E+01 -.890601E-01 0.477856E+00 0.206404E-01
 0.103947E+02 0.724990E-01 0.736581E-01 0.566674E+00 0.107895E+01 -.119987E+00 0.472833E+00 0.207083E-01
 0.105789E+02 0.711323E-01 0.705627E-01 0.521410E+00 0.937226E+00 -.149119E+00 0.467545E+00 0.208470E-01
 0.107632E+02 0.699823E-01 0.676109E-01 0.480008E+00 0.812552E+00 -.175527E+00 0.462349E+00 0.209857E-01
 0.109474E+02 0.688073E-01 0.647842E-01 0.441977E+00 0.701557E+00 -.197135E+00 0.457847E+00 0.210307E-01
 0.111316E+02 0.675706E-01 0.620966E-01 0.407268E+00 0.604415E+00 -.214655E+00 0.452696E+00 0.212213E-01
 0.113158E+02 0.661397E-01 0.595623E-01 0.375800E+00 0.519463E+00 -.226085E+00 0.448172E+00 0.213102E-01
 0.115000E+02 0.645289E-01 0.571537E-01 0.347066E+00 0.444899E+00 -.231165E+00 0.443875E+00 0.213630E-01
