 program J1J2_6          
 linear system size                14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8929159262868098E+00   6.5380839856920461E-02   6.0746602166207697E-01   5.5392526824756443E-03
   8.1842105263157894E+00  -3.7802570542871514E+00   6.6065804427197269E-02   6.1457589200857277E-01   5.5414355114649866E-03
   8.3684210526315788E+00  -3.6665547386714139E+00   6.6650100993529499E-02   6.2011214171195350E-01   5.5955693853194099E-03
   8.5526315789473681E+00  -3.5520876424373489E+00   6.7123468991544311E-02   6.2197716406488002E-01   5.5679961076285939E-03
   8.7368421052631575E+00  -3.4372550979083134E+00   6.7450751148604576E-02   6.2356547888564595E-01   5.7551575280821174E-03
   8.9210526315789469E+00  -3.3225538463287694E+00   6.7633737581605929E-02   6.2157739980711879E-01   5.8157484380598062E-03
   9.1052631578947363E+00  -3.2082981678749394E+00   6.7645939035420183E-02   6.1796843333985629E-01   6.0115229391730311E-03
   9.2894736842105257E+00  -3.0950357143343332E+00   6.7456970320725521E-02   6.1117645970611600E-01   6.4683547375298843E-03
   9.4736842105263150E+00  -2.9831637487666991E+00   6.7079289934833558E-02   6.0292129040466136E-01   7.1461364973263233E-03
   9.6578947368421062E+00  -2.8730372716044341E+00   6.6503559723083389E-02   5.9329631918710735E-01   8.0232419677170284E-03
   9.8421052631578938E+00  -2.7648329879754776E+00   6.5732588964440786E-02   5.8101067061332312E-01   9.0085434011859689E-03
   1.0026315789473685E+01  -2.6591862830948325E+00   6.4777214105066400E-02   5.6623911129780558E-01   9.7778235937978440E-03
   1.0210526315789474E+01  -2.5566219427261352E+00   6.3622888845756356E-02   5.4767536053816412E-01   1.0528363590893401E-02
   1.0394736842105264E+01  -2.4575037008236897E+00   6.2264254093474913E-02   5.2683109930291883E-01   1.1202872918508907E-02
   1.0578947368421053E+01  -2.3625497748677806E+00   6.0729148288303614E-02   5.0390319076540679E-01   1.1888048808415283E-02
   1.0763157894736842E+01  -2.2719580911794277E+00   5.9019791653884469E-02   4.7920137033909538E-01   1.2388461287536184E-02
   1.0947368421052632E+01  -2.1861736728000967E+00   5.7175856155871917E-02   4.5284285054411805E-01   1.2626451909903830E-02
   1.1131578947368421E+01  -2.1053261432860553E+00   5.5217633994025815E-02   4.2524878965492313E-01   1.2722714892956618E-02
   1.1315789473684211E+01  -2.0294579231981120E+00   5.3161257864258862E-02   3.9757341216841691E-01   1.2779353821773903E-02
   1.1500000000000000E+01  -1.9585713426884257E+00   5.1025084303499189E-02   3.7145603332200067E-01   1.2865918116108294E-02
