 program J1J2_6          
 spatial system size               14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.472888E+00 0.232823E+00 0.640383E-01 0.163329E+00 0.818622E+00 0.352409E+00 0.977161E+00 0.264307E-02 0.903999E-02 0.263233E-01 0.286339E+00 0.107232E+00 0.205975E-01 0.595217E+00 0.112359E-01 0.306362E+00 0.125591E+00 0.330735E-01 0.593816E+00 0.123366E-01 0.641381E-01 0.275995E-02 0.497980E+00 0.360485E-01
 0.818421E+01 0.453994E+00 0.216230E+00 0.567133E-01 0.155083E+00 0.787022E+00 0.395801E+00 0.970709E+00 0.356486E-02 0.945478E-02 0.317772E-01 0.272944E+00 0.991459E-01 0.181115E-01 0.584324E+00 0.122413E-01 0.292766E+00 0.117084E+00 0.300578E-01 0.583227E+00 0.133322E-01 0.574252E-01 0.261283E-02 0.484973E+00 0.362410E-01
 0.836842E+01 0.434518E+00 0.199903E+00 0.499752E-01 0.146498E+00 0.749402E+00 0.440892E+00 0.962197E+00 0.486949E-02 0.987529E-02 0.367980E-01 0.259459E+00 0.912519E-01 0.158049E-01 0.572152E+00 0.133276E-01 0.278797E+00 0.108651E+00 0.272020E-01 0.571161E+00 0.143098E-01 0.510850E-01 0.245560E-02 0.473155E+00 0.364039E-01
 0.855263E+01 0.414534E+00 0.183941E+00 0.438248E-01 0.137658E+00 0.704720E+00 0.484460E+00 0.951207E+00 0.662273E-02 0.102921E-01 0.393660E-01 0.245944E+00 0.835690E-01 0.136770E-01 0.559119E+00 0.143471E-01 0.264542E+00 0.100372E+00 0.245242E-01 0.557638E+00 0.152919E-01 0.451559E-01 0.228831E-02 0.462776E+00 0.365050E-01
 0.873684E+01 0.394100E+00 0.168394E+00 0.382304E-01 0.128619E+00 0.651802E+00 0.526549E+00 0.937409E+00 0.867877E-02 0.106785E-01 0.400766E-01 0.232329E+00 0.760934E-01 0.117240E-01 0.544758E+00 0.153560E-01 0.250106E+00 0.923009E-01 0.220209E-01 0.542258E+00 0.163041E-01 0.396244E-01 0.211195E-02 0.453238E+00 0.365401E-01
 0.892105E+01 0.373372E+00 0.153385E+00 0.331925E-01 0.119472E+00 0.589172E+00 0.565814E+00 0.920659E+00 0.109005E-01 0.110177E-01 0.400261E-01 0.218610E+00 0.688240E-01 0.993925E-02 0.528808E+00 0.163293E-01 0.235742E+00 0.845610E-01 0.197140E-01 0.525636E+00 0.172526E-01 0.345367E-01 0.193371E-02 0.444371E+00 0.364941E-01
 0.910526E+01 0.352474E+00 0.138973E+00 0.286746E-01 0.110254E+00 0.515304E+00 0.600038E+00 0.901271E+00 0.130796E-01 0.112890E-01 0.386073E-01 0.204893E+00 0.618061E-01 0.832332E-02 0.511488E+00 0.172502E-01 0.221555E+00 0.771668E-01 0.175871E-01 0.507477E+00 0.181572E-01 0.299191E-01 0.175687E-02 0.435977E+00 0.363547E-01
 0.928947E+01 0.331428E+00 0.125182E+00 0.246433E-01 0.101024E+00 0.427402E+00 0.635547E+00 0.878446E+00 0.152616E-01 0.114828E-01 0.365835E-01 0.191229E+00 0.550745E-01 0.687730E-02 0.492823E+00 0.180869E-01 0.207549E+00 0.701071E-01 0.156286E-01 0.487700E+00 0.191065E-01 0.257619E-01 0.158406E-02 0.428341E+00 0.361562E-01
 0.947368E+01 0.310358E+00 0.112073E+00 0.210746E-01 0.918340E-01 0.322136E+00 0.672355E+00 0.851971E+00 0.173525E-01 0.115886E-01 0.350829E-01 0.177721E+00 0.486586E-01 0.559517E-02 0.472946E+00 0.188393E-01 0.193857E+00 0.634144E-01 0.138403E-01 0.467040E+00 0.199199E-01 0.220803E-01 0.141670E-02 0.422657E+00 0.359808E-01
 0.965789E+01 0.289279E+00 0.996613E-01 0.179401E-01 0.827983E-01 0.193779E+00 0.713061E+00 0.821238E+00 0.192103E-01 0.116058E-01 0.356867E-01 0.164402E+00 0.425931E-01 0.447663E-02 0.451861E+00 0.194969E-01 0.180404E+00 0.570683E-01 0.122194E-01 0.445757E+00 0.205380E-01 0.188209E-01 0.125262E-02 0.418755E+00 0.358382E-01
