 program J1J2_6          
 spatial system size               14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         101
 ------------------------
 disorder configurations processed          100
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.466185E+00 0.224862E+00 0.573288E-01 0.164003E+00 0.866192E+00 0.347492E+00 0.977763E+00 0.205821E-02 0.807509E-02 0.196232E-01 0.279533E+00 0.105370E+00 0.216533E-01 0.573225E+00 0.150749E-01 0.298280E+00 0.119492E+00 0.266649E-01 0.578698E+00 0.138934E-01 0.587114E-01 0.271488E-02 0.452210E+00 0.346501E-01
 0.818421E+01 0.447066E+00 0.208147E+00 0.501134E-01 0.155096E+00 0.843318E+00 0.387682E+00 0.971775E+00 0.280024E-02 0.843978E-02 0.237153E-01 0.266114E+00 0.972841E-01 0.191006E-01 0.561661E+00 0.159985E-01 0.284489E+00 0.110863E+00 0.236698E-01 0.565995E+00 0.150126E-01 0.522170E-01 0.254392E-02 0.435315E+00 0.344439E-01
 0.836842E+01 0.427369E+00 0.191707E+00 0.434954E-01 0.145800E+00 0.816501E+00 0.430367E+00 0.963990E+00 0.382620E-02 0.880338E-02 0.277055E-01 0.252468E+00 0.893311E-01 0.167179E-01 0.549341E+00 0.168066E-01 0.270578E+00 0.102376E+00 0.208545E-01 0.552398E+00 0.160628E-01 0.461595E-01 0.236649E-02 0.419181E+00 0.341664E-01
 0.855263E+01 0.407150E+00 0.175652E+00 0.374900E-01 0.136173E+00 0.784910E+00 0.475885E+00 0.953681E+00 0.526441E-02 0.916388E-02 0.309714E-01 0.238661E+00 0.815744E-01 0.145205E-01 0.535631E+00 0.176274E-01 0.256584E+00 0.940777E-01 0.182374E-01 0.537033E+00 0.172417E-01 0.405568E-01 0.218928E-02 0.404257E+00 0.338839E-01
 0.873684E+01 0.386547E+00 0.160090E+00 0.320754E-01 0.126310E+00 0.748459E+00 0.521445E+00 0.940527E+00 0.709580E-02 0.949247E-02 0.327588E-01 0.224801E+00 0.740668E-01 0.125062E-01 0.520855E+00 0.183820E-01 0.242652E+00 0.860230E-01 0.158209E-01 0.521222E+00 0.182803E-01 0.354541E-01 0.201066E-02 0.391402E+00 0.336487E-01
 0.892105E+01 0.365644E+00 0.145083E+00 0.272231E-01 0.116332E+00 0.706676E+00 0.563905E+00 0.924305E+00 0.924468E-02 0.977434E-02 0.335265E-01 0.210930E+00 0.668503E-01 0.106793E-01 0.504342E+00 0.191488E-01 0.228796E+00 0.782322E-01 0.136003E-01 0.504178E+00 0.193536E-01 0.308270E-01 0.183453E-02 0.380614E+00 0.334805E-01
 0.910526E+01 0.344516E+00 0.130688E+00 0.229113E-01 0.106315E+00 0.658547E+00 0.607109E+00 0.904366E+00 0.116063E-01 0.999142E-02 0.342914E-01 0.197210E+00 0.599914E-01 0.903897E-02 0.486559E+00 0.198478E-01 0.214981E+00 0.706969E-01 0.115791E-01 0.486656E+00 0.202946E-01 0.266697E-01 0.166306E-02 0.372423E+00 0.333863E-01
 0.928947E+01 0.323261E+00 0.116957E+00 0.190996E-01 0.963905E-01 0.603732E+00 0.650365E+00 0.880441E+00 0.140617E-01 0.101281E-01 0.352792E-01 0.183645E+00 0.534838E-01 0.757209E-02 0.467437E+00 0.204339E-01 0.201306E+00 0.634734E-01 0.975663E-02 0.468711E+00 0.211041E-01 0.229566E-01 0.149439E-02 0.366574E+00 0.333493E-01
 0.947368E+01 0.301959E+00 0.103929E+00 0.157609E-01 0.865995E-01 0.540817E+00 0.691845E+00 0.852157E+00 0.163850E-01 0.101787E-01 0.357588E-01 0.170455E+00 0.473963E-01 0.627867E-02 0.446714E+00 0.210350E-01 0.187691E+00 0.565324E-01 0.812395E-02 0.449467E+00 0.219007E-01 0.196819E-01 0.133246E-02 0.363771E+00 0.333826E-01
 0.965789E+01 0.280637E+00 0.916062E-01 0.128521E-01 0.770699E-01 0.468471E+00 0.730112E+00 0.818867E+00 0.186621E-01 0.101388E-01 0.362733E-01 0.157595E+00 0.416838E-01 0.513628E-02 0.425311E+00 0.214563E-01 0.174127E+00 0.499225E-01 0.668420E-02 0.429978E+00 0.224270E-01 0.167820E-01 0.117694E-02 0.363891E+00 0.334860E-01
 0.984211E+01 0.259461E+00 0.800595E-01 0.103462E-01 0.678981E-01 0.385812E+00 0.762342E+00 0.779455E+00 0.209718E-01 0.100027E-01 0.375606E-01 0.145143E+00 0.363783E-01 0.414755E-02 0.402989E+00 0.217259E-01 0.160737E+00 0.436813E-01 0.542173E-02 0.409419E+00 0.228070E-01 0.142501E-01 0.102963E-02 0.367498E+00 0.336598E-01
 0.100263E+02 0.238554E+00 0.693279E-01 0.821426E-02 0.591893E-01 0.290960E+00 0.785379E+00 0.733724E+00 0.231357E-01 0.977247E-02 0.392094E-01 0.133150E+00 0.314814E-01 0.330091E-02 0.379079E+00 0.219349E-01 0.147551E+00 0.378465E-01 0.433328E-02 0.387491E+00 0.229745E-01 0.120450E-01 0.892255E-03 0.374184E+00 0.338566E-01
 0.102105E+02 0.218169E+00 0.594726E-01 0.642441E-02 0.510491E-01 0.183650E+00 0.794998E+00 0.682306E+00 0.251795E-01 0.944279E-02 0.397385E-01 0.121630E+00 0.269850E-01 0.258308E-02 0.355124E+00 0.218853E-01 0.134801E+00 0.324876E-01 0.341324E-02 0.364537E+00 0.229371E-01 0.101355E-01 0.762610E-03 0.384026E+00 0.340455E-01
 0.103947E+02 0.198540E+00 0.505418E-01 0.494297E-02 0.435477E-01 0.649729E-01 0.792285E+00 0.625412E+00 0.269470E-01 0.901238E-02 0.386074E-01 0.110729E+00 0.229298E-01 0.198894E-02 0.330538E+00 0.216540E-01 0.122573E+00 0.276120E-01 0.264022E-02 0.340619E+00 0.226893E-01 0.850337E-02 0.645557E-03 0.396885E+00 0.341747E-01
 0.105789E+02 0.179842E+00 0.425498E-01 0.373835E-02 0.367410E-01 -.648330E-01 0.778701E+00 0.562643E+00 0.285473E-01 0.848789E-02 0.373401E-01 0.100491E+00 0.193227E-01 0.150708E-02 0.304942E+00 0.213205E-01 0.110970E+00 0.232272E-01 0.200294E-02 0.315178E+00 0.222921E-01 0.711720E-02 0.540213E-03 0.412874E+00 0.342429E-01
 0.107632E+02 0.162196E+00 0.354660E-01 0.277204E-02 0.306343E-01 -.203811E+00 0.755811E+00 0.496202E+00 0.296074E-01 0.787014E-02 0.374459E-01 0.909712E-01 0.161511E-01 0.112153E-02 0.279300E+00 0.207644E-01 0.100037E+00 0.193149E-01 0.148591E-02 0.289209E+00 0.216788E-01 0.594174E-02 0.444971E-03 0.431969E+00 0.342093E-01
