 program J1J2_6          
 spatial system size               14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         501
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.223547E+00 0.101131E+00 0.108008E+01 0.326574E+01 0.668521E-01 0.564197E+00 0.177004E-01
 0.818421E+01 0.218717E+00 0.987181E-01 0.102980E+01 0.299866E+01 0.574543E-01 0.561434E+00 0.179275E-01
 0.836842E+01 0.213780E+00 0.962401E-01 0.979424E+00 0.274406E+01 0.464778E-01 0.558319E+00 0.182223E-01
 0.855263E+01 0.208466E+00 0.936941E-01 0.928876E+00 0.249958E+01 0.343271E-01 0.556013E+00 0.183029E-01
 0.873684E+01 0.202995E+00 0.910802E-01 0.878365E+00 0.226704E+01 0.205387E-01 0.553138E+00 0.185026E-01
 0.892105E+01 0.197326E+00 0.884247E-01 0.828463E+00 0.204828E+01 0.523438E-02 0.550292E+00 0.186326E-01
 0.910526E+01 0.191598E+00 0.857096E-01 0.778959E+00 0.184130E+01 -.115193E-01 0.547467E+00 0.187512E-01
 0.928947E+01 0.185733E+00 0.829550E-01 0.730278E+00 0.164843E+01 -.303198E-01 0.544110E+00 0.189080E-01
 0.947368E+01 0.179775E+00 0.801714E-01 0.682656E+00 0.146842E+01 -.503246E-01 0.540757E+00 0.190293E-01
 0.965789E+01 0.173776E+00 0.773649E-01 0.636277E+00 0.130213E+01 -.721152E-01 0.537195E+00 0.191332E-01
 0.984211E+01 0.167815E+00 0.745565E-01 0.591497E+00 0.114973E+01 -.953910E-01 0.532949E+00 0.193016E-01
 0.100263E+02 0.161704E+00 0.717431E-01 0.548233E+00 0.100952E+01 -.119598E+00 0.528217E+00 0.195107E-01
 0.102105E+02 0.155762E+00 0.689508E-01 0.506961E+00 0.882102E+00 -.144061E+00 0.522889E+00 0.197896E-01
 0.103947E+02 0.149829E+00 0.661869E-01 0.467677E+00 0.766910E+00 -.168773E+00 0.517834E+00 0.199868E-01
 0.105789E+02 0.144027E+00 0.634564E-01 0.430429E+00 0.662808E+00 -.192513E+00 0.512273E+00 0.203135E-01
 0.107632E+02 0.138299E+00 0.608020E-01 0.395673E+00 0.570895E+00 -.215520E+00 0.507693E+00 0.204610E-01
 0.109474E+02 0.132727E+00 0.582116E-01 0.363182E+00 0.488857E+00 -.235414E+00 0.502895E+00 0.206385E-01
 0.111316E+02 0.127359E+00 0.557093E-01 0.333114E+00 0.416909E+00 -.252371E+00 0.497577E+00 0.210056E-01
 0.113158E+02 0.122052E+00 0.532922E-01 0.305287E+00 0.353828E+00 -.265478E+00 0.493128E+00 0.211966E-01
 0.115000E+02 0.116957E+00 0.509902E-01 0.279899E+00 0.299525E+00 -.274409E+00 0.488886E+00 0.213852E-01
