 program J1J2_6          
 linear system size                14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         701
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8811477915172072E+00   4.6436380567324090E-02   6.1361074274892413E-01   4.7194929189129115E-03
   8.1842105263157894E+00  -3.7673717791563903E+00   4.7025109821092780E-02   6.2102387273090531E-01   4.7410448280603458E-03
   8.3684210526315788E+00  -3.6523897221386479E+00   4.7532000928840648E-02   6.2671484712863068E-01   4.6948147839243675E-03
   8.5526315789473681E+00  -3.5365912232710279E+00   4.7950628768215785E-02   6.3007976251273312E-01   4.8293052943825529E-03
   8.7368421052631575E+00  -3.4204488323424225E+00   4.8245824337373087E-02   6.3051466257323285E-01   4.8483641718535409E-03
   8.9210526315789469E+00  -3.3045341869425631E+00   4.8376501315181009E-02   6.2825187874232979E-01   5.0913620222745705E-03
   9.1052631578947363E+00  -3.1892523450439723E+00   4.8316357798382011E-02   6.2274330856067361E-01   5.2903063717643257E-03
   9.2894736842105257E+00  -3.0753318669127849E+00   4.8045675681858475E-02   6.1377280415748781E-01   5.7489528360914321E-03
   9.4736842105263150E+00  -2.9632166755165530E+00   4.7532769278572112E-02   6.0365811892352450E-01   6.5418543869620264E-03
   9.6578947368421062E+00  -2.8530392826981785E+00   4.6760289495240442E-02   5.9148665850906179E-01   7.5257311108798911E-03
   9.8421052631578938E+00  -2.7452479173353481E+00   4.5735083140300233E-02   5.7858672872457984E-01   8.5085942742107405E-03
   1.0026315789473685E+01  -2.6400622917753900E+00   4.4492648588024701E-02   5.6300552230305068E-01   9.4494559131355869E-03
   1.0210526315789474E+01  -2.5378852585613116E+00   4.3018765657664895E-02   5.4601649956554310E-01   1.0386410230917239E-02
   1.0394736842105264E+01  -2.4388525469261353E+00   4.1342043141853163E-02   5.2715213018056994E-01   1.1113906958469753E-02
   1.0578947368421053E+01  -2.3437317927888630E+00   3.9503649930836590E-02   5.0687939038453944E-01   1.1659220840450386E-02
   1.0763157894736842E+01  -2.2523256263873601E+00   3.7507418749116811E-02   4.8459771132660168E-01   1.2179866885063957E-02
   1.0947368421052632E+01  -2.1652350990463574E+00   3.5392050507721831E-02   4.6069972499087991E-01   1.2384597500946965E-02
   1.1131578947368421E+01  -2.0826279470969302E+00   3.3206018599035644E-02   4.3597628153550905E-01   1.2593826737173477E-02
   1.1315789473684211E+01  -2.0047686752322642E+00   3.0986241264616510E-02   4.0961667560176529E-01   1.2550370838230787E-02
   1.1500000000000000E+01  -1.9317693683026587E+00   2.8789099724148469E-02   3.8235061585769520E-01   1.2112103789921249E-02
