 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 0.987686E+00 0.983546E+00 0.998758E+00 0.655848E+00
   1 0.818421E+01 0.971677E+00 0.952386E+00 0.938160E+00 0.655230E+00
   1 0.836842E+01 0.952345E+00 0.915256E+00 0.867864E+00 0.654662E+00
   1 0.855263E+01 0.928954E+00 0.871322E+00 0.788147E+00 0.653958E+00
   1 0.873684E+01 0.903044E+00 0.823767E+00 0.705650E+00 0.653375E+00
   1 0.892105E+01 0.873460E+00 0.771234E+00 0.620186E+00 0.652441E+00
   1 0.910526E+01 0.841232E+00 0.715829E+00 0.535554E+00 0.651612E+00
   1 0.928947E+01 0.808658E+00 0.661990E+00 0.459419E+00 0.650550E+00
   1 0.947368E+01 0.775700E+00 0.609647E+00 0.390892E+00 0.649427E+00
   1 0.965789E+01 0.742284E+00 0.558742E+00 0.329449E+00 0.648241E+00
   1 0.984211E+01 0.709576E+00 0.511138E+00 0.276768E+00 0.646884E+00
   1 0.100263E+02 0.676993E+00 0.465913E+00 0.231114E+00 0.645107E+00
   1 0.102105E+02 0.644465E+00 0.422766E+00 0.191177E+00 0.643455E+00
   1 0.103947E+02 0.612623E+00 0.382630E+00 0.157520E+00 0.641360E+00
   1 0.105789E+02 0.582638E+00 0.346609E+00 0.129939E+00 0.639473E+00
   1 0.107632E+02 0.553789E+00 0.313693E+00 0.107117E+00 0.637148E+00
   1 0.109474E+02 0.525611E+00 0.283121E+00 0.878530E-01 0.634666E+00
   1 0.111316E+02 0.501780E+00 0.258354E+00 0.734696E-01 0.633092E+00
   1 0.113158E+02 0.478399E+00 0.235215E+00 0.612708E-01 0.630851E+00
   1 0.115000E+02 0.457375E+00 0.215317E+00 0.515929E-01 0.629052E+00
   2 0.800000E+01 -.875948E+00 0.775024E+00 0.624503E+00 0.653437E+00
   2 0.818421E+01 -.850173E+00 0.730544E+00 0.556185E+00 0.652620E+00
   2 0.836842E+01 -.822443E+00 0.684157E+00 0.489069E+00 0.651712E+00
   2 0.855263E+01 -.792992E+00 0.636545E+00 0.424676E+00 0.650636E+00
   2 0.873684E+01 -.762420E+00 0.588964E+00 0.364846E+00 0.649401E+00
   2 0.892105E+01 -.729918E+00 0.540514E+00 0.308717E+00 0.647771E+00
   2 0.910526E+01 -.696217E+00 0.492367E+00 0.257351E+00 0.646144E+00
   2 0.928947E+01 -.661848E+00 0.445824E+00 0.212466E+00 0.643680E+00
   2 0.947368E+01 -.625365E+00 0.398843E+00 0.171329E+00 0.640991E+00
   2 0.965789E+01 -.589082E+00 0.354622E+00 0.136444E+00 0.638340E+00
   2 0.984211E+01 -.554945E+00 0.315430E+00 0.108853E+00 0.635319E+00
   2 0.100263E+02 -.522275E+00 0.279993E+00 0.864519E-01 0.632415E+00
   2 0.102105E+02 -.493652E+00 0.250535E+00 0.695783E-01 0.630500E+00
   2 0.103947E+02 -.467440E+00 0.225107E+00 0.565730E-01 0.627856E+00
   2 0.105789E+02 -.444459E+00 0.203819E+00 0.466152E-01 0.625960E+00
   2 0.107632E+02 -.423946E+00 0.185778E+00 0.389580E-01 0.623741E+00
   2 0.109474E+02 -.405730E+00 0.170454E+00 0.329946E-01 0.621464E+00
   2 0.111316E+02 -.389431E+00 0.157330E+00 0.282847E-01 0.619104E+00
   2 0.113158E+02 -.374230E+00 0.145588E+00 0.243820E-01 0.616563E+00
   2 0.115000E+02 -.361248E+00 0.135917E+00 0.213811E-01 0.614198E+00
   3 0.800000E+01 0.139197E+01 0.194487E+01 0.383914E+01 0.661678E+00
   3 0.818421E+01 0.135771E+01 0.185074E+01 0.347953E+01 0.661384E+00
   3 0.836842E+01 0.132140E+01 0.175342E+01 0.312563E+01 0.661120E+00
   3 0.855263E+01 0.128314E+01 0.165386E+01 0.278412E+01 0.660710E+00
   3 0.873684E+01 0.124384E+01 0.155456E+01 0.246264E+01 0.660324E+00
   3 0.892105E+01 0.120351E+01 0.145594E+01 0.216324E+01 0.659827E+00
   3 0.910526E+01 0.116213E+01 0.135804E+01 0.188488E+01 0.659326E+00
   3 0.928947E+01 0.112014E+01 0.126227E+01 0.163128E+01 0.658724E+00
   3 0.947368E+01 0.107771E+01 0.116897E+01 0.140152E+01 0.658124E+00
   3 0.965789E+01 0.103558E+01 0.108001E+01 0.119908E+01 0.657334E+00
   3 0.984211E+01 0.992865E+00 0.993391E+00 0.101691E+01 0.656505E+00
   3 0.100263E+02 0.950357E+00 0.910736E+00 0.856839E+00 0.655655E+00
   3 0.102105E+02 0.908376E+00 0.832694E+00 0.718392E+00 0.654642E+00
   3 0.103947E+02 0.866128E+00 0.757801E+00 0.597267E+00 0.653314E+00
   3 0.105789E+02 0.823844E+00 0.686384E+00 0.492029E+00 0.651875E+00
   3 0.107632E+02 0.783339E+00 0.621255E+00 0.404816E+00 0.650380E+00
   3 0.109474E+02 0.742995E+00 0.559614E+00 0.329998E+00 0.648753E+00
