 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.144508E+00 0.489161E+00 0.513325E+00 -.218395E+00 -.456840E+01 -.407009E+01 0.706877E-01 0.295300E+00
   1 0.818421E+01 0.124411E+00 0.475284E+00 0.494680E+00 -.210417E+00 -.445385E+01 -.399671E+01 0.591303E-01 0.240051E+00
   1 0.836842E+01 0.105590E+00 0.459977E+00 0.475227E+00 -.200429E+00 -.436134E+01 -.366170E+01 0.485688E-01 0.190207E+00
   1 0.855263E+01 0.907307E-01 0.443135E+00 0.455346E+00 -.188137E+00 -.431854E+01 -.383482E+01 0.402060E-01 0.154464E+00
   1 0.873684E+01 0.776474E-01 0.424680E+00 0.434386E+00 -.174324E+00 -.411292E+01 -.367509E+01 0.329753E-01 0.125207E+00
   1 0.892105E+01 0.678130E-01 0.404521E+00 0.412531E+00 -.159039E+00 -.399314E+01 -.337813E+01 0.274318E-01 0.106348E+00
   1 0.910526E+01 0.595632E-01 0.382605E+00 0.389313E+00 -.142839E+00 -.391793E+01 -.349154E+01 0.227892E-01 0.924089E-01
   1 0.928947E+01 0.530070E-01 0.359749E+00 0.365532E+00 -.126609E+00 -.385163E+01 -.324005E+01 0.190692E-01 0.831905E-01
   1 0.947368E+01 0.480628E-01 0.336332E+00 0.341516E+00 -.110809E+00 -.365151E+01 -.319130E+01 0.161650E-01 0.784481E-01
   1 0.965789E+01 0.441965E-01 0.312632E+00 0.317435E+00 -.957854E-01 -.350590E+01 -.285178E+01 0.138172E-01 0.768388E-01
   1 0.984211E+01 0.407791E-01 0.288637E+00 0.293199E+00 -.816486E-01 -.346644E+01 -.271666E+01 0.117704E-01 0.767473E-01
   1 0.100263E+02 0.380393E-01 0.264568E+00 0.269017E+00 -.685492E-01 -.329866E+01 -.284633E+01 0.100640E-01 0.793740E-01
   1 0.102105E+02 0.356602E-01 0.239594E+00 0.244083E+00 -.561337E-01 -.327778E+01 -.280907E+01 0.854397E-02 0.848093E-01
   1 0.103947E+02 0.337378E-01 0.214138E+00 0.218849E+00 -.447166E-01 -.307910E+01 -.248471E+01 0.722453E-02 0.945390E-01
   1 0.105789E+02 0.322507E-01 0.189880E+00 0.194974E+00 -.350145E-01 -.306599E+01 -.249697E+01 0.612378E-02 0.109012E+00
   1 0.107632E+02 0.307901E-01 0.167055E+00 0.172499E+00 -.269592E-01 -.294717E+01 -.215749E+01 0.514363E-02 0.127101E+00
   1 0.109474E+02 0.295616E-01 0.145694E+00 0.151637E+00 -.203528E-01 -.289395E+01 -.206829E+01 0.430695E-02 0.151912E+00
   1 0.111316E+02 0.284162E-01 0.127435E+00 0.133799E+00 -.154323E-01 -.275190E+01 -.197233E+01 0.362123E-02 0.180494E+00
   1 0.113158E+02 0.275934E-01 0.111343E+00 0.118244E+00 -.116358E-01 -.266748E+01 -.202728E+01 0.307232E-02 0.218059E+00
   1 0.115000E+02 0.267793E-01 0.976216E-01 0.104993E+00 -.881285E-02 -.256155E+01 -.179163E+01 0.261424E-02 0.260345E+00
   2 0.800000E+01 0.431267E+00 0.651822E-01 0.438455E+00 0.181742E+00 -.389972E+01 -.319703E+01 0.281109E-01 0.873390E-01
   2 0.818421E+01 0.414794E+00 0.584656E-01 0.420888E+00 0.168636E+00 -.380289E+01 -.337366E+01 0.242512E-01 0.764026E-01
   2 0.836842E+01 0.397697E+00 0.529072E-01 0.402962E+00 0.155364E+00 -.368151E+01 -.325564E+01 0.210411E-01 0.683512E-01
   2 0.855263E+01 0.379323E+00 0.481732E-01 0.383963E+00 0.141566E+00 -.366620E+01 -.320080E+01 0.182732E-01 0.624818E-01
   2 0.873684E+01 0.360157E+00 0.448292E-01 0.364426E+00 0.127703E+00 -.347073E+01 -.276149E+01 0.161455E-01 0.600957E-01
   2 0.892105E+01 0.339032E+00 0.415059E-01 0.343003E+00 0.113220E+00 -.339710E+01 -.292990E+01 0.140718E-01 0.581939E-01
   2 0.910526E+01 0.314879E+00 0.388574E-01 0.318729E+00 0.976391E-01 -.334527E+01 -.280641E+01 0.122354E-01 0.591005E-01
