 program J1J2_6          
 linear system size                56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9017
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed            2
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.9951020086982725E+00   1.9526400475870474E-02   6.0229951073021226E-01   1.0105789725103605E-03
   8.0555555555555554E+00  -3.9615797951538281E+00   1.9565758772524467E-02   6.0436656052461202E-01   1.0097963879316160E-03
   8.1111111111111107E+00  -3.9278091604721119E+00   1.9615378287539613E-02   6.0837568414183529E-01   1.7479550798767914E-03
   8.1666666666666661E+00  -3.8938811608506909E+00   1.9724705429921333E-02   6.1306128122617221E-01   1.0351759729999223E-03
   8.2222222222222214E+00  -3.8598167625006834E+00   1.9772809119501005E-02   6.1445471259104179E-01   1.8977643566626501E-03
   8.2777777777777786E+00  -3.8256262701772497E+00   1.9800189081189870E-02   6.1753230966834072E-01   1.0494985693275376E-03
   8.3333333333333339E+00  -3.7913578298644319E+00   1.9826864128080803E-02   6.1797331300544833E-01   9.6080999210940393E-04
   8.3888888888888893E+00  -3.7569930787130108E+00   1.9805228072060366E-02   6.2103047389607524E-01   1.7095026373260277E-05
   8.4444444444444446E+00  -3.7225203617827134E+00   1.9708082542491529E-02   6.2171869529493562E-01   2.3618334175706568E-04
   8.5000000000000000E+00  -3.6879656759996560E+00   1.9611032875971109E-02   6.2302610723255170E-01   5.6514544443488914E-04
   8.5555555555555554E+00  -3.6533241019172156E+00   1.9446429923313736E-02   6.2573208749313192E-01   2.6963383143731971E-03
   8.6111111111111107E+00  -3.6186980728235594E+00   1.9265919062799813E-02   6.2485050543503529E-01   3.4370279513365612E-03
   8.6666666666666661E+00  -3.5839786398349736E+00   1.9076373364186144E-02   6.2747707980288370E-01   3.5551863145039751E-03
   8.7222222222222214E+00  -3.5492913103514665E+00   1.8859125125001829E-02   6.2582609561388003E-01   4.4573551314869321E-03
   8.7777777777777786E+00  -3.5145471951905005E+00   1.8618883637761707E-02   6.2624317472125435E-01   4.7912841475025768E-03
   8.8333333333333339E+00  -3.4798244781698084E+00   1.8366057863976305E-02   6.2856125403445740E-01   4.4837491225392795E-03
   8.8888888888888893E+00  -3.4450683956692529E+00   1.8028148162788880E-02   6.2522858659404079E-01   5.2044884305907117E-03
   8.9444444444444446E+00  -3.4103181066190547E+00   1.7751267078955704E-02   6.2554990265593036E-01   5.6722696652121880E-03
   9.0000000000000000E+00  -3.3755294383941559E+00   1.7462326604394184E-02   6.2457368896762255E-01   4.8495966556060732E-03
   9.0555555555555554E+00  -3.3407601818084545E+00   1.7199433918861598E-02   6.2559988743501926E-01   4.8523345833925893E-03
   9.1111111111111107E+00  -3.3060999761502083E+00   1.6846837501788271E-02   6.2481574825134545E-01   4.3260990956698019E-03
   9.1666666666666661E+00  -3.2713713391188319E+00   1.6587384117301603E-02   6.2327906737193062E-01   5.3893453329296303E-03
   9.2222222222222214E+00  -3.2367275981409254E+00   1.6277876755955288E-02   6.2394938772260433E-01   5.6370232462868326E-03
   9.2777777777777786E+00  -3.2020842044540423E+00   1.5971808287725521E-02   6.2302878678428808E-01   4.2107605600441673E-03
   9.3333333333333339E+00  -3.1675815774029692E+00   1.5660047413413449E-02   6.2207171695405339E-01   5.1355066565500086E-03
   9.3888888888888893E+00  -3.1331079673074038E+00   1.5377615609114267E-02   6.2242165025070273E-01   5.0697630685571536E-03
   9.4444444444444446E+00  -3.0986439437719855E+00   1.5079296895699269E-02   6.1895501841893330E-01   5.9611406514938686E-03
   9.5000000000000000E+00  -3.0643158931280805E+00   1.4751056757279609E-02   6.1644827968269955E-01   6.3222638105963702E-03
   9.5555555555555554E+00  -3.0300897664434832E+00   1.4372121541420965E-02   6.1559384646780013E-01   6.6626197513305150E-03
   9.6111111111111107E+00  -2.9959315384615541E+00   1.3980923827119020E-02   6.1370809263189807E-01   5.9770091887089141E-03
   9.6666666666666661E+00  -2.9618748759397588E+00   1.3497846689496258E-02   6.1196435119304038E-01   7.9010817121673051E-03
   9.7222222222222214E+00  -2.9279861519179873E+00   1.3120684411206448E-02   6.0824262890655678E-01   7.1619667470318215E-03
   9.7777777777777786E+00  -2.8941255758612008E+00   1.2660929959256830E-02   6.0726713242863450E-01   7.8954975827763181E-03
   9.8333333333333339E+00  -2.8605545681751812E+00   1.2243537675447102E-02   6.0277623195572638E-01   8.0155211915074014E-03
   9.8888888888888893E+00  -2.8270570441874727E+00   1.1807814815650073E-02   6.0322390910201173E-01   6.2439323414315616E-03
   9.9444444444444446E+00  -2.7937502204543492E+00   1.1422363833979548E-02   5.9613668442106749E-01   6.3782003695359883E-03
   1.0000000000000000E+01  -2.7607129734018394E+00   1.1153249257750613E-02   5.9243155216106080E-01   2.9862631133825575E-03
   1.0055555555555555E+01  -2.7279706636551690E+00   1.0947247377615786E-02   5.8592508682716038E-01   3.4411807910092631E-03
   1.0111111111111111E+01  -2.6955683792402358E+00   1.0827413510636806E-02   5.8025369651761260E-01   1.8414715398945407E-03
   1.0166666666666666E+01  -2.6634666342735489E+00   1.0753940369320864E-02   5.7346968563557366E-01   3.8075240464809145E-04
   1.0222222222222221E+01  -2.6318040489309746E+00   1.0715052903950157E-02   5.6524126351438486E-01   2.0224943968238937E-04
   1.0277777777777779E+01  -2.6004765799304908E+00   1.0688211020133620E-02   5.6057268205515953E-01   3.6500272475653285E-04
   1.0333333333333334E+01  -2.5695527949110062E+00   1.0705139401352729E-02   5.5363370847434368E-01   1.8925857723673973E-04
   1.0388888888888889E+01  -2.5390382684272828E+00   1.0716773582157949E-02   5.4622146895282231E-01   2.3939040163518187E-04
   1.0444444444444445E+01  -2.5089452207625822E+00   1.0665956658100533E-02   5.3796589898093328E-01   9.3801294328022531E-04
   1.0500000000000000E+01  -2.4791616239461014E+00   1.0650579463345968E-02   5.3088358208980124E-01   5.9822205925409439E-04
   1.0555555555555555E+01  -2.4498661816555218E+00   1.0586968565127947E-02   5.2631074599021699E-01   1.2921915453525622E-03
   1.0611111111111111E+01  -2.4209105466273164E+00   1.0538766604776019E-02   5.1746417136291978E-01   1.3996648064091041E-03
   1.0666666666666666E+01  -2.3923645442844652E+00   1.0463420629624997E-02   5.1065409928427408E-01   8.0391650144153652E-04
   1.0722222222222221E+01  -2.3641833288130245E+00   1.0353033347727483E-02   5.0328215678637278E-01   1.5457169209570018E-03
   1.0777777777777779E+01  -2.3363860048338081E+00   1.0276951450498022E-02   4.9697722901874819E-01   1.7678892752087492E-03
   1.0833333333333334E+01  -2.3089962339850878E+00   1.0191338430867159E-02   4.9060715555409379E-01   9.1326563993250588E-04
   1.0888888888888889E+01  -2.2819559931611488E+00   1.0148050412486455E-02   4.8348782385234496E-01   1.9716786549814061E-03
   1.0944444444444445E+01  -2.2553469082068673E+00   1.0042831928246603E-02   4.7487656212209894E-01   1.7967161403349623E-03
   1.1000000000000000E+01  -2.2291235577388311E+00   1.0047891560338099E-02   4.6738878237158493E-01   1.3061384362176257E-03
   1.1055555555555555E+01  -2.2032463240815714E+00   9.9956557849023020E-03   4.6161742066327693E-01   1.5353175942218926E-03
   1.1111111111111111E+01  -2.1778409623196260E+00   9.9479006586720310E-03   4.5460295258131167E-01   1.0541265861434401E-04
   1.1166666666666666E+01  -2.1528067161754465E+00   9.9241587612838439E-03   4.4729442469669911E-01   2.1261842708574863E-04
   1.1222222222222221E+01  -2.1280933935892987E+00   9.8991314446932512E-03   4.4070004935382723E-01   7.9081359572094276E-04
   1.1277777777777779E+01  -2.1038919623029537E+00   9.8592223403112574E-03   4.3208286556627107E-01   8.3258497035906234E-04
   1.1333333333333334E+01  -2.0800803110164972E+00   9.8604421777609627E-03   4.2678725708216647E-01   5.7187314982358765E-04
   1.1388888888888889E+01  -2.0566944562151441E+00   9.8297302344747955E-03   4.1779248513874312E-01   1.9748687087974882E-04
