 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9021
 ------------------------
 disorder configurations processed            2
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.113499E+00 0.192835E+00 0.873703E-01 0.115062E-01 0.497561E+00 0.663046E+00 0.182769E-02
 0.805556E+01 0.112525E+00 0.191557E+00 0.861679E-01 0.111820E-01 0.497997E+00 0.663004E+00 0.184337E-02
 0.811111E+01 0.111514E+00 0.190278E+00 0.849645E-01 0.108605E-01 0.498519E+00 0.662958E+00 0.186138E-02
 0.816667E+01 0.110568E+00 0.188972E+00 0.837644E-01 0.105484E-01 0.498876E+00 0.662895E+00 0.189049E-02
 0.822222E+01 0.109566E+00 0.187682E+00 0.825721E-01 0.102398E-01 0.499385E+00 0.662852E+00 0.191081E-02
 0.827778E+01 0.108577E+00 0.186369E+00 0.813744E-01 0.993591E-02 0.499838E+00 0.662806E+00 0.192814E-02
 0.833333E+01 0.107573E+00 0.185002E+00 0.801427E-01 0.962915E-02 0.500266E+00 0.662740E+00 0.196009E-02
 0.838889E+01 0.106523E+00 0.183608E+00 0.788900E-01 0.932123E-02 0.500762E+00 0.662705E+00 0.197023E-02
 0.844444E+01 0.105459E+00 0.182189E+00 0.776263E-01 0.901593E-02 0.501263E+00 0.662643E+00 0.199629E-02
 0.850000E+01 0.104400E+00 0.180728E+00 0.763441E-01 0.871266E-02 0.501714E+00 0.662587E+00 0.202251E-02
 0.855556E+01 0.103300E+00 0.179253E+00 0.750534E-01 0.841170E-02 0.502238E+00 0.662526E+00 0.204752E-02
 0.861111E+01 0.102182E+00 0.177769E+00 0.737645E-01 0.811593E-02 0.502810E+00 0.662469E+00 0.207269E-02
 0.866667E+01 0.101076E+00 0.176243E+00 0.724594E-01 0.782359E-02 0.503298E+00 0.662406E+00 0.209857E-02
 0.872222E+01 0.999485E-01 0.174693E+00 0.711455E-01 0.753466E-02 0.503811E+00 0.662314E+00 0.214084E-02
 0.877778E+01 0.988526E-01 0.173134E+00 0.698428E-01 0.725470E-02 0.504259E+00 0.662250E+00 0.217012E-02
 0.883333E+01 0.977314E-01 0.171559E+00 0.685369E-01 0.697916E-02 0.504740E+00 0.662179E+00 0.219757E-02
 0.888889E+01 0.965987E-01 0.169991E+00 0.672453E-01 0.671127E-02 0.505280E+00 0.662109E+00 0.223009E-02
 0.894444E+01 0.954575E-01 0.168391E+00 0.659436E-01 0.644724E-02 0.505795E+00 0.662039E+00 0.225635E-02
 0.900000E+01 0.942798E-01 0.166850E+00 0.646870E-01 0.619519E-02 0.506486E+00 0.661965E+00 0.228343E-02
 0.905556E+01 0.930718E-01 0.165298E+00 0.634297E-01 0.594729E-02 0.507266E+00 0.661900E+00 0.231116E-02
