 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.296617E+00 0.286520E+00 0.412558E+00 0.588781E-02 -.398345E+01 -.389888E+01 0.849867E-01 0.998802E+00
   1 0.805556E+01 0.292429E+00 0.280693E+00 0.405516E+00 0.672605E-02 -.396375E+01 -.388925E+01 0.820828E-01 0.998324E+00
   1 0.811111E+01 0.288280E+00 0.274888E+00 0.398521E+00 0.754235E-02 -.391737E+01 -.384393E+01 0.792447E-01 0.997740E+00
   1 0.816667E+01 0.283983E+00 0.268967E+00 0.391347E+00 0.830344E-02 -.388301E+01 -.380690E+01 0.763820E-01 0.997054E+00
   1 0.822222E+01 0.279613E+00 0.262810E+00 0.383959E+00 0.911461E-02 -.384820E+01 -.378827E+01 0.734850E-01 0.996169E+00
   1 0.827778E+01 0.275205E+00 0.256493E+00 0.376442E+00 0.994912E-02 -.381306E+01 -.374955E+01 0.705880E-01 0.995058E+00
   1 0.833333E+01 0.270739E+00 0.250391E+00 0.369029E+00 0.106042E-01 -.377805E+01 -.372869E+01 0.677908E-01 0.993920E+00
   1 0.838889E+01 0.266222E+00 0.244347E+00 0.361619E+00 0.111683E-01 -.375075E+01 -.370243E+01 0.650505E-01 0.992685E+00
   1 0.844444E+01 0.261766E+00 0.238136E+00 0.354148E+00 0.118126E-01 -.371576E+01 -.363546E+01 0.623360E-01 0.991102E+00
   1 0.850000E+01 0.257015E+00 0.232210E+00 0.346651E+00 0.121353E-01 -.367786E+01 -.359478E+01 0.596813E-01 0.989769E+00
   1 0.855556E+01 0.252166E+00 0.226143E+00 0.339007E+00 0.124470E-01 -.364613E+01 -.356527E+01 0.570256E-01 0.988230E+00
   1 0.861111E+01 0.247190E+00 0.220130E+00 0.331296E+00 0.126457E-01 -.360576E+01 -.352894E+01 0.544138E-01 0.986678E+00
   1 0.866667E+01 0.242063E+00 0.214049E+00 0.323444E+00 0.127776E-01 -.357425E+01 -.349422E+01 0.518135E-01 0.985024E+00
   1 0.872222E+01 0.236816E+00 0.208026E+00 0.315569E+00 0.128072E-01 -.354521E+01 -.346258E+01 0.492640E-01 0.983385E+00
   1 0.877778E+01 0.231475E+00 0.201708E+00 0.307453E+00 0.128946E-01 -.350914E+01 -.340445E+01 0.466903E-01 0.981289E+00
   1 0.883333E+01 0.225825E+00 0.195455E+00 0.299184E+00 0.127945E-01 -.347552E+01 -.341415E+01 0.441386E-01 0.979426E+00
   1 0.888889E+01 0.219970E+00 0.189181E+00 0.290793E+00 0.125975E-01 -.344040E+01 -.336211E+01 0.416143E-01 0.977603E+00
   1 0.894444E+01 0.213719E+00 0.182634E+00 0.281997E+00 0.123208E-01 -.339766E+01 -.331723E+01 0.390324E-01 0.975696E+00
   1 0.900000E+01 0.207100E+00 0.176086E+00 0.273013E+00 0.118842E-01 -.335926E+01 -.327153E+01 0.364674E-01 0.974136E+00
   1 0.905556E+01 0.199326E+00 0.170194E+00 0.263768E+00 0.107648E-01 -.332889E+01 -.325299E+01 0.339240E-01 0.975445E+00
