 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 -.336478E+00 0.113335E+00 0.128977E-01 0.665292E+00
   1 0.805556E+01 -.334808E+00 0.112214E+00 0.126443E-01 0.665278E+00
   1 0.811111E+01 -.333102E+00 0.111075E+00 0.123898E-01 0.665255E+00
   1 0.816667E+01 -.331416E+00 0.109955E+00 0.121421E-01 0.665231E+00
   1 0.822222E+01 -.329675E+00 0.108804E+00 0.118900E-01 0.665214E+00
   1 0.827778E+01 -.327958E+00 0.107675E+00 0.116452E-01 0.665194E+00
   1 0.833333E+01 -.326162E+00 0.106501E+00 0.113933E-01 0.665174E+00
   1 0.838889E+01 -.324399E+00 0.105354E+00 0.111500E-01 0.665153E+00
   1 0.844444E+01 -.322580E+00 0.104178E+00 0.109033E-01 0.665126E+00
   1 0.850000E+01 -.320717E+00 0.102980E+00 0.106544E-01 0.665110E+00
   1 0.855556E+01 -.318706E+00 0.101694E+00 0.103906E-01 0.665088E+00
   1 0.861111E+01 -.316596E+00 0.100353E+00 0.101188E-01 0.665074E+00
   1 0.866667E+01 -.314291E+00 0.988993E-01 0.982871E-02 0.665043E+00
   1 0.872222E+01 -.311947E+00 0.974311E-01 0.953972E-02 0.665019E+00
   1 0.877778E+01 -.309495E+00 0.959078E-01 0.924461E-02 0.664988E+00
   1 0.883333E+01 -.306938E+00 0.943313E-01 0.894384E-02 0.664964E+00
   1 0.888889E+01 -.304334E+00 0.927396E-01 0.864537E-02 0.664933E+00
   1 0.894444E+01 -.301597E+00 0.910812E-01 0.833972E-02 0.664901E+00
   1 0.900000E+01 -.298830E+00 0.894198E-01 0.803898E-02 0.664871E+00
   1 0.905556E+01 -.295992E+00 0.877314E-01 0.773900E-02 0.664839E+00
   1 0.911111E+01 -.293087E+00 0.860200E-01 0.744072E-02 0.664807E+00
   1 0.916667E+01 -.290153E+00 0.843088E-01 0.714845E-02 0.664768E+00
   1 0.922222E+01 -.287096E+00 0.825444E-01 0.685324E-02 0.664726E+00
   1 0.927778E+01 -.284022E+00 0.807885E-01 0.656559E-02 0.664685E+00
   1 0.933333E+01 -.280922E+00 0.790370E-01 0.628473E-02 0.664646E+00
   1 0.938889E+01 -.277828E+00 0.773083E-01 0.601368E-02 0.664597E+00
   1 0.944444E+01 -.274638E+00 0.755453E-01 0.574315E-02 0.664561E+00
   1 0.950000E+01 -.271448E+00 0.738035E-01 0.548216E-02 0.664512E+00
   1 0.955556E+01 -.268237E+00 0.720707E-01 0.522860E-02 0.664458E+00
   1 0.961111E+01 -.265001E+00 0.703449E-01 0.498189E-02 0.664411E+00
   1 0.966667E+01 -.261731E+00 0.686221E-01 0.474159E-02 0.664359E+00
   1 0.972222E+01 -.258411E+00 0.668948E-01 0.450662E-02 0.664305E+00
   1 0.977778E+01 -.255130E+00 0.652096E-01 0.428308E-02 0.664254E+00
   1 0.983333E+01 -.251744E+00 0.634931E-01 0.406132E-02 0.664191E+00
   1 0.988889E+01 -.248372E+00 0.618060E-01 0.384897E-02 0.664138E+00
   1 0.994444E+01 -.244941E+00 0.601136E-01 0.364184E-02 0.664065E+00
   1 0.100000E+02 -.241567E+00 0.584712E-01 0.344615E-02 0.664008E+00
   1 0.100556E+02 -.238177E+00 0.568445E-01 0.325766E-02 0.663947E+00
   1 0.101111E+02 -.234839E+00 0.552645E-01 0.307963E-02 0.663888E+00
   1 0.101667E+02 -.231485E+00 0.537003E-01 0.290838E-02 0.663817E+00
   1 0.102222E+02 -.228248E+00 0.522109E-01 0.274973E-02 0.663762E+00
   1 0.102778E+02 -.225017E+00 0.507458E-01 0.259808E-02 0.663697E+00
   1 0.103333E+02 -.221811E+00 0.493127E-01 0.245394E-02 0.663625E+00
   1 0.103889E+02 -.218648E+00 0.479186E-01 0.231761E-02 0.663557E+00
   1 0.104444E+02 -.215500E+00 0.465519E-01 0.218785E-02 0.663471E+00
   1 0.105000E+02 -.212418E+00 0.452316E-01 0.206585E-02 0.663417E+00
   1 0.105556E+02 -.209356E+00 0.439395E-01 0.194990E-02 0.663348E+00
   1 0.106111E+02 -.206306E+00 0.426711E-01 0.183936E-02 0.663272E+00
   1 0.106667E+02 -.203266E+00 0.414249E-01 0.173387E-02 0.663199E+00
   1 0.107222E+02 -.200294E+00 0.402253E-01 0.163533E-02 0.663112E+00
   1 0.107778E+02 -.197384E+00 0.390670E-01 0.154282E-02 0.663043E+00
