 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9055
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.419917E+00 0.176434E+00 0.312005E-01 0.569869E-01 0.997701E+00 0.207137E+01 0.997897E+00 0.379935E-03 0.217609E-02 0.354854E+00 0.341304E+00 0.116710E+00 0.137239E-01 0.666299E+00 0.105625E-03 0.243477E+00 0.597235E-01 0.366708E-02 0.661762E+00 0.579467E-04 0.829064E-01 0.100544E-02 0.887753E+00 0.399750E-01
 0.805556E+01 0.412761E+00 0.170489E+00 0.291449E-01 0.571449E-01 0.997306E+00 0.224887E+01 0.997615E+00 0.447459E-03 0.268268E-02 0.386682E+00 0.337020E+00 0.113817E+00 0.130597E-01 0.666240E+00 0.137154E-03 0.237080E+00 0.566723E-01 0.331029E-02 0.660776E+00 0.142672E-03 0.797119E-01 0.831969E-03 0.879760E+00 0.412769E-01
 0.811111E+01 0.405664E+00 0.164696E+00 0.272104E-01 0.571340E-01 0.996843E+00 0.246337E+01 0.997280E+00 0.437163E-03 0.310696E-02 0.339124E+00 0.332665E+00 0.110915E+00 0.124109E-01 0.666162E+00 0.181045E-03 0.230798E+00 0.537810E-01 0.299208E-02 0.659457E+00 0.132009E-04 0.765899E-01 0.722027E-03 0.871469E+00 0.430566E-01
 0.816667E+01 0.398486E+00 0.158940E+00 0.253540E-01 0.570953E-01 0.996348E+00 0.277259E+01 0.996829E+00 0.271820E-03 0.315350E-02 0.154610E+00 0.328261E+00 0.108017E+00 0.117791E-01 0.666093E+00 0.213891E-03 0.224274E+00 0.509221E-01 0.270082E-02 0.657455E+00 0.801975E-03 0.734178E-01 0.859218E-03 0.861409E+00 0.469238E-01
 0.822222E+01 0.391275E+00 0.153258E+00 0.235846E-01 0.569709E-01 0.995883E+00 0.304831E+01 0.996379E+00 0.783282E-04 0.308998E-02 0.343131E-01 0.323789E+00 0.105114E+00 0.111623E-01 0.666016E+00 0.248747E-03 0.217735E+00 0.481433E-01 0.243365E-02 0.655190E+00 0.172912E-02 0.702803E-01 0.105383E-02 0.850596E+00 0.514724E-01
 0.827778E+01 0.383978E+00 0.147614E+00 0.218906E-01 0.568837E-01 0.995377E+00 0.337834E+01 0.995824E+00 0.187763E-03 0.281473E-02 0.260886E+00 0.319317E+00 0.102249E+00 0.105690E-01 0.665940E+00 0.278713E-03 0.210885E+00 0.453651E-01 0.218509E-02 0.652073E+00 0.331467E-02 0.670935E-01 0.138875E-02 0.837669E+00 0.576750E-01
 0.833333E+01 0.376490E+00 0.141937E+00 0.202522E-01 0.568379E-01 0.994729E+00 0.382300E+01 0.995070E+00 0.528875E-03 0.232368E-02 0.518585E+00 0.314791E+00 0.993872E-01 0.999192E-02 0.665861E+00 0.305128E-03 0.203569E+00 0.425494E-01 0.195262E-02 0.647632E+00 0.569289E-02 0.638016E-01 0.186442E-02 0.821914E+00 0.659125E-01
 0.838889E+01 0.368517E+00 0.136015E+00 0.186117E-01 0.569576E-01 0.993970E+00 0.428465E+01 0.994187E+00 0.832311E-03 0.172510E-02 0.705503E+00 0.310136E+00 0.964864E-01 0.942346E-02 0.665771E+00 0.330318E-03 0.195380E+00 0.395288E-01 0.172151E-02 0.641557E+00 0.871678E-02 0.602735E-01 0.242508E-02 0.801824E+00 0.763477E-01
 0.844444E+01 0.360220E+00 0.129986E+00 0.170115E-01 0.571747E-01 0.993178E+00 0.467725E+01 0.993292E+00 0.971114E-03 0.114308E-02 0.737805E+00 0.305401E+00 0.935801E-01 0.887060E-02 0.665664E+00 0.366686E-03 0.186525E+00 0.364055E-01 0.149842E-02 0.634048E+00 0.122809E-01 0.566017E-01 0.299612E-02 0.777701E+00 0.883366E-01
 0.850000E+01 0.351524E+00 0.123818E+00 0.154509E-01 0.575991E-01 0.992167E+00 0.511273E+01 0.992222E+00 0.849937E-03 0.743803E-03 0.578536E+00 0.300653E+00 0.907083E-01 0.833957E-02 0.665565E+00 0.397364E-03 0.176723E+00 0.331093E-01 0.127965E-02 0.624236E+00 0.160081E-01 0.527370E-01 0.345848E-02 0.748437E+00 0.100448E+00
