 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
   1 0.800000E+01 0.297287E+00 0.282541E+00 0.411632E+00 0.855055E-02 -.413785E+01 -.377062E+01 0.839957E-01 0.997416E+00
   1 0.818421E+01 0.285693E+00 0.262458E+00 0.389792E+00 0.127365E-01 -.405870E+01 -.366934E+01 0.749824E-01 0.992839E+00
   1 0.836842E+01 0.272763E+00 0.242714E+00 0.367440E+00 0.154896E-01 -.391626E+01 -.369019E+01 0.662035E-01 0.986499E+00
   1 0.855263E+01 0.259286E+00 0.223356E+00 0.345014E+00 0.173415E-01 -.381257E+01 -.343501E+01 0.579131E-01 0.978075E+00
   1 0.873684E+01 0.245185E+00 0.205950E+00 0.323512E+00 0.177004E-01 -.369576E+01 -.339102E+01 0.504960E-01 0.970197E+00
   1 0.892105E+01 0.228611E+00 0.189417E+00 0.300959E+00 0.163843E-01 -.361706E+01 -.332164E+01 0.433028E-01 0.965446E+00
   1 0.910526E+01 0.210912E+00 0.174500E+00 0.278685E+00 0.140337E-01 -.345315E+01 -.318332E+01 0.368042E-01 0.964926E+00
   1 0.928947E+01 0.191136E+00 0.160343E+00 0.255406E+00 0.108230E-01 -.336762E+01 -.302951E+01 0.306473E-01 0.969765E+00
   1 0.947368E+01 0.171433E+00 0.146812E+00 0.232447E+00 0.783554E-02 -.328445E+01 -.295778E+01 0.251684E-01 0.976343E+00
   1 0.965789E+01 0.150612E+00 0.134005E+00 0.208914E+00 0.472660E-02 -.317758E+01 -.275485E+01 0.201828E-01 0.986474E+00
   1 0.984211E+01 0.131134E+00 0.121424E+00 0.186295E+00 0.245244E-02 -.307904E+01 -.280394E+01 0.159229E-01 0.994104E+00
   1 0.100263E+02 0.113683E+00 0.108937E+00 0.165160E+00 0.105666E-02 -.300570E+01 -.265128E+01 0.123843E-01 0.998183E+00
   1 0.102105E+02 0.969223E-01 0.967200E-01 0.144743E+00 0.391748E-04 -.290794E+01 -.265937E+01 0.937432E-02 0.999996E+00
   1 0.103947E+02 0.835622E-01 0.843163E-01 0.126305E+00 -.126585E-03 -.276443E+01 -.235770E+01 0.704566E-02 0.999919E+00
   1 0.105789E+02 0.709651E-01 0.728502E-01 0.109072E+00 -.271113E-03 -.267886E+01 -.223773E+01 0.516982E-02 0.999313E+00
   1 0.107632E+02 0.607139E-01 0.623536E-01 0.940271E-01 -.201793E-03 -.254292E+01 -.224267E+01 0.378573E-02 0.999290E+00
   1 0.109474E+02 0.519966E-01 0.534415E-01 0.811122E-01 -.152352E-03 -.244789E+01 -.216553E+01 0.277878E-02 0.999249E+00
   1 0.111316E+02 0.451518E-01 0.456929E-01 0.703028E-01 -.491638E-04 -.238320E+01 -.197712E+01 0.206312E-02 0.999858E+00
   1 0.113158E+02 0.396365E-01 0.398574E-01 0.617813E-01 -.175634E-04 -.233183E+01 -.195421E+01 0.157981E-02 0.999969E+00
   1 0.115000E+02 0.356065E-01 0.349651E-01 0.550543E-01 0.452671E-04 -.227661E+01 -.177803E+01 0.124499E-02 0.999670E+00
   2 0.800000E+01 0.165232E+00 0.414762E+00 0.449553E+00 -.144726E+00 -.403780E+01 -.379709E+01 0.685320E-01 0.472831E+00
   2 0.818421E+01 0.139735E+00 0.399105E+00 0.426764E+00 -.139759E+00 -.391881E+01 -.370864E+01 0.557690E-01 0.389097E+00
   2 0.836842E+01 0.114477E+00 0.382410E+00 0.403351E+00 -.133132E+00 -.382057E+01 -.353011E+01 0.437771E-01 0.301920E+00
   2 0.855263E+01 0.926708E-01 0.364304E+00 0.379746E+00 -.124129E+00 -.369030E+01 -.336151E+01 0.337603E-01 0.228327E+00
   2 0.873684E+01 0.758286E-01 0.344551E+00 0.356043E+00 -.112966E+00 -.359747E+01 -.320988E+01 0.261268E-01 0.176252E+00
   2 0.892105E+01 0.633330E-01 0.322953E+00 0.331779E+00 -.100287E+00 -.345381E+01 -.313821E+01 0.204536E-01 0.142648E+00
   2 0.910526E+01 0.535850E-01 0.299690E+00 0.306695E+00 -.869430E-01 -.332235E+01 -.306313E+01 0.160589E-01 0.120079E+00
   2 0.928947E+01 0.463784E-01 0.276051E+00 0.281845E+00 -.740532E-01 -.331493E+01 -.288395E+01 0.128028E-01 0.106791E+00
   2 0.947368E+01 0.411781E-01 0.252622E+00 0.257704E+00 -.621222E-01 -.312561E+01 -.278607E+01 0.104025E-01 0.100849E+00
   2 0.965789E+01 0.366430E-01 0.230343E+00 0.234821E+00 -.517154E-01 -.302813E+01 -.270062E+01 0.844046E-02 0.962902E-01
   2 0.984211E+01 0.329543E-01 0.208349E+00 0.212423E+00 -.423233E-01 -.296337E+01 -.262845E+01 0.686599E-02 0.952441E-01
   2 0.100263E+02 0.297544E-01 0.187132E+00 0.190973E+00 -.341332E-01 -.279791E+01 -.235315E+01 0.556802E-02 0.962011E-01
   2 0.102105E+02 0.273219E-01 0.166832E+00 0.170601E+00 -.270865E-01 -.270121E+01 -.239772E+01 0.455818E-02 0.101750E+00
   2 0.103947E+02 0.253328E-01 0.146811E+00 0.150698E+00 -.209116E-01 -.263897E+01 -.236393E+01 0.371913E-02 0.112312E+00
   2 0.105789E+02 0.235668E-01 0.127588E+00 0.131663E+00 -.157233E-01 -.252444E+01 -.213281E+01 0.300684E-02 0.127615E+00
   2 0.107632E+02 0.220840E-01 0.109298E+00 0.113710E+00 -.114585E-01 -.244892E+01 -.207299E+01 0.241375E-02 0.150741E+00
   2 0.109474E+02 0.208685E-01 0.927575E-01 0.975153E-01 -.816845E-02 -.236652E+01 -.203284E+01 0.193570E-02 0.183424E+00
   2 0.111316E+02 0.198242E-01 0.781978E-01 0.833235E-01 -.572189E-02 -.227283E+01 -.190932E+01 0.155021E-02 0.226966E+00
   2 0.113158E+02 0.189031E-01 0.661974E-01 0.716399E-01 -.402476E-02 -.221243E+01 -.197221E+01 0.125134E-02 0.278843E+00
   2 0.115000E+02 0.181628E-01 0.564298E-01 0.621974E-01 -.285443E-02 -.212348E+01 -.186242E+01 0.102492E-02 0.340241E+00
   3 0.800000E+01 0.360499E+00 0.247395E+00 0.437930E+00 0.687550E-01 -.418710E+01 -.390821E+01 0.891857E-01 0.870641E+00
   3 0.818421E+01 0.347280E+00 0.228671E+00 0.416938E+00 0.683135E-01 -.409246E+01 -.375445E+01 0.794128E-01 0.843882E+00
   3 0.836842E+01 0.334278E+00 0.207929E+00 0.395326E+00 0.685072E-01 -.395633E+01 -.361065E+01 0.695060E-01 0.804592E+00
   3 0.855263E+01 0.321062E+00 0.185737E+00 0.373296E+00 0.685825E-01 -.384872E+01 -.348532E+01 0.596330E-01 0.751502E+00
   3 0.873684E+01 0.308032E+00 0.164338E+00 0.351946E+00 0.678767E-01 -.375133E+01 -.350654E+01 0.506213E-01 0.689900E+00
   3 0.892105E+01 0.294713E+00 0.143407E+00 0.330978E+00 0.662903E-01 -.364787E+01 -.329345E+01 0.422639E-01 0.619182E+00
   3 0.910526E+01 0.280847E+00 0.125091E+00 0.310836E+00 0.632273E-01 -.356438E+01 -.319786E+01 0.351316E-01 0.552561E+00
   3 0.928947E+01 0.266331E+00 0.108194E+00 0.290894E+00 0.592265E-01 -.342235E+01 -.301591E+01 0.288154E-01 0.486348E+00
   3 0.947368E+01 0.250862E+00 0.934008E-01 0.271053E+00 0.542080E-01 -.331766E+01 -.299978E+01 0.234307E-01 0.427693E+00
   3 0.965789E+01 0.234397E+00 0.806280E-01 0.251157E+00 0.484412E-01 -.323481E+01 -.296104E+01 0.188990E-01 0.378436E+00
   3 0.984211E+01 0.216761E+00 0.692964E-01 0.230845E+00 0.421834E-01 -.310130E+01 -.271749E+01 0.150208E-01 0.336509E+00
   3 0.100263E+02 0.199238E+00 0.595543E-01 0.211239E+00 0.361491E-01 -.299594E+01 -.279639E+01 0.118655E-01 0.301168E+00
   3 0.102105E+02 0.178926E+00 0.516789E-01 0.189726E+00 0.293436E-01 -.291003E+01 -.256997E+01 0.924667E-02 0.284280E+00
   3 0.103947E+02 0.158897E+00 0.454541E-01 0.168951E+00 0.231823E-01 -.280225E+01 -.241463E+01 0.722253E-02 0.279675E+00
   3 0.105789E+02 0.138081E+00 0.399023E-01 0.147723E+00 0.174742E-01 -.273822E+01 -.235772E+01 0.550975E-02 0.284527E+00
   3 0.107632E+02 0.117925E+00 0.354213E-01 0.127364E+00 0.126516E-01 -.264280E+01 -.222414E+01 0.417705E-02 0.303632E+00
   3 0.109474E+02 0.100190E+00 0.319324E-01 0.109543E+00 0.901842E-02 -.255359E+01 -.234362E+01 0.319932E-02 0.334842E+00
   3 0.111316E+02 0.850508E-01 0.288086E-01 0.942206E-01 0.640370E-02 -.250031E+01 -.215575E+01 0.245019E-02 0.369322E+00
   3 0.113158E+02 0.722827E-01 0.263375E-01 0.812828E-01 0.453112E-02 -.241452E+01 -.210111E+01 0.190374E-02 0.413867E+00
   3 0.115000E+02 0.624651E-01 0.244899E-01 0.712808E-01 0.330213E-02 -.229767E+01 -.190991E+01 0.152976E-02 0.461919E+00
   4 0.800000E+01 0.232940E+00 0.313067E+00 0.392656E+00 -.437500E-01 -.395822E+01 -.374998E+01 0.729257E-01 0.917450E+00
   4 0.818421E+01 0.200939E+00 0.297204E+00 0.362400E+00 -.479538E-01 -.387599E+01 -.369018E+01 0.597201E-01 0.861183E+00
   4 0.836842E+01 0.169076E+00 0.281869E+00 0.333204E+00 -.508632E-01 -.372911E+01 -.347273E+01 0.476573E-01 0.778352E+00
   4 0.855263E+01 0.139882E+00 0.266724E+00 0.306066E+00 -.515747E-01 -.368118E+01 -.322206E+01 0.373099E-01 0.676723E+00
   4 0.873684E+01 0.115324E+00 0.252275E+00 0.282249E+00 -.503431E-01 -.349770E+01 -.297192E+01 0.290935E-01 0.571899E+00
   4 0.892105E+01 0.947641E-01 0.238209E+00 0.260899E+00 -.477631E-01 -.340603E+01 -.294690E+01 0.225736E-01 0.471868E+00
   4 0.910526E+01 0.790783E-01 0.224370E+00 0.241975E+00 -.440886E-01 -.326820E+01 -.295079E+01 0.177428E-01 0.393136E+00
   4 0.928947E+01 0.661230E-01 0.210617E+00 0.224405E+00 -.399871E-01 -.321433E+01 -.283822E+01 0.139266E-01 0.326685E+00
   4 0.947368E+01 0.564876E-01 0.197090E+00 0.208252E+00 -.356535E-01 -.307755E+01 -.283460E+01 0.111331E-01 0.280587E+00
   4 0.965789E+01 0.486126E-01 0.183517E+00 0.192739E+00 -.313153E-01 -.301803E+01 -.275390E+01 0.892123E-02 0.245076E+00
   4 0.984211E+01 0.423150E-01 0.169720E+00 0.177567E+00 -.270144E-01 -.288649E+01 -.268719E+01 0.718172E-02 0.220394E+00
   4 0.100263E+02 0.377381E-01 0.155720E+00 0.162788E+00 -.228247E-01 -.279088E+01 -.254930E+01 0.587659E-02 0.209583E+00
   4 0.102105E+02 0.339026E-01 0.141714E+00 0.148225E+00 -.189334E-01 -.269303E+01 -.254698E+01 0.480447E-02 0.204814E+00
   4 0.103947E+02 0.307204E-01 0.127513E+00 0.133691E+00 -.153157E-01 -.261942E+01 -.220353E+01 0.391724E-02 0.207396E+00
   4 0.105789E+02 0.284093E-01 0.113297E+00 0.119454E+00 -.120292E-01 -.255908E+01 -.211254E+01 0.321871E-02 0.222627E+00
   4 0.107632E+02 0.263283E-01 0.100462E+00 0.106627E+00 -.939943E-02 -.247431E+01 -.218847E+01 0.264499E-02 0.240550E+00
   4 0.109474E+02 0.245133E-01 0.882970E-01 0.944782E-01 -.719545E-02 -.239031E+01 -.213966E+01 0.216445E-02 0.265755E+00
   4 0.111316E+02 0.230663E-01 0.764028E-01 0.828861E-01 -.530534E-02 -.232630E+01 -.207066E+01 0.176233E-02 0.306217E+00
   4 0.113158E+02 0.220713E-01 0.659718E-01 0.727720E-01 -.386514E-02 -.228820E+01 -.194127E+01 0.145608E-02 0.362114E+00
   4 0.115000E+02 0.207851E-01 0.574201E-01 0.643049E-01 -.286504E-02 -.218727E+01 -.186346E+01 0.119348E-02 0.409721E+00
   5 0.800000E+01 0.363750E-01 0.531940E+00 0.533758E+00 -.281637E+00 -.416929E+01 -.372043E+01 0.193493E-01 0.185306E-01
   5 0.818421E+01 0.334027E-01 0.515328E+00 0.516918E+00 -.264447E+00 -.405248E+01 -.377028E+01 0.172133E-01 0.166653E-01
   5 0.836842E+01 0.310452E-01 0.497648E+00 0.499080E+00 -.246690E+00 -.399143E+01 -.356997E+01 0.154496E-01 0.154465E-01
   5 0.855263E+01 0.287145E-01 0.478927E+00 0.480207E+00 -.228547E+00 -.388939E+01 -.353983E+01 0.137522E-01 0.142760E-01
   5 0.873684E+01 0.266934E-01 0.458913E+00 0.460073E+00 -.209888E+00 -.375709E+01 -.340330E+01 0.122499E-01 0.134423E-01
   5 0.892105E+01 0.249305E-01 0.437387E+00 0.438457E+00 -.190686E+00 -.363866E+01 -.339032E+01 0.109043E-01 0.129114E-01
   5 0.910526E+01 0.233420E-01 0.414439E+00 0.415436E+00 -.171215E+00 -.350279E+01 -.338427E+01 0.967386E-02 0.126086E-01
   5 0.928947E+01 0.218946E-01 0.389791E+00 0.390728E+00 -.151457E+00 -.339382E+01 -.313478E+01 0.853430E-02 0.125411E-01
   5 0.947368E+01 0.207375E-01 0.363493E+00 0.364398E+00 -.131697E+00 -.333145E+01 -.287844E+01 0.753794E-02 0.129348E-01
   5 0.965789E+01 0.196541E-01 0.335190E+00 0.336080E+00 -.111966E+00 -.315830E+01 -.281209E+01 0.658784E-02 0.136585E-01
   5 0.984211E+01 0.186316E-01 0.303277E+00 0.304188E+00 -.916298E-01 -.304206E+01 -.261843E+01 0.565052E-02 0.149833E-01
   5 0.100263E+02 0.176760E-01 0.267375E+00 0.268377E+00 -.711769E-01 -.293945E+01 -.252395E+01 0.472611E-02 0.173300E-01
   5 0.102105E+02 0.169455E-01 0.223489E+00 0.224774E+00 -.496603E-01 -.285937E+01 -.241233E+01 0.378713E-02 0.227339E-01
   5 0.103947E+02 0.161697E-01 0.176421E+00 0.178159E+00 -.308630E-01 -.270739E+01 -.235239E+01 0.285268E-02 0.330444E-01
   5 0.105789E+02 0.156531E-01 0.134445E+00 0.136775E+00 -.178303E-01 -.257868E+01 -.217857E+01 0.210447E-02 0.527811E-01
   5 0.107632E+02 0.151078E-01 0.101941E+00 0.104834E+00 -.101637E-01 -.249784E+01 -.229777E+01 0.154010E-02 0.841191E-01
   5 0.109474E+02 0.146568E-01 0.802610E-01 0.835707E-01 -.622701E-02 -.244369E+01 -.198752E+01 0.117637E-02 0.124920E+00
   5 0.111316E+02 0.142297E-01 0.654259E-01 0.691049E-01 -.407807E-02 -.232720E+01 -.192674E+01 0.930991E-03 0.172507E+00
   5 0.113158E+02 0.138951E-01 0.551434E-01 0.590909E-01 -.284772E-02 -.220746E+01 -.188866E+01 0.766223E-03 0.224557E+00
   5 0.115000E+02 0.135602E-01 0.475682E-01 0.517501E-01 -.207885E-02 -.213820E+01 -.194621E+01 0.645034E-03 0.278033E+00
   6 0.800000E+01 0.269987E+00 0.237750E+00 0.360951E+00 0.163678E-01 -.379205E+01 -.347926E+01 0.641895E-01 0.984005E+00
   6 0.818421E+01 0.251063E+00 0.222838E+00 0.337263E+00 0.133760E-01 -.363589E+01 -.310434E+01 0.559464E-01 0.985911E+00
   6 0.836842E+01 0.232735E+00 0.205939E+00 0.312815E+00 0.117547E-01 -.352975E+01 -.341816E+01 0.479292E-01 0.985186E+00
   6 0.855263E+01 0.214370E+00 0.187751E+00 0.287591E+00 0.107040E-01 -.341553E+01 -.299934E+01 0.402483E-01 0.982625E+00
   6 0.873684E+01 0.196467E+00 0.169049E+00 0.262417E+00 0.100217E-01 -.334124E+01 -.307259E+01 0.332126E-01 0.977744E+00
   6 0.892105E+01 0.178814E+00 0.151232E+00 0.237958E+00 0.910357E-02 -.320547E+01 -.287122E+01 0.270424E-01 0.972449E+00
   6 0.910526E+01 0.161740E+00 0.134916E+00 0.214826E+00 0.795739E-02 -.311116E+01 -.272887E+01 0.218214E-01 0.967825E+00
   6 0.928947E+01 0.146105E+00 0.120907E+00 0.194209E+00 0.672837E-02 -.303236E+01 -.257395E+01 0.176651E-01 0.965001E+00
