 program J1J2_6          
 linear system size                24
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed         1000
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8361600065870007E+00   8.8677946307377901E-03   6.1546550351704421E-01   7.5999250680846989E-04
   8.1842105263157894E+00  -3.7221321035577728E+00   8.9559850510884335E-03   6.2233925567163773E-01   7.6252841289479100E-04
   8.3684210526315788E+00  -3.6070136097449228E+00   9.0282121841875843E-03   6.2710994475808246E-01   7.6968740506415043E-04
   8.5526315789473681E+00  -3.4912086647680893E+00   9.0806295312548958E-03   6.2944267649721131E-01   7.9071412600092809E-04
   8.7368421052631575E+00  -3.3752239791360799E+00   9.1091666925635258E-03   6.2931526770102453E-01   8.2626112863562701E-04
   8.9210526315789469E+00  -3.2594990245587314E+00   9.1109933453983917E-03   6.2640778926707008E-01   8.7380042018043178E-04
   9.1052631578947363E+00  -3.1445312819624278E+00   9.0822957869594479E-03   6.2118681731329739E-01   9.5606052125164168E-04
   9.2894736842105257E+00  -3.0307986127481241E+00   9.0211048873110756E-03   6.1311381746411620E-01   1.0576440666827498E-03
   9.4736842105263150E+00  -2.9187964901343766E+00   8.9258140819804873E-03   6.0241002997913440E-01   1.1722083540694952E-03
   9.6578947368421062E+00  -2.8089961382565609E+00   8.7953753520769590E-03   5.8901074839121159E-01   1.3003940179795910E-03
   9.8421052631578938E+00  -2.7019387258541974E+00   8.6277721154590422E-03   5.7302208400206334E-01   1.4269096885972644E-03
   1.0026315789473685E+01  -2.5980220950846791E+00   8.4244276357696886E-03   5.5465344558762497E-01   1.5523028575673882E-03
   1.0210526315789474E+01  -2.4976863414642732E+00   8.1854880235304479E-03   5.3445254101065476E-01   1.6847803534805750E-03
   1.0394736842105264E+01  -2.4011902740915794E+00   7.9136119222068691E-03   5.1274248895513375E-01   1.8078409050986287E-03
   1.0578947368421053E+01  -2.3088593917122524E+00   7.6126710223801399E-03   4.8958250452100305E-01   1.9152509962895687E-03
   1.0763157894736842E+01  -2.2208725037102481E+00   7.2870222636896931E-03   4.6530122081643305E-01   1.9979400265302950E-03
   1.0947368421052632E+01  -2.1374607269186434E+00   6.9435958145789862E-03   4.4022464818808360E-01   2.0566950878554576E-03
   1.1131578947368421E+01  -2.0587541487135628E+00   6.5879730476422760E-03   4.1446936412426538E-01   2.0737054874672375E-03
   1.1315789473684211E+01  -1.9847715151398369E+00   6.2265595705002716E-03   3.8856673021046351E-01   2.0573737337452130E-03
   1.1500000000000000E+01  -1.9155570321478670E+00   5.8657277202556340E-03   3.6304267082497754E-01   2.0147269538092014E-03
