 program J1J2_6          
 spatial system size               24
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed         1000
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 -.240548E-01 0.167436E-01 0.282411E+00 0.209175E+00 0.125767E+00 0.585205E+00 0.499490E-02
 0.818421E+01 -.236016E-01 0.163418E-01 0.269108E+00 0.190128E+00 0.124874E+00 0.582900E+00 0.506673E-02
 0.836842E+01 -.230978E-01 0.159257E-01 0.255668E+00 0.171839E+00 0.123709E+00 0.580547E+00 0.513422E-02
 0.855263E+01 -.225480E-01 0.154948E-01 0.242111E+00 0.154356E+00 0.122243E+00 0.578229E+00 0.518525E-02
 0.873684E+01 -.219618E-01 0.150490E-01 0.228470E+00 0.137758E+00 0.120294E+00 0.575905E+00 0.522219E-02
 0.892105E+01 -.213528E-01 0.145893E-01 0.214822E+00 0.122136E+00 0.117806E+00 0.573305E+00 0.526612E-02
 0.910526E+01 -.207652E-01 0.141166E-01 0.201224E+00 0.107551E+00 0.114607E+00 0.570427E+00 0.531667E-02
 0.928947E+01 -.201791E-01 0.136324E-01 0.187757E+00 0.940486E-01 0.110721E+00 0.567485E+00 0.535337E-02
 0.947368E+01 -.195985E-01 0.131382E-01 0.174494E+00 0.816516E-01 0.106110E+00 0.564105E+00 0.541124E-02
 0.965789E+01 -.190184E-01 0.126383E-01 0.161570E+00 0.704105E-01 0.100923E+00 0.560605E+00 0.547232E-02
 0.984211E+01 -.184104E-01 0.121356E-01 0.149076E+00 0.603053E-01 0.954776E-01 0.556946E+00 0.553726E-02
 0.100263E+02 -.177725E-01 0.116346E-01 0.137124E+00 0.513335E-01 0.899722E-01 0.553105E+00 0.561230E-02
 0.102105E+02 -.171250E-01 0.111394E-01 0.125800E+00 0.434516E-01 0.847798E-01 0.549153E+00 0.568882E-02
 0.103947E+02 -.164452E-01 0.106525E-01 0.115139E+00 0.365874E-01 0.800527E-01 0.545123E+00 0.576604E-02
 0.105789E+02 -.157759E-01 0.101773E-01 0.105191E+00 0.306771E-01 0.758603E-01 0.541167E+00 0.583272E-02
 0.107632E+02 -.151041E-01 0.971719E-02 0.959872E-01 0.256464E-01 0.721472E-01 0.537107E+00 0.590345E-02
 0.109474E+02 -.144510E-01 0.927471E-02 0.875327E-01 0.213910E-01 0.693861E-01 0.533203E+00 0.596465E-02
 0.111316E+02 -.138080E-01 0.885358E-02 0.798476E-01 0.178336E-01 0.676148E-01 0.529221E+00 0.603040E-02
 0.113158E+02 -.131839E-01 0.845516E-02 0.729014E-01 0.148759E-01 0.669811E-01 0.525319E+00 0.609017E-02
 0.115000E+02 -.125776E-01 0.808150E-02 0.666733E-01 0.124350E-01 0.675638E-01 0.521577E+00 0.614196E-02
