 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.800000E+01    1 -.936239E+01 0.000000E+00
 0.800000E+01    2 -.925876E+01 0.000000E+00
 0.800000E+01    3 -.915514E+01 0.000000E+00
 0.800000E+01    4 -.905151E+01 0.000000E+00
 0.800000E+01    5 -.894789E+01 0.000000E+00
 0.800000E+01    6 -.884427E+01 0.000000E+00
 0.800000E+01    7 -.874064E+01 0.000000E+00
 0.800000E+01    8 -.863702E+01 0.000000E+00
 0.800000E+01    9 -.853339E+01 0.000000E+00
 0.800000E+01   10 -.842977E+01 0.000000E+00
 0.800000E+01   11 -.832615E+01 0.000000E+00
 0.800000E+01   12 -.822252E+01 0.000000E+00
 0.800000E+01   13 -.811890E+01 0.000000E+00
 0.800000E+01   14 -.801528E+01 0.000000E+00
 0.800000E+01   15 -.791165E+01 0.000000E+00
 0.800000E+01   16 -.780803E+01 0.000000E+00
 0.800000E+01   17 -.770440E+01 0.000000E+00
 0.800000E+01   18 -.760078E+01 0.000000E+00
 0.800000E+01   19 -.749716E+01 0.000000E+00
 0.800000E+01   20 -.739353E+01 0.000000E+00
 0.800000E+01   21 -.728991E+01 0.000000E+00
 0.800000E+01   22 -.718628E+01 0.000000E+00
 0.800000E+01   23 -.708266E+01 0.000000E+00
 0.800000E+01   24 -.697904E+01 0.000000E+00
 0.800000E+01   25 -.687541E+01 0.000000E+00
 0.800000E+01   26 -.677179E+01 0.000000E+00
 0.800000E+01   27 -.666817E+01 0.000000E+00
 0.800000E+01   28 -.656454E+01 0.000000E+00
 0.800000E+01   29 -.646092E+01 0.000000E+00
 0.800000E+01   30 -.635729E+01 0.000000E+00
 0.800000E+01   31 -.625367E+01 0.000000E+00
 0.800000E+01   32 -.615005E+01 0.000000E+00
 0.800000E+01   33 -.604642E+01 0.000000E+00
 0.800000E+01   34 -.594280E+01 0.000000E+00
 0.800000E+01   35 -.583917E+01 0.000000E+00
 0.800000E+01   36 -.573555E+01 0.000000E+00
 0.800000E+01   37 -.563193E+01 0.000000E+00
 0.800000E+01   38 -.552830E+01 0.000000E+00
 0.800000E+01   39 -.542468E+01 0.000000E+00
 0.800000E+01   40 -.532106E+01 0.000000E+00
 0.800000E+01   41 -.521743E+01 0.000000E+00
 0.800000E+01   42 -.511381E+01 0.000000E+00
 0.800000E+01   43 -.501018E+01 0.000000E+00
 0.800000E+01   44 -.490656E+01 0.000000E+00
