 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 0.221458E-01 0.136437E-02 0.507420E-05 0.913790E-01
   1 0.818421E+01 0.205289E-01 0.130886E-02 0.479263E-05 0.674601E-01
   1 0.836842E+01 0.194110E-01 0.127954E-02 0.461920E-05 0.595502E-01
   1 0.855263E+01 0.181539E-01 0.124057E-02 0.440262E-05 0.464431E-01
   1 0.873684E+01 0.176519E-01 0.124300E-02 0.446708E-05 0.362543E-01
   1 0.892105E+01 0.174710E-01 0.124397E-02 0.443725E-05 0.441941E-01
   1 0.910526E+01 0.175128E-01 0.124249E-02 0.442637E-05 0.442510E-01
   1 0.928947E+01 0.180877E-01 0.127693E-02 0.465911E-05 0.475357E-01
   1 0.947368E+01 0.191412E-01 0.132127E-02 0.497926E-05 0.492691E-01
   1 0.965789E+01 0.208581E-01 0.139383E-02 0.545049E-05 0.648164E-01
   1 0.984211E+01 0.229122E-01 0.148177E-02 0.602870E-05 0.847480E-01
   1 0.100263E+02 0.247322E-01 0.155724E-02 0.652597E-05 0.102959E+00
   1 0.102105E+02 0.260656E-01 0.161535E-02 0.687582E-05 0.121647E+00
   1 0.103947E+02 0.269376E-01 0.165641E-02 0.712524E-05 0.134348E+00
   1 0.105789E+02 0.271594E-01 0.166075E-02 0.716915E-05 0.133563E+00
   1 0.107632E+02 0.270390E-01 0.165282E-02 0.711664E-05 0.131638E+00
   1 0.109474E+02 0.260545E-01 0.158706E-02 0.658328E-05 0.128765E+00
   1 0.111316E+02 0.249806E-01 0.150730E-02 0.598041E-05 0.122578E+00
   1 0.113158E+02 0.238776E-01 0.142585E-02 0.551308E-05 0.960874E-01
   1 0.115000E+02 0.228324E-01 0.136052E-02 0.498097E-05 0.103016E+00
   2 0.800000E+01 0.226023E+00 0.520585E-01 0.291035E-02 0.642036E+00
   2 0.818421E+01 0.221831E+00 0.501827E-01 0.271217E-02 0.641005E+00
   2 0.836842E+01 0.216923E+00 0.480270E-01 0.249111E-02 0.640001E+00
   2 0.855263E+01 0.212189E+00 0.459950E-01 0.229215E-02 0.638839E+00
   2 0.873684E+01 0.207402E+00 0.439977E-01 0.210659E-02 0.637257E+00
   2 0.892105E+01 0.201961E+00 0.417604E-01 0.190454E-02 0.635967E+00
   2 0.910526E+01 0.196830E+00 0.397118E-01 0.172902E-02 0.634540E+00
   2 0.928947E+01 0.190555E+00 0.372815E-01 0.153254E-02 0.632461E+00
   2 0.947368E+01 0.184190E+00 0.348898E-01 0.134970E-02 0.630412E+00
   2 0.965789E+01 0.176600E+00 0.321328E-01 0.115202E-02 0.628088E+00
   2 0.984211E+01 0.168536E+00 0.293313E-01 0.967204E-03 0.625257E+00
   2 0.100263E+02 0.160414E+00 0.266479E-01 0.806012E-03 0.621649E+00
   2 0.102105E+02 0.151753E+00 0.239250E-01 0.656334E-03 0.617791E+00
   2 0.103947E+02 0.143027E+00 0.213395E-01 0.529281E-03 0.612566E+00
   2 0.105789E+02 0.134830E+00 0.190364E-01 0.426327E-03 0.607849E+00
   2 0.107632E+02 0.127118E+00 0.169903E-01 0.343808E-03 0.602997E+00
   2 0.109474E+02 0.120171E+00 0.152445E-01 0.280068E-03 0.598290E+00
   2 0.111316E+02 0.114065E+00 0.137911E-01 0.232121E-03 0.593187E+00
   2 0.113158E+02 0.108403E+00 0.125069E-01 0.193087E-03 0.588531E+00
