 program J1J2_6          
 spatial system size               28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          800
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.800000E+01 0.430327E+00 0.186318E+00 0.355528E-01 0.785471E-01 0.975855E+00 0.643034E+00 0.994791E+00 0.116637E-03 0.106220E-02 0.118035E-01 0.296465E+00 0.957092E-01 0.118459E-01 0.653418E+00 0.131074E-02 0.287934E+00 0.906093E-01 0.106353E-01 0.652555E+00 0.117283E-02 0.787434E-01 0.528376E-03 0.766543E+00 0.851591E-02
 0.818421E+01 0.410064E+00 0.169478E+00 0.296038E-01 0.748840E-01 0.969331E+00 0.748414E+00 0.993107E+00 0.166991E-03 0.114376E-02 0.145659E-01 0.281430E+00 0.872068E-01 0.100764E-01 0.649018E+00 0.161050E-02 0.272648E+00 0.822715E-01 0.899508E-02 0.647187E+00 0.149478E-02 0.701275E-01 0.532430E-03 0.745600E+00 0.902479E-02
 0.836842E+01 0.389003E+00 0.152877E+00 0.242920E-01 0.710581E-01 0.960616E+00 0.877054E+00 0.990717E+00 0.248545E-03 0.123461E-02 0.185778E-01 0.265753E+00 0.788175E-01 0.847052E-02 0.643202E+00 0.194549E-02 0.256726E+00 0.740599E-01 0.751129E-02 0.640099E+00 0.188561E-02 0.616683E-01 0.529422E-03 0.721732E+00 0.953206E-02
 0.855263E+01 0.367226E+00 0.136684E+00 0.196365E-01 0.670024E-01 0.948943E+00 0.103280E+01 0.987280E+00 0.383240E-03 0.133552E-02 0.240319E-01 0.249551E+00 0.706190E-01 0.703101E-02 0.635936E+00 0.228975E-02 0.240299E+00 0.660655E-01 0.618891E-02 0.631027E+00 0.232453E-02 0.535188E-01 0.517859E-03 0.695766E+00 0.100140E-01
 0.873684E+01 0.344802E+00 0.121049E+00 0.156300E-01 0.626929E-01 0.933311E+00 0.122094E+01 0.982252E+00 0.608105E-03 0.144673E-02 0.314950E-01 0.232812E+00 0.626589E-01 0.575785E-02 0.626718E+00 0.265467E-02 0.223589E+00 0.583899E-01 0.502902E-02 0.620063E+00 0.279047E-02 0.457995E-01 0.497970E-03 0.668416E+00 0.104387E-01
 0.892105E+01 0.321798E+00 0.106104E+00 0.122439E-01 0.580803E-01 0.912426E+00 0.144843E+01 0.974833E+00 0.957567E-03 0.156557E-02 0.402723E-01 0.215647E+00 0.550080E-01 0.464629E-02 0.615266E+00 0.300690E-02 0.206753E+00 0.510956E-01 0.402617E-02 0.607309E+00 0.326139E-02 0.386341E-01 0.469250E-03 0.640737E+00 0.107675E-01
 0.910526E+01 0.298297E+00 0.919611E-01 0.943080E-02 0.531702E-01 0.884833E+00 0.170977E+01 0.964069E+00 0.144138E-02 0.168491E-02 0.493095E-01 0.198206E+00 0.477364E-01 0.368973E-02 0.600979E+00 0.340754E-02 0.189864E+00 0.442248E-01 0.317182E-02 0.592292E+00 0.374761E-02 0.320904E-01 0.433716E-03 0.613454E+00 0.110010E-01
 0.928947E+01 0.274428E+00 0.787456E-01 0.714028E-02 0.479725E-01 0.848504E+00 0.199650E+01 0.948393E+00 0.211217E-02 0.179933E-02 0.571934E-01 0.180768E+00 0.409376E-01 0.288149E-02 0.583773E+00 0.384565E-02 0.173002E+00 0.378080E-01 0.245529E-02 0.574997E+00 0.420043E-02 0.262483E-01 0.392386E-03 0.588421E+00 0.111395E-01
 0.947368E+01 0.250370E+00 0.665494E-01 0.530783E-02 0.425351E-01 0.801524E+00 0.228186E+01 0.926527E+00 0.296206E-02 0.189720E-02 0.618083E-01 0.163510E+00 0.346504E-01 0.220757E-02 0.563683E+00 0.429952E-02 0.156364E+00 0.318989E-01 0.186436E-02 0.555604E+00 0.459120E-02 0.211541E-01 0.347799E-03 0.567725E+00 0.112335E-01
 0.965789E+01 0.226425E+00 0.554758E-01 0.387128E-02 0.370077E-01 0.742096E+00 0.253060E+01 0.897303E+00 0.393410E-02 0.196665E-02 0.634972E-01 0.146714E+00 0.289402E-01 0.165711E-02 0.540967E+00 0.473170E-02 0.140107E+00 0.265356E-01 0.138693E-02 0.533304E+00 0.496546E-02 0.168055E-01 0.302018E-03 0.552460E+00 0.113158E-01
