 program J1J2_6          
 spatial system size               40
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations         1000
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.266061E-02 0.240221E-01 0.580312E-01 0.844170E-02 0.164425E+00 0.546106E+00 0.210994E-01
 0.818421E+01 0.264927E-02 0.234744E-01 0.554328E-01 0.771095E-02 0.163526E+00 0.542660E+00 0.213709E-01
 0.836842E+01 0.266882E-02 0.229156E-01 0.528433E-01 0.701808E-02 0.162246E+00 0.540259E+00 0.214156E-01
 0.855263E+01 0.264191E-02 0.223350E-01 0.502177E-01 0.634601E-02 0.161184E+00 0.538085E+00 0.214814E-01
 0.873684E+01 0.259763E-02 0.217331E-01 0.475662E-01 0.569524E-02 0.160938E+00 0.536058E+00 0.216027E-01
 0.892105E+01 0.248505E-02 0.211181E-01 0.449311E-01 0.508033E-02 0.161167E+00 0.533416E+00 0.218834E-01
 0.910526E+01 0.233274E-02 0.204855E-01 0.422979E-01 0.449913E-02 0.161756E+00 0.531414E+00 0.220548E-01
 0.928947E+01 0.210568E-02 0.198218E-01 0.396212E-01 0.394323E-02 0.162708E+00 0.529258E+00 0.222592E-01
 0.947368E+01 0.182271E-02 0.191429E-01 0.369727E-01 0.343098E-02 0.163367E+00 0.527346E+00 0.223807E-01
 0.965789E+01 0.156876E-02 0.184493E-01 0.343621E-01 0.296323E-02 0.163463E+00 0.525081E+00 0.225150E-01
 0.984211E+01 0.137195E-02 0.177439E-01 0.318045E-01 0.253930E-02 0.163212E+00 0.522933E+00 0.226332E-01
 0.100263E+02 0.120733E-02 0.170322E-01 0.293247E-01 0.215884E-02 0.163180E+00 0.521248E+00 0.225698E-01
 0.102105E+02 0.111083E-02 0.163234E-01 0.269558E-01 0.182426E-02 0.163124E+00 0.517942E+00 0.228036E-01
 0.103947E+02 0.101811E-02 0.156259E-01 0.247214E-01 0.153155E-02 0.164657E+00 0.515512E+00 0.228504E-01
 0.105789E+02 0.924623E-03 0.149431E-01 0.226282E-01 0.127969E-02 0.166930E+00 0.512848E+00 0.228822E-01
 0.107632E+02 0.852406E-03 0.142841E-01 0.206959E-01 0.106780E-02 0.168998E+00 0.509501E+00 0.229904E-01
 0.109474E+02 0.808892E-03 0.136512E-01 0.189214E-01 0.890676E-03 0.170741E+00 0.506151E+00 0.230795E-01
 0.111316E+02 0.777304E-03 0.130434E-01 0.172919E-01 0.742684E-03 0.172058E+00 0.502694E+00 0.231559E-01
 0.113158E+02 0.699280E-03 0.124675E-01 0.158159E-01 0.620557E-03 0.173067E+00 0.499286E+00 0.232040E-01
 0.115000E+02 0.641951E-03 0.119238E-01 0.144825E-01 0.519847E-03 0.173840E+00 0.495611E+00 0.233163E-01
