 program J1J2_6          
 spatial system size               10
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 ------------------------
 disorder configurations processed          100
    T      [<n>]      std.n/sqrt(iconf)      [<n^2>]      [<n^4>]      Global.Nematic.Binder      Nematic.Binder      Nematic.Binder.Error
 0.800000E+01 0.112516E+00 0.119007E+00 0.144980E+01 0.488284E+01 0.225650E+00 0.546320E+00 0.181866E-01
 0.818421E+01 0.108536E+00 0.115634E+00 0.136990E+01 0.444877E+01 0.209796E+00 0.541137E+00 0.184542E-01
 0.836842E+01 0.104501E+00 0.112180E+00 0.129043E+01 0.403684E+01 0.191922E+00 0.535930E+00 0.187181E-01
 0.855263E+01 0.100634E+00 0.108679E+00 0.121236E+01 0.364988E+01 0.172255E+00 0.530267E+00 0.190083E-01
 0.873684E+01 0.967834E-01 0.105102E+00 0.113515E+01 0.328550E+01 0.150095E+00 0.524491E+00 0.192562E-01
 0.892105E+01 0.930730E-01 0.101496E+00 0.105990E+01 0.294559E+01 0.125985E+00 0.518515E+00 0.195163E-01
 0.910526E+01 0.896590E-01 0.978593E-01 0.986696E+00 0.262974E+01 0.996227E-01 0.512597E+00 0.196786E-01
 0.928947E+01 0.863017E-01 0.942284E-01 0.916208E+00 0.233943E+01 0.710296E-01 0.505990E+00 0.199977E-01
 0.947368E+01 0.832723E-01 0.906233E-01 0.848856E+00 0.207347E+01 0.408019E-01 0.500260E+00 0.201175E-01
 0.965789E+01 0.805070E-01 0.870658E-01 0.784875E+00 0.183136E+01 0.905118E-02 0.494717E+00 0.202293E-01
 0.984211E+01 0.779670E-01 0.835854E-01 0.724778E+00 0.161294E+01 -.234970E-01 0.488754E+00 0.204007E-01
 0.100263E+02 0.758500E-01 0.801789E-01 0.668305E+00 0.141600E+01 -.568014E-01 0.482979E+00 0.205892E-01
 0.102105E+02 0.739747E-01 0.768714E-01 0.615679E+00 0.123822E+01 -.888473E-01 0.477667E+00 0.206766E-01
 0.103947E+02 0.724368E-01 0.736574E-01 0.566666E+00 0.107912E+01 -.120193E+00 0.472316E+00 0.207998E-01
 0.105789E+02 0.710656E-01 0.705733E-01 0.521555E+00 0.938039E+00 -.149475E+00 0.467342E+00 0.208793E-01
 0.107632E+02 0.699405E-01 0.676162E-01 0.480083E+00 0.812533E+00 -.175135E+00 0.462373E+00 0.209767E-01
 0.109474E+02 0.687902E-01 0.647803E-01 0.441923E+00 0.701654E+00 -.197592E+00 0.457749E+00 0.210357E-01
 0.111316E+02 0.675777E-01 0.621039E-01 0.407355E+00 0.604671E+00 -.214651E+00 0.452785E+00 0.211965E-01
 0.113158E+02 0.661338E-01 0.595641E-01 0.375811E+00 0.519549E+00 -.226213E+00 0.448604E+00 0.212337E-01
 0.115000E+02 0.644998E-01 0.571502E-01 0.347031E+00 0.444815E+00 -.231176E+00 0.443706E+00 0.214028E-01
