 program J1J2_6          
 linear system size                14
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.8929621732376880E+00   6.5370294498560522E-02   6.0770247547731504E-01   5.4564452055754081E-03
   8.1842105263157894E+00  -3.7803416424069773E+00   6.6059351451645223E-02   6.1512169537115391E-01   5.5876339135072593E-03
   8.3684210526315788E+00  -3.6665872558417640E+00   6.6652080985994164E-02   6.1950046539472425E-01   5.5565635190340237E-03
   8.5526315789473681E+00  -3.5521011649443590E+00   6.7132124325216549E-02   6.2312567950077080E-01   5.5901696950882134E-03
   8.7368421052631575E+00  -3.4372694217749027E+00   6.7468105132177644E-02   6.2424316579427408E-01   5.7263651303151109E-03
   8.9210526315789469E+00  -3.3224411640756220E+00   6.7644281400525585E-02   6.2205045536822934E-01   5.8555362407977079E-03
   9.1052631578947363E+00  -3.2082763992902459E+00   6.7646375370295442E-02   6.1756966487062148E-01   6.0189917626573023E-03
   9.2894736842105257E+00  -3.0950978762446693E+00   6.7465475035582673E-02   6.1119468716514713E-01   6.4927857083587059E-03
   9.4736842105263150E+00  -2.9831787845393638E+00   6.7085285081293647E-02   6.0351313073284774E-01   7.1674719266224375E-03
   9.6578947368421062E+00  -2.8730107587802793E+00   6.6505884888176853E-02   5.9284176437116021E-01   8.0719250214754939E-03
   9.8421052631578938E+00  -2.7647998372823253E+00   6.5733728085305393E-02   5.8093704354298170E-01   9.0128402384628999E-03
   1.0026315789473685E+01  -2.6591574403886340E+00   6.4772417953160938E-02   5.6613708371949734E-01   9.7867075328163626E-03
   1.0210526315789474E+01  -2.5565664133244068E+00   6.3609913968683165E-02   5.4790384990116880E-01   1.0500273717760857E-02
   1.0394736842105264E+01  -2.4575471113665417E+00   6.2262328221624877E-02   5.2700864898610666E-01   1.1194072067912219E-02
   1.0578947368421053E+01  -2.3625953887215236E+00   6.0733185830628401E-02   5.0397357758513328E-01   1.1873439065689259E-02
   1.0763157894736842E+01  -2.2719804394779182E+00   5.9018087250864569E-02   4.7897729708518078E-01   1.2398007290916235E-02
   1.0947368421052632E+01  -2.1860847669176411E+00   5.7177207426523033E-02   4.5254336520168231E-01   1.2609813269932763E-02
   1.1131578947368421E+01  -2.1052831730273649E+00   5.5215108405009636E-02   4.2517802873351668E-01   1.2713648002176595E-02
   1.1315789473684211E+01  -2.0294854357347214E+00   5.3170621776695681E-02   3.9786635938524717E-01   1.2760259748234710E-02
   1.1500000000000000E+01  -1.9587180027885411E+00   5.1021974793923106E-02   3.7162229852034018E-01   1.2861297482533011E-02
