 program J1J2_6          
 linear system size                10
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                         101
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
    T      [<energy>]      std.en/sqrt(iconf)      [<spec.heat>]      std.spec.heat/sqrt(iconf)   
   8.0000000000000000E+00  -3.5024760344557206E+00   7.7513091726434682E-02   6.3231560391002894E-01   7.3624184855266032E-03
   8.1842105263157894E+00  -3.3857815148170367E+00   7.7896312708987919E-02   6.3426175245016514E-01   7.6864639680063462E-03
   8.3684210526315788E+00  -3.2690767888596444E+00   7.8025676272936800E-02   6.3300974902855967E-01   7.8856521977223558E-03
   8.5526315789473681E+00  -3.1531791547113759E+00   7.7903451631835846E-02   6.2642780190658764E-01   8.3092617726006450E-03
   8.7368421052631575E+00  -3.0383850530946592E+00   7.7492721002592371E-02   6.1742053612635706E-01   8.8427611496436388E-03
   8.9210526315789469E+00  -2.9256662750322140E+00   7.6778930971020704E-02   6.0588882881796258E-01   9.6963133767497926E-03
   9.1052631578947363E+00  -2.8156827210524078E+00   7.5743298352209915E-02   5.8968825052522833E-01   1.0715589530059194E-02
   9.2894736842105257E+00  -2.7086103615300128E+00   7.4393500159630768E-02   5.7194916592010059E-01   1.1870411541249799E-02
   9.4736842105263150E+00  -2.6050443555383174E+00   7.2723789943946363E-02   5.5156228086193404E-01   1.2908410935259174E-02
   9.6578947368421062E+00  -2.5055448718053377E+00   7.0777683081116927E-02   5.2952686779620906E-01   1.3945700324722112E-02
   9.8421052631578938E+00  -2.4101099094748060E+00   6.8556115657353395E-02   5.0685955235519664E-01   1.4966870654328312E-02
   1.0026315789473685E+01  -2.3186023514074621E+00   6.6082894631018116E-02   4.8331818396714937E-01   1.5841334745147158E-02
   1.0210526315789474E+01  -2.2318483713475241E+00   6.3373867673552547E-02   4.6062781399691000E-01   1.6666398559907522E-02
   1.0394736842105264E+01  -2.1490748428197963E+00   6.0499601127324110E-02   4.3696806946971373E-01   1.7251921101780008E-02
   1.0578947368421053E+01  -2.0707035261933786E+00   5.7523734727178123E-02   4.1365212471369067E-01   1.7416355300452050E-02
   1.0763157894736842E+01  -1.9966548175425052E+00   5.4484760711447866E-02   3.9016487641905429E-01   1.7348642217724412E-02
   1.0947368421052632E+01  -1.9269787674313079E+00   5.1435927826846993E-02   3.6722784130451247E-01   1.7085355410113114E-02
   1.1131578947368421E+01  -1.8613943609616319E+00   4.8386981403349037E-02   3.4514625095279194E-01   1.6703520362806371E-02
   1.1315789473684211E+01  -1.7998168943246364E+00   4.5436203463751081E-02   3.2400383683754319E-01   1.6213122698433866E-02
   1.1500000000000000E+01  -1.7420814591687976E+00   4.2581748771802243E-02   3.0280308772729592E-01   1.5390438346101242E-02
