 iconf, T, nbar, nbar2, nbar4, nbinder
   1 0.800000E+01 0.756414E+00 0.579737E+00 0.353514E+00 0.649390E+00
   1 0.818421E+01 0.733376E+00 0.545480E+00 0.314083E+00 0.648144E+00
   1 0.836842E+01 0.709108E+00 0.510583E+00 0.276362E+00 0.646634E+00
   1 0.855263E+01 0.683594E+00 0.475115E+00 0.240423E+00 0.644976E+00
   1 0.873684E+01 0.657036E+00 0.439612E+00 0.207018E+00 0.642935E+00
   1 0.892105E+01 0.628406E+00 0.402816E+00 0.174852E+00 0.640800E+00
   1 0.910526E+01 0.598595E+00 0.366247E+00 0.145617E+00 0.638137E+00
   1 0.928947E+01 0.567375E+00 0.329791E+00 0.119047E+00 0.635145E+00
   1 0.947368E+01 0.537198E+00 0.296339E+00 0.969082E-01 0.632157E+00
   1 0.965789E+01 0.507328E+00 0.265020E+00 0.782208E-01 0.628769E+00
   1 0.984211E+01 0.479394E+00 0.237078E+00 0.630100E-01 0.626315E+00
   1 0.100263E+02 0.453318E+00 0.212545E+00 0.510950E-01 0.622989E+00
   1 0.102105E+02 0.430741E+00 0.192329E+00 0.421447E-01 0.620219E+00
   1 0.103947E+02 0.409526E+00 0.174239E+00 0.348526E-01 0.617333E+00
   1 0.105789E+02 0.390579E+00 0.158885E+00 0.292085E-01 0.614323E+00
   1 0.107632E+02 0.373126E+00 0.145287E+00 0.245802E-01 0.611842E+00
   1 0.109474E+02 0.357288E+00 0.133557E+00 0.209399E-01 0.608691E+00
   1 0.111316E+02 0.343982E+00 0.124073E+00 0.182016E-01 0.605874E+00
   1 0.113158E+02 0.330796E+00 0.115062E+00 0.157837E-01 0.602604E+00
   1 0.115000E+02 0.318495E+00 0.106935E+00 0.137356E-01 0.599603E+00
   2 0.800000E+01 0.140503E+01 0.198107E+01 0.397963E+01 0.661997E+00
   2 0.818421E+01 0.137087E+01 0.188631E+01 0.361109E+01 0.661709E+00
   2 0.836842E+01 0.133639E+01 0.179305E+01 0.326582E+01 0.661402E+00
   2 0.855263E+01 0.130092E+01 0.169951E+01 0.293655E+01 0.661103E+00
   2 0.873684E+01 0.126467E+01 0.160652E+01 0.262663E+01 0.660761E+00
   2 0.892105E+01 0.122859E+01 0.151660E+01 0.234338E+01 0.660390E+00
   2 0.910526E+01 0.119103E+01 0.142563E+01 0.207270E+01 0.660062E+00
   2 0.928947E+01 0.115355E+01 0.133786E+01 0.182822E+01 0.659526E+00
   2 0.947368E+01 0.111561E+01 0.125179E+01 0.160290E+01 0.659024E+00
